,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership Type|,|Utility Characteristics..NERC Region|,|Demand.(Megawatts).Summer Peak Demand|,|Demand.(Megawatts).Winter Peak Demand|,|Energy Sources (Megawatthours).(Megawatts).Net Generation|,|Energy Sources (Megawatthours).(Megawatts).Wholesale Power Purchases|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Received|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Delivered|,|Energy Sources (Megawatthours).Power Exchanged.Net Power Exchanged|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Received|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Delivered|,|Energy Sources (Megawatthours).Wheeled Power.Net Wheeled Power|,|Energy Sources (Megawatthours).Wheeled Power.Transmission by Other Losses|,|Energy Sources (Megawatthours).Wheeled Power.Total Sources|,|Disposition.(Megawatthours).Sales to Ultimate Customers|,|Disposition.(Megawatthours).Sales for Resale|,|Disposition.(Megawatthours).Furnished without Charge|,|Disposition.(Megawatthours).Consumed by Respondent without Charge|,|Disposition.(Megawatthours).Total Energy Losses|,|Disposition.(Megawatthours).Total Disposition|,|Electric Revenues.(Thousands Dollars).From Retail Sales|,|Electric Revenues.(Thousands Dollars).From Delivery Customers|,|Electric Revenues.(Thousands Dollars).From Sales for Resale|,|Electric Revenues.(Thousands Dollars).From Credits or Adjustments|,|Electric Revenues.(Thousands Dollars).From Transmission|,|Electric Revenues.(Thousands Dollars).From Other|,|Electric Revenues.(Thousands Dollars).Total|,"|..""Data Type O = Observed I = Imputed""|"
0,2018,97,Adams Electric Coop,IL,Cooperative,SERC,36.0,39.0,"4,551","183,020",.,.,0,.,.,0,.,"187,571","174,976",.,.,361,"12,234","187,571","23,346.0",.,.,.,.,221.0,"23,567.0",O
1,2018,1325,City of Batavia - (IL),IL,Municipal,RFC,89.8,66.2,.,"432,879",.,.,0,.,.,0,.,"432,879","417,685",.,.,.,"15,194","432,879","45,799.0",.,.,.,.,"3,506.0","49,305.0",O
2,2018,3806,"Clinton County Elec Coop, Inc",IL,Cooperative,RFC,32.0,30.0,.,"154,018",.,.,0,.,.,0,.,"154,018","147,184",.,.,.,"6,834","154,018","17,334.0",.,.,.,.,120.0,"17,454.0",O
3,2018,3931,Coles-Moultrie Electric Coop,IL,Cooperative,SERC,43.6,46.9,.,"222,265",.,.,0,.,.,0,.,"222,265","209,432",.,.,510,"12,323","222,265","28,554.0",.,.,.,.,313.0,"28,867.0",O
4,2018,4110,Commonwealth Edison Co,IL,Investor Owned,RFC,"21,349.0","15,407.0",.,"30,858,304",.,.,0,.,.,0,.,"30,858,304","27,783,412","1,005,450","450,196","70,803","1,548,443","30,858,304","3,311,613.9","1,701,727.5","26,717.3",.,"711,213.9","141,049.9","5,892,322.5",O
5,2018,4362,Corn Belt Energy Corporation,IL,Cooperative,RFC,143.3,117.9,.,"691,553",.,.,0,.,.,0,.,"691,553","666,660",.,.,"1,527","23,366","691,553","80,673.2",.,.,.,.,277.8,"80,951.0",O
6,2018,5535,Egyptian Electric Coop Assn,IL,Cooperative,RFC,74.9,100.0,.,"367,657",.,.,0,.,.,0,.,"367,657","351,342",.,.,.,"16,315","367,657","43,865.0",.,.,.,.,.,"43,865.0",O
7,2018,5585,Eastern Illinois Elec Coop,IL,Cooperative,RFC,49.5,53.6,.,"268,722",.,.,0,.,.,0,.,"268,722","249,758",.,.,107,"18,857","268,722","34,836.0",.,.,-25.0,.,48.0,"34,859.0",O
8,2018,5748,Electric Energy Inc,IL,Investor Owned,SERC,0.0,0.0,"4,835,889",.,.,.,0,.,.,0,.,"4,835,889",0,"4,835,889",.,.,.,"4,835,889",0.0,0.0,"150,110.0",0.0,0.0,0.0,"150,110.0",O
9,2018,6417,City of Flora - (IL),IL,Municipal,,25.7,18.9,43,"127,721",.,.,0,.,.,0,.,"127,764","119,885",.,"1,459",.,"6,420","127,764","13,704.0",.,.,.,.,698.0,"14,402.0",O
