Data Year,Utility Number,Utility Name,Ownership,State,BA Code,Total Revenue (Thousand Dollars),Total Sales (MWh),Total Customers,Water Heater,Net Metering,Demand Side Management,Time Based Programs
2018,192,Akiachak Native Community Electric,Cooperative,AK,NA,"1,003.8","1,734",235,.,N,N,N
2018,878,Atmautluak Tribal Utilities,Municipal,AK,NA,434.2,713,91,.,N,N,N
2018,1747,Birch Creek Village Elec Util - (AK),Municipal,AK,NA,.,.,.,.,N,N,N
2018,3421,City of Chignik - (AK),Municipal,AK,NA,309.3,722,107,.,N,N,N
2018,3422,City of Chefornak,Municipal,AK,NA,647.0,"1,329",145,.,N,N,N
2018,3465,Chitina Electric Inc,Investor Owned,AK,NA,223.6,358,78,.,N,N,N
2018,4959,Aniak Light & Power Co Inc,Investor Owned,AK,NA,"1,275.0","2,108",206,.,N,N,N
2018,5721,City of Elfin Cove - (AK),Municipal,AK,NA,148.0,272,76,.,N,N,N
2018,6866,"G & K, Inc",Investor Owned,AK,NA,"1,371.0","2,412",124,.,N,N,N
2018,6915,Galena Electric Utility,Municipal,AK,NA,"3,321.7","5,666",357,.,N,N,N
2018,7833,Gwitchyaa Zhee Utility Co,Investor Owned,AK,NA,.,.,.,.,N,N,N
2018,9000,Hughes Power & Light Co,Investor Owned,AK,NA,277.0,443,58,.,N,N,N
2018,9188,"I-N-N Electric Coop, Inc",Cooperative,AK,NA,"1,534.0","2,952",280,.,N,N,N
2018,9192,Igiugig Electric Company,Political Subdivision,AK,NA,224.6,254,53,.,N,N,N
2018,9416,Ipnatchiaq Electric Company,Municipal,AK,NA,445.5,634,69,.,N,N,N
2018,9832,Kuiggluum Kallugvia,Investor Owned,AK,NA,803.5,"1,487",228,.,N,N,N
2018,9897,City of King Cove,Municipal,AK,NA,"1,117.2","3,724",434,.,N,N,N
2018,10455,Kokhanok Village Council,Political Subdivision,AK,NA,374.8,461,81,.,N,N,N
2018,10491,Kwig Power Company,Political Subdivision,AK,NA,681.0,"1,070",122,.,N,N,N
2018,10716,City of Larsen Bay - (AK),Municipal,AK,AMPL,208.5,703,72,.,N,N,N
2018,12119,McGrath Light & Power Co,Investor Owned,AK,NA,"1,274.8","1,933",292,.,N,N,N
2018,12385,Metlakatla Power & Light,Municipal,AK,NA,"3,219.6","17,799",934,.,N,N,N
