Utility Characteristics,,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2019,84,A & N Electric Coop,,MD,PJM,35,0,0,0,35,1,0,0,0,1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0
2019,84,A & N Electric Coop,,VA,PJM,"2,101",0,0,0,"2,101",63,0,0,0,63,8.4,0.0,0.0,0.0,8.4,2.1,0.0,0.0,0.0,2.1,0,0,0,0,0,15,0,0,0,15,0
2019,97,Adams Electric Coop,,IL,MISO,"4,334",68,0,0,"4,402",0,0,0,0,0,4.0,6.3,0.0,0.0,10.3,0.0,0.0,0.0,0.0,0.0,69,379,0,0,448,7,0,0,0,7,34
2019,108,Adams-Columbia Electric Coop,,WI,MISO,"3,863",0,918,0,"4,781","1,236",0,"12,411",0,"13,647",19.8,0.0,59.7,0.0,79.5,5.9,0.0,5.8,0.0,11.7,305,0,0,0,305,50,0,51,0,100,0
2019,189,PowerSouth Energy Cooperative,,AL,AEC,"20,459",0,0,0,"20,459",0,0,0,0,0,17.7,0.0,0.0,0.0,17.7,17.7,0.0,0.0,0.0,17.7,0,0,0,0,0,246,0,0,0,246,70
2019,195,Alabama Power Co,,AL,SOCO,"5,526",4,54,0,"5,584",50,0,"1,098",0,"1,148",143.8,6.4,"1,411.6",0.0,"1,561.8",7.3,0.0,28.7,0.0,35.9,0,0,0,0,0,382,132,"24,805",0,"25,319",0
2019,213,Alaska Electric Light&Power Co,,AK,NA,"2,346",40,0,0,"2,386",0,0,0,0,0,5.0,13.0,0.0,0.0,18.0,0.0,13.0,0.0,0.0,13.0,64,1,0,0,65,39,1,0,0,39,0
2019,295,City of Alexandria - (MN),,MN,MISO,"2,821",0,0,0,"2,821",0,0,0,0,0,9.0,0.0,0.0,0.0,9.0,3.7,0.0,0.0,0.0,3.7,2,0,0,0,2,51,0,0,0,51,0
2019,329,"Allamakee-Clayton El Coop, Inc",,IA,MISO,"2,606",162,0,0,"2,768",0,0,0,0,0,4.8,2.4,0.0,0.0,7.1,3.1,1.5,0.0,0.0,4.6,441,27,0,0,468,142,9,0,0,151,0
2019,332,Allegheny Electric Coop Inc,,PA,PJM,"45,080",0,0,0,"45,080",0,0,0,0,0,45.0,0.0,0.0,0.0,45.0,43.0,0.0,0.0,0.0,43.0,0,0,0,0,0,"2,331",0,0,0,"2,331",17
2019,407,Altamaha Electric Member Corp,,GA,SOCO,0,0,256,0,256,0,0,14,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,13,0,13,0
2019,554,City of Ames - (IA),,IA,MISO,"10,503",180,0,0,"10,683",0,0,0,0,0,2.9,0.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,222,4,0,0,226,3,0,0,0,3,0
2019,590,City of Anaheim - (CA),,CA,CISO,0,3,11,0,14,0,0,0,0,0,0.0,5.0,8.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2019,700,City of Anthon - (IA),Y,IA,SWPP,105,16,0,0,121,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,5,0,0,0,0,0,0
2019,733,Appalachian Power Co,,VA,PJM,0,0,1,0,1,0,0,0,0,0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2019,733,Appalachian Power Co,,WV,PJM,"2,724",0,5,0,"2,729",47,0,0,0,47,3.0,0.0,127.0,0.0,130.0,3.0,0.0,0.0,0.0,3.0,102,0,0,0,102,672,0,0,0,672,0
2019,803,Arizona Public Service Co,,AZ,AZPS,"693,296",429,0,0,"693,725","760,393","216,822",0,0,"977,215",119.3,38.8,0.0,0.0,158.1,119.3,38.8,0.0,0.0,158.1,"1,732",0,0,0,"1,732","1,459","1,827",0,0,"3,286",0
2019,807,Arkansas Electric Coop Corp,,AR,SWPP,0,0,8,0,8,0,0,0,0,0,0.0,0.0,653.0,0.0,653.0,0.0,0.0,0.0,0.0,0.0,0,0,"29,535",0,"29,535",0,0,0,0,0,0
2019,814,Entergy Arkansas LLC,,AR,MISO,"21,966",0,"1,403",0,"23,369",0,0,0,0,0,17.6,0.0,11.7,0.0,29.3,17.6,0.0,11.7,0.0,29.3,679,0,254,0,933,"1,877",0,"2,592",0,"4,469",0
2019,828,City of Arlington - (MN),,MN,MISO,442,31,0,0,473,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0,0,12,0,0,0,0,0,0
2019,831,City of Arlington - (SD),Y,SD,SWPP,260,33,3,0,296,26,3,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2019,963,Atlantic City Electric Co,,NJ,PJM,"43,558",0,0,0,"43,558",612,0,0,0,612,52.6,0.0,0.0,0.0,52.6,52.6,0.0,0.0,0.0,52.6,15,0,0,0,15,"1,171",0,0,0,"1,171",0
2019,1002,City of Aurelia - (IA),Y,IA,MISO,131,19,2,0,152,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,21,0,0,0,21,0
2019,1009,City of Austin - (MN),,MN,MISO,"6,807",2,0,0,"6,809",136,5,0,0,141,3.8,0.4,0.0,0.0,4.2,3.8,0.4,0.0,0.0,4.2,0,19,0,0,19,0,0,0,0,0,0
2019,1015,Austin Energy,,TX,ERCO,"65,312","2,273",758,0,"68,343",87,0,0,0,87,32.0,47.1,15.2,0.0,94.2,18.5,33.1,10.4,0.0,62.0,"1,649",915,305,0,"2,869",868,222,74,0,"1,164","1,962"
2019,1062,BARC Electric Coop Inc,,VA,PJM,"2,232",0,0,0,"2,232",0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2019,1167,Baltimore Gas & Electric Co,,MD,PJM,"758,207",0,0,0,"758,207","2,871",0,0,0,"2,871",386.0,0.0,0.0,0.0,386.0,0.0,0.0,0.0,0.0,0.0,"28,907",0,0,0,"28,907","12,196",0,0,0,"12,196",0
2019,1233,City of Barnesville - (MN),,MN,MISO,892,60,0,0,952,9,0,0,0,9,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11,0,0,0,11,10,0,0,0,10,0
2019,1251,Barron Electric Coop,,WI,MISO,"6,013",358,0,0,"6,371",0,0,0,0,0,3.4,10.9,0.0,0.0,14.4,2.3,7.4,0.0,0.0,9.7,26,2,0,0,28,84,5,0,0,89,8
2019,1367,"Bayfield Electric Coop, Inc",,WI,MISO,"1,124",7,0,0,"1,131",0,0,0,0,0,5.5,0.0,0.0,0.0,5.5,1.8,0.0,0.0,0.0,1.8,0,0,0,0,0,76,0,0,0,76,0
2019,1529,"Beltrami Electric Coop, Inc",,MN,MISO,"7,389",147,72,0,"7,608","1,271",25,12,0,"1,309",219.6,4.4,2.1,0.0,226.1,34.0,0.7,0.3,0.0,35.0,31,1,0,0,32,297,6,3,0,306,0
2019,1573,City of Benson - (MN),,MN,MISO,968,34,0,0,"1,002",0,0,0,0,0,3.4,0.4,0.0,0.0,3.8,2.6,0.4,0.0,0.0,3.0,1,0,0,0,1,8,0,0,0,8,0
2019,1613,Berkeley Electric Coop Inc,,SC,SC,"18,746",0,0,0,"18,746",0,0,0,0,0,84.4,0.0,0.0,0.0,84.4,7.5,0.0,0.0,0.0,7.5,55,0,0,0,55,95,0,0,0,95,472
2019,1769,"Black Hills Electric Coop, Inc",,SD,SWPP,495,10,0,0,505,4,1,0,0,5,0.9,0.1,0.0,0.0,1.0,0.5,0.1,0.0,0.0,0.6,0,0,0,0,0,5,1,0,0,6,49
2019,1883,Blue Earth Light & Water,,MN,MISO,623,0,0,0,623,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,32,0,0,0,32,0,0,0,0,0,0
2019,1889,Blue Ridge Elec Member Corp - (NC),,NC,DUK,"20,605",0,0,0,"20,605",2,0,0,0,2,3.3,0.0,0.0,0.0,3.3,2.4,0.0,0.0,0.0,2.4,28,0,0,0,28,0,0,0,0,0,0
2019,2120,Village of Brainard - (NE),Y,NE,SWPP,187,5,0,0,192,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2019,2182,City of Breckenridge- (MN),,MN,MISO,652,93,0,0,745,1,1,0,0,2,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0,0,0,0,0,7,1,0,0,8,0
2019,2192,Bremen Electric Light & Power Co,,IN,MISO,0,0,1,0,1,0,0,0,0,0,0.0,0.0,5.1,0.0,5.1,0.0,0.0,4.7,0.0,4.7,0,0,75,0,75,0,0,0,0,0,0
2019,2599,Burt County Public Power Dist,,NE,SWPP,0,0,352,0,352,0,0,240,0,240,0.0,0.0,19.0,0.0,19.0,0.0,0.0,4.0,0.0,4.0,0,0,0,0,0,0,0,10,0,10,0
2019,2641,"Butler Rural El Coop Assn, Inc - (KS)",,KS,SWPP,"6,730",837,8,0,"7,575",0,0,0,0,0,2.6,0.4,1.0,0.0,4.0,1.8,0.2,0.5,0.0,2.5,0,0,0,0,0,0,0,0,0,0,0
2019,2643,Butler Public Power District - (NE),,NE,SWPP,0,0,771,0,771,0,0,194,0,194,0.0,0.0,21.6,0.0,21.6,0.0,0.0,5.5,0.0,5.5,0,0,0,0,0,0,0,1,0,1,0
2019,2655,"Butte Electric Coop, Inc",,SD,WACM,"1,518",0,0,0,"1,518",977,0,0,0,977,9.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,2.0,7,0,0,0,7,12,0,0,0,12,0
2019,2678,C & L Electric Coop Corp,,AR,MISO,0,67,0,0,67,0,0,0,0,0,0.0,1.6,0.0,0.0,1.6,0.0,0.9,0.0,0.0,0.9,0,23,0,0,23,0,1,0,0,1,0
2019,2985,"Capital Electric Coop, Inc",,ND,SWPP,"6,530",9,23,0,"6,562",0,0,0,0,0,19.7,2.3,1.3,0.0,23.4,16.6,1.6,1.3,0.0,19.6,98,26,28,0,152,196,0,1,0,197,40
2019,3046,Duke Energy Progress - (NC),,NC,CPLE,"11,868",225,0,0,"12,093",0,0,0,0,0,13.9,124.4,0.0,0.0,138.4,0.0,0.0,0.0,0.0,0.0,"6,270",0,0,0,"6,270","6,169","1,402",0,0,"7,571",0
2019,3046,Duke Energy Progress - (NC),,SC,CPLE,0,36,0,0,36,0,0,0,0,0,0.0,134.4,0.0,0.0,134.4,0.0,0.0,0.0,0.0,0.0,"1,093",0,0,0,"1,093","1,076",245,0,0,"1,320",0
2019,3205,Cedar-Knox Public Power Dist,,NE,SWPP,0,0,979,0,979,0,0,0,0,0,0.0,0.0,58.0,0.0,58.0,0.0,0.0,6.8,0.0,6.8,0,0,0,0,0,0,0,0,0,0,0
2019,3222,Central Alabama Electric Coop,,AL,AEC,"3,477",0,0,0,"3,477",1,0,0,0,1,7.7,0.0,0.0,0.0,7.7,3.3,0.0,0.0,0.0,3.3,0,0,0,0,0,37,0,0,0,37,0
2019,3248,Central Georgia El Member Corp,,GA,SOCO,"3,478",0,0,0,"3,478",288,0,0,0,288,7.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,4.0,74,0,0,0,74,293,0,0,0,293,18
2019,3249,Central Hudson Gas & Elec Corp,,NY,NYIS,"3,055",7,4,0,"3,066",49,5,3,0,57,4.1,4.7,3.1,0.0,11.9,4.1,4.7,3.1,0.0,11.9,0,0,0,0,0,0,0,0,0,0,0
