Utility Characteristics,,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2019,122,Village of Arcade - (NY),,NY,NYIS,29,297,0,0,326,5.0,11.4,0.0,0.0,16.4,"2,609","3,830",0,0,"6,439",5.2,13.6,0.0,0.0,18.8,16,20,0,0,36,2,16,0,0,19,41,31,0,0,72,20,20,0,0,40,10.000,12.000,0.000,0.000,
2019,150,Adrian Public Utilities Comm,,MN,MISO,7,79,10,0,96,0.0,0.0,0.0,0.0,0.0,110,962,119,0,"1,191",0.0,0.0,0.0,0.0,0.0,2,7,1,0,9,1,3,0,0,4,2,7,1,0,9,1,3,0,0,4,15.200,12.100,12.100,0.000,
2019,162,Aiken Electric Coop Inc,,SC,SC,4,0,0,0,4,0.2,0.0,0.0,0.0,0.2,71,0,0,0,71,0.2,0.0,0.0,0.0,0.2,0,0,0,0,0,31,0,0,0,31,0,0,0,0,0,31,0,0,0,31,19.000,0.000,0.000,0.000,
2019,189,PowerSouth Energy Cooperative,,AL,AEC,"2,394",0,0,0,"2,394",2.5,0.0,0.0,0.0,2.5,"2,394",0,0,0,"2,394",2.5,0.0,0.0,0.0,2.5,950,0,0,0,950,627,0,0,0,627,"1,914",0,0,0,"1,914","1,121",0,0,0,"1,121",1.000,0.000,0.000,0.000,
2019,195,Alabama Power Co,,AL,SOCO,"5,486",192,40,0,"5,718",1.6,1.7,0.0,0.0,3.3,"49,832","2,881","2,292",0,"55,005",2.1,1.8,0.0,0.0,3.8,5,0,0,0,5,"3,256",84,18,0,"3,357",5,0,0,0,5,"3,256",84,18,0,"3,357",6.710,4.880,5.000,0.000,
2019,198,City of Alton,Y,IA,MISO,12,8,0,0,21,0.0,0.0,0.0,0.0,0.0,176,109,0,0,285,0.0,0.0,0.0,0.0,0.0,3,1,0,0,4,1,1,0,0,2,3,1,0,0,4,1,1,0,0,2,2.000,13.000,0.000,0.000,www.altoniowa.us
2019,207,City of Alameda,,CA,CISO,44,"2,437",0,0,"2,481",0.0,0.2,0.0,0.0,0.2,470,"34,689",0,0,"35,159",0.0,0.2,0.0,0.0,0.2,15,512,0,0,527,251,683,0,0,934,15,512,0,0,527,251,683,0,0,934,12.785,14.359,0.000,0.000,https://www.alamedamp.com/273/Energy-Efficiency-Reports
2019,295,City of Alexandria - (MN),,MN,MISO,261,914,"3,240",0,"4,415",0.0,0.2,0.5,0.0,0.7,"4,504","11,461","40,635",0,"56,600",0.0,0.2,0.5,0.0,0.7,36,34,120,0,190,14,14,48,0,76,36,34,120,0,190,14,14,48,0,76,17.300,12.500,12.500,0.000,
2019,309,City of Algona - (IA),,IA,SWPP,115,268,45,0,428,0.1,0.0,0.0,0.0,0.1,"2,784","5,340",894,0,"9,018",0.1,0.0,0.0,0.0,0.1,32,23,17,0,72,9,95,4,0,107,32,23,17,0,72,9,95,4,0,107,24.210,19.930,19.900,0.000,
2019,329,"Allamakee-Clayton El Coop, Inc",,IA,MISO,735,389,0,0,"1,124",0.1,0.1,0.0,0.0,0.1,"10,405","5,632",0,0,"16,037",0.1,0.1,0.0,0.0,0.1,41,10,0,0,51,19,1,0,0,20,41,10,0,0,51,19,1,0,0,20,14.028,14.013,0.000,0.000,
2019,405,City of Alta - (IA),Y,IA,MISO,7,59,0,0,66,0.0,0.0,0.0,0.0,0.0,116,925,0,0,"1,041",0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,2,0,0,2,1,2,0,0,3,0,2,0,0,2,15.660,15.770,0.000,0.000,
2019,554,City of Ames - (IA),,IA,MISO,490,"3,728",0,0,"4,218",0.6,1.1,0.0,0.0,1.7,"7,890","60,025",0,0,"67,915",0.6,1.1,0.0,0.0,1.7,246,137,0,0,383,25,11,0,0,36,246,137,0,0,383,25,11,0,0,36,18.690,20.000,0.000,0.000,
2019,590,City of Anaheim - (CA),,CA,CISO,"5,055","19,023","2,662",0,"26,740",1.4,4.3,0.2,0.0,5.9,"53,956","232,724","30,120",0,"316,799",1.4,4.3,0.2,0.0,5.9,"4,332","1,909",0,0,"6,241","1,323","1,644",35,0,"3,001","4,332","1,909",0,0,"6,241","1,323","1,644",35,0,"3,001",13.522,13.006,17.697,0.000,
2019,682,City of Anita - (IA),Y,IA,MISO,10,2,0,0,12,0.0,0.0,0.0,0.0,0.0,50,10,0,0,60,0.0,0.0,0.0,0.0,0.0,2,1,0,0,3,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,5.000,5.000,0.000,0.000,
2019,691,City of Anoka,,MN,MISO,400,"1,786",0,0,"2,186",0.2,3.2,0.0,0.0,3.4,"1,764","14,622",0,0,"16,385",0.2,3.2,0.0,0.0,3.4,25,229,0,0,255,106,28,0,0,133,25,229,0,0,255,106,28,0,0,133,12.000,14.000,0.000,0.000,
2019,700,City of Anthon - (IA),Y,IA,SWPP,77,0,0,0,77,0.0,0.0,0.0,0.0,0.0,"1,560",0,0,0,"1,560",0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,20.330,0.000,0.000,0.000,
2019,733,Appalachian Power Co,,VA,PJM,"3,146","15,816","1,602",0,"20,564",0.5,2.7,0.3,0.0,3.5,"27,480","143,908","16,220",0,"187,608",0.5,2.7,0.3,0.0,3.5,521,972,98,0,"1,591","1,866","1,250",127,0,"3,243",521,972,98,0,"1,591","1,866","1,250",127,0,"3,243",8.700,9.100,10.100,0.000,
2019,733,Appalachian Power Co,,WV,PJM,"22,947","23,806","5,952",0,"52,705",2.9,2.3,0.6,0.0,5.8,"183,577","335,101","83,775",0,"602,453",2.9,2.3,0.6,0.0,5.8,"1,133",813,203,0,"2,149","2,533","1,161",291,0,"3,985","1,133",813,203,0,"2,149","2,533","1,161",291,0,"3,985",8.000,13.700,14.100,0.000,
2019,737,Aguila Irrigation District,Y,AZ,AZPS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0.000,0.000,0.000,0.000,
2019,803,Arizona Public Service Co,,AZ,AZPS,"91,884","51,341",0,0,"143,225",67.4,12.2,0.0,0.0,79.6,"797,054","732,795",0,0,"1,529,849",67.4,12.2,0.0,0.0,79.6,"6,978","2,283",0,0,"9,260","8,181","5,144",0,0,"13,325","6,978","2,283",0,0,"9,260","8,181","5,144",0,0,"13,325",8.700,14.300,0.000,0.000,
2019,814,Entergy Arkansas LLC,,AR,MISO,"77,752","105,319","65,592",0,"248,663",23.5,13.1,11.7,0.0,48.3,"1,323,407","1,634,407","958,345",0,"3,916,159",23.5,13.1,11.7,0.0,48.3,"13,010","12,632","9,627",0,"35,269","4,919","5,091","3,450",0,"13,460","13,010","12,632","9,627",0,"35,269","4,919","5,091","3,450",0,"13,460",17.000,15.500,14.600,0.000,http://www.apscservices.info/eeAnnualReports.aspx
2019,828,City of Arlington - (MN),,MN,MISO,8,236,0,0,243,0.0,0.0,0.0,0.0,0.0,8,236,0,0,243,0.0,0.0,0.0,0.0,0.0,1,15,0,0,16,0,0,0,0,0,1,15,0,0,16,0,0,0,0,0,1.000,1.000,0.000,0.000,
2019,924,"Associated Electric Coop, Inc",,MO,SWPP,"4,521","6,393","2,267",0,"13,182",0.6,2.5,1.1,0.0,4.2,"138,371","163,489","73,527",0,"375,386",0.6,2.5,1.1,0.0,4.2,"2,316",431,128,0,"2,875",61,0,9,0,71,"2,316",431,128,0,"2,875",61,0,9,0,71,17.000,15.000,15.000,0.000,
2019,963,Atlantic City Electric Co,,NJ,PJM,"13,574",0,0,0,"13,574",3.4,0.0,0.0,0.0,3.4,"20,632",0,0,0,"20,632",3.4,0.0,0.0,0.0,3.4,"3,813",0,0,0,"3,813","1,619",0,0,0,"1,619","3,813",0,0,0,"3,813","1,619",0,0,0,"1,619",2.000,0.000,0.000,0.000,
2019,965,Atlantic Municipal Utilities,,IA,MISO,61,"1,159",173,0,"1,393",0.0,0.2,0.0,0.0,0.3,"1,090","13,911","2,079",0,"17,079",0.0,0.2,0.0,0.0,0.3,13,64,10,0,87,5,26,4,0,35,13,64,10,0,87,5,26,4,0,35,17.800,12.000,12.000,0.000,
2019,1002,City of Aurelia - (IA),Y,IA,MISO,35,36,0,0,71,0.0,0.0,0.0,0.0,0.0,680,711,0,0,"1,391",0.0,0.0,0.0,0.0,0.0,5,1,0,0,7,0,0,0,0,0,5,1,0,0,7,0,0,0,0,0,19.180,20.000,0.000,0.000,
2019,1009,City of Austin - (MN),,MN,MISO,636,"2,411","2,549",0,"5,596",0.2,0.3,0.4,0.0,0.9,"6,360","24,110","25,490",0,"55,960",0.2,0.3,0.4,0.0,0.9,119,219,143,0,481,159,42,38,0,239,119,219,143,0,481,159,42,38,0,239,10.000,10.000,10.000,0.000,
2019,1015,Austin Energy,,TX,ERCO,"41,299","61,302","18,736",0,"121,336",22.4,18.5,5.7,0.0,46.5,"729,250","929,386","292,817",0,"1,951,453",22.4,18.5,5.7,0.0,46.5,"7,010","2,841",687,0,"10,538","2,690","1,147",325,0,"4,162","7,010","2,841",687,0,"10,538","2,690","1,147",325,0,"4,162",17.660,15.160,15.630,0.000,
2019,1050,City of Azusa,,CA,CISO,481,"4,873",124,0,"5,478",0.0,0.8,0.0,0.0,0.8,"3,257","64,624","1,858",0,"69,739",0.0,0.8,0.0,0.0,0.8,83,491,54,0,628,12,217,7,0,236,83,491,54,0,628,12,217,7,0,236,12.675,14.504,15.000,0.000,
2019,1101,Bagley Public Utilities Comm,,MN,MISO,25,7,117,0,148,0.0,0.0,0.0,0.0,0.0,100,73,"1,205",0,"1,377",0.0,0.0,0.0,0.0,0.0,2,0,6,0,9,1,0,1,0,3,2,0,6,0,9,1,0,1,0,3,17.830,10.930,11.450,0.000,
2019,1167,Baltimore Gas & Electric Co,,MD,PJM,"295,173","164,343",0,0,"459,517",65.3,33.4,0.0,0.0,98.6,"1,591,985","1,917,681",0,0,"3,509,665",65.3,33.4,0.0,0.0,98.6,"32,994","45,114",0,0,"78,108","18,541","12,169",0,0,"30,710","32,994","45,114",0,0,"78,108","18,541","12,169",0,0,"30,710",5.394,11.669,0.000,0.000,http://webapp.psc.state.md.us/intranet/home.cfm
2019,1176,City of Bandon - (OR),,OR,BPAT,33,25,2,0,60,0.0,0.0,0.0,0.0,0.0,626,365,29,0,"1,020",0.0,0.0,0.0,0.0,0.0,7,6,0,0,14,10,8,1,0,18,7,6,0,0,14,10,8,1,0,18,19.174,14.750,12.000,0.000,www.cityofbandon.org
2019,1233,City of Barnesville - (MN),,MN,MISO,121,51,0,0,172,0.0,0.0,0.0,0.0,0.0,"1,590",615,0,0,"2,205",0.0,0.0,0.0,0.0,0.0,5,3,0,0,8,2,1,0,0,3,5,3,0,0,8,2,1,0,0,3,13.100,12.000,12.000,0.000,
2019,1251,Barron Electric Coop,,WI,MISO,614,244,286,0,"1,144",0.0,0.0,0.0,0.0,0.1,"8,513","3,583","2,860",0,"14,956",0.0,0.0,0.0,0.0,0.1,27,3,5,0,35,110,2,0,0,112,27,3,5,0,35,110,2,0,0,112,13.865,14.684,10.000,0.000,
2019,1273,"Bartlett Electric Coop, Inc",,TX,ERCO,15,0,0,0,15,0.0,0.0,0.0,0.0,0.0,208,0,0,0,208,0.0,0.0,0.0,0.0,0.0,3,0,0,0,3,1,0,0,0,1,10,0,0,0,10,1,0,0,0,1,15.200,0.000,0.000,0.000,www.bartlettec.coop
2019,1366,City of Bay City - (MI),,MI,MISO,"1,212","1,486",0,0,"2,698",0.1,0.2,0.0,0.0,0.3,"12,975","21,856",0,0,"34,831",0.1,0.1,0.0,0.0,0.3,155,173,0,0,328,86,83,0,0,169,155,173,0,0,328,86,83,0,0,169,10.700,16.370,0.000,0.000,www.baycityenergysmart.org/annual-reports
2019,1367,"Bayfield Electric Coop, Inc",,WI,MISO,81,149,0,0,230,0.0,0.0,0.0,0.0,0.0,"1,152","1,980",0,0,"3,132",0.0,0.0,0.0,0.0,0.0,14,2,0,0,16,31,0,0,0,31,14,2,0,0,16,31,0,0,0,31,14.220,13.290,0.000,0.000,
2019,1529,"Beltrami Electric Coop, Inc",,MN,MISO,"2,270","1,136",0,0,"3,406",0.1,0.1,0.0,0.0,0.2,"12,567","12,994",0,0,"25,561",0.1,0.1,0.0,0.0,0.2,140,143,0,0,282,100,1,0,0,101,140,143,0,0,282,100,1,0,0,101,8.000,11.430,0.000,0.000,www. beltramielectric.com
2019,1573,City of Benson - (MN),,MN,MISO,29,124,276,0,429,0.0,0.0,0.1,0.0,0.1,505,"1,505","3,350",0,"5,360",0.0,0.0,0.1,0.0,0.1,7,6,14,0,27,3,3,6,0,11,7,6,14,0,27,3,3,6,0,11,17.300,12.200,12.200,0.000,
2019,1579,PUD No 1 of Benton County,,WA,BPAT,"1,787","4,278","2,575",0,"8,640",0.4,0.8,0.3,0.0,1.4,"21,444","51,336","30,900",0,"103,680",0.4,0.8,0.3,0.0,1.4,564,528,198,0,"1,290",0,0,0,0,0,564,528,198,0,"1,290",0,0,0,0,0,12.000,12.000,12.000,0.000,
2019,1601,City of Beresford,,SD,SWPP,2,137,353,0,492,0.0,0.0,0.1,0.0,0.1,18,"1,698","4,366",0,"6,081",0.0,0.0,0.1,0.0,0.1,0,12,31,0,43,0,5,12,0,17,0,12,31,0,43,0,5,12,0,17,12.000,12.400,12.400,0.000,
2019,1613,Berkeley Electric Coop Inc,,SC,SC,354,239,0,0,593,0.7,0.1,0.0,0.0,0.8,"3,113","1,194",0,0,"4,307",0.7,0.1,0.0,0.0,0.8,106,4,0,0,110,82,1,0,0,83,106,4,0,0,110,111,1,0,0,112,11.000,5.000,0.000,0.000,
2019,1692,Big Rivers Electric Corp,,KY,MISO,29,"1,242",0,0,"1,271",0.0,0.3,0.0,0.0,0.3,406,"12,861",0,0,"13,267",0.0,0.3,0.0,0.0,0.3,9,119,0,0,128,2,24,0,0,26,9,119,0,0,128,2,24,0,0,26,14.400,14.000,0.000,0.000,
2019,1698,City of Big Stone City - (SD),Y,SD,MISO,1,15,0,0,16,0.0,0.0,0.0,0.0,0.0,16,183,0,0,199,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,16.600,12.000,12.000,0.000,
2019,1723,"Big Bend Electric Coop, Inc",,WA,BPAT,142,424,"3,513",0,"4,079",0.0,0.1,0.4,0.0,0.6,"2,450","5,325","27,929",0,"35,705",0.0,0.1,0.4,0.0,0.5,22,26,216,0,264,13,2,79,0,93,22,26,216,0,264,13,2,79,0,93,17.220,12.560,7.950,0.000,Savings reported as part of Bonneville Power Administration's Energy Efficiency program.
2019,1736,Blachly-Lane County Coop El Assn,,OR,BPAT,108,35,351,0,494,0.0,0.0,0.1,0.0,0.2,"1,949",509,"4,218",0,"6,676",0.0,0.0,0.1,0.0,0.2,31,7,47,0,85,7,2,22,0,31,31,7,47,0,85,7,2,22,0,31,18.036,14.667,12.000,0.000,www.blachlylane.coop
2019,1763,"Black River Electric Coop, Inc - (SC)",,SC,SC,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,330,0,0,0,330,0,0,0,0,0,330,0,0,0,330,0.000,0.000,0.000,0.000,
2019,1818,City of Blaine - (WA),,WA,PSEI,830,50,0,0,880,0.1,0.0,0.0,0.0,0.1,"8,414",603,0,0,"9,017",0.1,0.0,0.0,0.0,0.1,120,6,0,0,125,0,0,0,0,0,120,6,0,0,125,0,0,0,0,0,10.130,12.000,0.000,0.000,
2019,1889,Blue Ridge Elec Member Corp - (NC),,NC,DUK,99,0,0,0,99,1.0,0.0,0.0,0.0,1.0,743,0,0,0,743,1.0,0.0,0.0,0.0,1.0,15,0,0,0,15,0,0,0,0,0,53,0,0,0,53,0,0,0,0,0,7.000,0.000,0.000,0.000,
2019,2008,City of Boulder City - (NV),,NV,WALC,339,0,0,0,339,0.0,0.0,0.0,0.0,0.0,"3,394",0,0,0,"3,394",0.0,0.0,0.0,0.0,0.0,46,0,0,0,46,17,0,0,0,17,46,0,0,0,46,17,0,0,0,17,15.000,0.000,0.000,0.000,
2019,2089,Bozrah Light & Power Company,,CT,ISNE,8,133,0,0,141,0.0,0.0,0.0,0.0,0.0,139,"1,772",0,0,"1,911",0.0,0.0,0.0,0.0,0.0,12,90,0,0,102,2,16,0,0,18,12,90,0,0,102,2,16,0,0,18,16.600,13.400,0.000,0.000,
2019,2182,City of Breckenridge- (MN),,MN,MISO,119,144,163,0,426,0.0,0.0,0.1,0.0,0.1,"1,553","2,030","2,289",0,"5,872",0.0,0.0,0.1,0.0,0.1,11,13,14,0,38,5,5,6,0,15,11,13,14,0,38,5,5,6,0,15,13.100,14.100,14.100,0.000,
2019,2205,Village of Brewster - (OH),Y,OH,PJM,42,187,0,0,229,0.0,0.0,0.0,0.0,0.0,293,"2,900",0,0,"3,193",0.0,0.0,0.0,0.0,0.0,3,22,0,0,25,16,20,0,0,36,3,22,0,0,25,16,20,0,0,36,6.970,15.550,0.000,0.000,
2019,2212,"Broad River Electric Coop, Inc",,NC,DUK,0,0,0,0,0,0.1,0.0,0.0,0.0,0.1,0,0,0,0,0,0.1,0.0,0.0,0.0,0.1,0,0,0,0,0,"10,395",0,0,0,"10,395",0,0,0,0,0,"10,395",0,0,0,"10,395",0.000,0.000,0.000,0.000,
2019,2285,City of Brookings - (SD),,SD,WACM,171,120,361,0,652,0.0,0.0,0.1,0.0,0.2,"2,628","1,453","4,358",0,"8,439",0.0,0.0,0.1,0.0,0.2,25,10,31,0,67,10,4,13,0,27,25,10,31,0,67,10,4,13,0,27,15.400,12.100,12.100,0.000,
2019,2442,City of Bryan - (TX),,TX,ERCO,354,"1,221",0,0,"1,575",0.1,0.3,0.0,0.0,0.4,"5,221","15,977",0,0,"21,198",0.1,0.3,0.0,0.0,0.4,73,111,0,0,183,53,24,0,0,77,76,111,0,0,186,53,24,0,0,77,10.000,10.000,0.000,0.000,
2019,2469,Buckeye Water C&D District,Y,AZ,AZPS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,79,0,292,0,371,0,0,0,0,0,79,0,292,0,371,0.000,0.000,0.000,0.000,
2019,2507,City of Burbank Water and Power,,CA,LDWP,"3,791","6,966",0,0,"10,757",0.9,2.2,0.0,0.0,3.1,"21,380","82,522",0,0,"103,902",0.9,2.2,0.0,0.0,3.1,"1,327",662,0,0,"1,989",588,681,0,0,"1,269","1,327",662,0,0,"1,989",588,681,0,0,"1,269",13.436,12.200,0.000,0.000,
2019,2548,City of Burlington Electric - (VT),,VT,ISNE,"1,274","2,581",0,0,"3,855",0.1,0.4,0.0,0.0,0.5,"14,014","29,165",0,0,"43,179",0.1,0.4,0.0,0.0,0.5,209,563,0,0,773,416,664,0,0,"1,080",209,563,0,0,773,416,664,0,0,"1,080",11.000,11.300,0.000,0.000,"www.burlingtonelectric.com (posted on May 1, 2020)"
2019,2599,Burt County Public Power Dist,,NE,SWPP,9,10,0,0,19,0.0,0.0,0.0,0.0,0.0,175,112,0,0,287,0.0,0.0,0.0,0.0,0.0,2,1,0,0,3,6,1,0,0,7,2,1,0,0,3,6,1,0,0,7,20.000,11.000,0.000,0.000,
2019,2643,Butler Public Power District - (NE),,NE,SWPP,84,175,150,0,408,0.0,0.0,0.0,0.0,0.0,"1,399","1,920","1,495",0,"4,814",0.0,0.0,0.0,0.0,0.0,20,7,14,0,41,6,2,4,0,12,20,7,14,0,41,6,2,4,0,12,16.690,11.000,10.000,0.000,
2019,2655,"Butte Electric Coop, Inc",,SD,WACM,5,0,0,0,5,15.0,0.0,0.0,0.0,15.0,135,0,0,0,135,15.0,0.0,0.0,0.0,15.0,0,0,0,0,0,1,0,0,0,1,8,0,0,0,8,4,0,0,0,4,10.000,0.000,0.000,0.000,
2019,2955,Canby Utility Board,,OR,PGE,67,110,84,0,260,0.0,0.1,0.0,0.0,0.1,"1,705","1,259","1,262",0,"4,227",0.0,0.1,0.0,0.0,0.1,16,32,18,0,65,7,11,9,0,27,16,32,18,0,65,7,11,9,0,27,25.580,11.500,15.000,0.000,www.canbyutility.org
2019,3029,City of Carlisle- (IA),Y,IA,MISO,2,7,0,0,9,0.0,0.0,0.0,0.0,0.0,31,142,0,0,173,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,2,0,0,3,1,0,0,0,1,1,2,0,0,3,20.000,20.000,0.000,0.000,
2019,3046,Duke Energy Progress - (NC),,NC,CPLE,"340,732","101,615",0,0,"442,347",91.4,18.9,0.0,0.0,110.2,"939,109","1,271,367",0,0,"2,210,477",91.4,18.9,0.0,0.0,110.2,"26,821","11,797",0,0,"38,618","16,180","5,843",0,0,"22,023","26,821","11,797",0,0,"38,618","16,180","5,843",0,0,"22,023",2.756,12.512,0.000,0.000,
2019,3046,Duke Energy Progress - (NC),,SC,CPLE,"59,423","17,721",0,0,"77,145",15.9,3.3,0.0,0.0,19.2,"163,779","221,724",0,0,"385,503",15.9,3.3,0.0,0.0,19.2,"4,677","2,057",0,0,"6,735","2,822","1,019",0,0,"3,841","4,677","2,057",0,0,"6,735","2,822","1,019",0,0,"3,841",2.756,12.512,0.000,0.000,
2019,3107,Carteret-Craven El Member Corp,,NC,CPLE,"1,056",2,0,0,"1,058",44.0,0.1,0.0,0.0,44.1,"1,110","8,473",0,0,"9,583",46.2,0.1,0.0,0.0,46.3,1,0,0,0,1,6,1,0,0,7,1,0,0,0,1,6,1,0,0,7,2.570,17.000,0.000,0.000,
2019,3136,City of Cascade Locks - (OR),Y,OR,BPAT,63,116,0,0,179,0.0,0.0,0.0,0.0,0.0,"1,544","1,386",0,0,"2,930",0.0,0.0,0.0,0.0,0.0,17,17,0,0,34,3,6,0,0,10,17,17,0,0,34,3,6,0,0,10,24.333,12.000,0.000,0.000,www.cascade-locks.or.us
2019,3186,City of Cavalier - (ND),Y,ND,MISO,61,194,0,0,255,0.0,0.0,0.0,0.0,0.0,736,"2,331",0,0,"3,067",0.0,0.0,0.0,0.0,0.0,2,7,0,0,9,1,3,0,0,4,2,7,0,0,9,1,3,0,0,4,12.000,12.000,12.000,0.000,
2019,3203,Cedar Falls Utilities,,IA,MISO,"1,584","7,675",314,0,"9,573",0.4,1.0,0.0,0.0,1.5,"24,484","115,063","4,643",0,"144,190",0.4,1.0,0.0,0.0,1.5,213,356,23,0,593,311,39,5,0,354,213,356,23,0,593,311,39,5,0,354,15.461,14.992,14.788,0.000,
2019,3205,Cedar-Knox Public Power Dist,,NE,SWPP,90,85,232,0,407,0.0,0.0,0.0,0.0,0.1,"1,435",936,"2,553",0,"4,924",0.0,0.0,0.0,0.0,0.1,28,4,8,0,40,12,2,3,0,17,28,4,8,0,40,12,2,3,0,17,15.996,11.000,11.000,0.000,
2019,3240,Central Electric Coop Inc - (OR),,OR,BPAT,937,708,611,0,"2,256",0.1,0.1,0.1,0.0,0.3,"98,097","35,992","15,308",0,"149,397",0.1,0.1,0.1,0.0,0.3,305,156,110,0,571,7,0,0,0,7,"1,954",546,241,0,"2,741",31,0,0,0,31,20.020,12.000,9.060,0.000,
2019,3245,"Central Florida Elec Coop, Inc",,FL,SEC,69,0,0,0,69,0.0,0.0,0.0,0.0,0.0,"1,329",0,0,0,"1,329",0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,19,0,0,0,19,1,0,0,0,1,19,0,0,0,19,19.348,0.000,0.000,0.000,
2019,3248,Central Georgia El Member Corp,,GA,SOCO,214,0,0,0,214,0.1,0.0,0.0,0.0,0.1,"2,602",0,0,0,"2,602",0.1,0.0,0.0,0.0,0.1,22,0,0,0,22,15,0,0,0,15,22,0,0,0,22,15,0,0,0,15,11.100,0.000,0.000,0.000,
