Data Year,Utility Number,Utility Name,Short Form,State,Distribution Circuits,Circuits with Voltage Optimization
2019,34,City of Abbeville - (SC),Y,SC,2,0
2019,55,City of Aberdeen - (MS),,MS,8,8
2019,59,City of Abbeville - (LA),,LA,15,0
2019,84,A & N Electric Coop,,MD,1,0
2019,84,A & N Electric Coop,,VA,43,0
2019,87,City of Ada - (MN),Y,MN,2,0
2019,97,Adams Electric Coop,,IL,47,47
2019,108,Adams-Columbia Electric Coop,,WI,95,16
2019,118,"Adams Rural Electric Coop, Inc",,OH,18,3
2019,122,Village of Arcade - (NY),,NY,22,0
2019,123,City of Adel- (GA),,GA,15,0
2019,149,City of Afton- (IA),Y,IA,2,0
2019,150,Adrian Public Utilities Comm,,MN,5,0
2019,155,Agralite Electric Coop,,MN,64,0
2019,157,Town of Advance - (IN),Y,IN,1,0
2019,162,Aiken Electric Coop Inc,,SC,122,0
2019,174,Aitkin Public Utilities Comm,Y,MN,2,2
2019,176,Ajo Improvement Co,,AZ,5,0
2019,182,City of Akron - (IA),Y,IA,4,4
2019,183,Village of Akron - (NY),Y,NY,3,0
2019,191,Alamo Power District No 3,Y,NV,3,0
2019,192,Akiachak Native Community Electric,Y,AK,2,2
2019,195,Alabama Power Co,,AL,"2,243",3
2019,198,City of Alton,Y,IA,3,0
2019,201,City of Alachua - (FL),,FL,3,0
2019,202,Town of Black Creek - (NC),Y,NC,1,0
2019,207,City of Alameda,,CA,26,24
2019,213,Alaska Electric Light&Power Co,,AK,31,31
2019,219,Alaska Power and Telephone Co,,AK,31,0
2019,221,"Alaska Village Elec Coop, Inc",,AK,182,0
2019,228,City of Albany - (MO),Y,MO,4,0
2019,229,City of Albany - (IL),Y,IL,1,0
2019,230,Albany Utility Board,,GA,52,0
2019,232,City of Albemarle - (NC),,NC,14,14
2019,240,Albemarle Electric Member Corp,,NC,31,28
2019,241,Albertville Municipal Utilities Board,,AL,22,0
2019,244,City of Albion - (ID),Y,ID,100,0
2019,261,AGC Division of APG Inc,,IN,1,0
2019,266,City of Alpha - (MN),Y,MN,79,0
2019,276,Alcorn County Elec Power Assn,,MS,33,15
2019,282,Village of Arcadia - (OH),Y,OH,1,0
2019,289,City of Alexander City,,AL,11,0
2019,295,City of Alexandria - (MN),,MN,25,6
2019,296,"Alfalfa Electric Coop, Inc",,KS,3,0
2019,296,"Alfalfa Electric Coop, Inc",,OK,49,0
2019,298,City of Alexandria - (LA),,LA,61,0
2019,305,Alger-Delta Coop Electric Assn,,MI,17,0
2019,307,Algoma Utility Comm,,WI,9,9
2019,308,City of Acworth - (GA),,GA,8,8
2019,309,City of Algona - (IA),,IA,14,0
2019,329,"Allamakee-Clayton El Coop, Inc",,IA,53,0
2019,366,City of Allendale- (IL),Y,IL,4,0
2019,367,City of Alliance- (NE),,NE,13,0
2019,385,City of Alma - (KS),Y,KS,3,0
2019,392,Alpena Power Co,,MI,39,0
2019,405,City of Alta - (IA),Y,IA,6,0
2019,406,City of Altamont - (IL),Y,IL,10,8
2019,407,Altamaha Electric Member Corp,,GA,57,57
2019,408,City of Altamont - (KS),Y,KS,1,0
2019,416,City of Altus - (OK),,OK,11,11
2019,432,City of Alta Vista- (IA),Y,IA,40,40
2019,471,Amana Society Service Co,,IA,6,0
2019,482,City of Alvarado - (MN),Y,MN,1,1
2019,554,City of Ames - (IA),,IA,41,0
2019,560,City of Amherst- (OH),,OH,2,0
2019,562,Amicalola Electric Member Corp,,GA,62,0
2019,571,City of Amory,,MS,11,0
2019,577,City of Alcoa Utilities,,TN,37,0
2019,588,Anadarko Public Works Authority,Y,OK,4,0
2019,590,City of Anaheim - (CA),,CA,123,123
2019,599,Anchorage Municipal Light and Power,,AK,76,15
2019,604,City of Andalusia,,AL,14,0
2019,636,City of Anderson - (IN),,IN,65,0
2019,661,Village of Andover - (NY),Y,NY,200,0
2019,669,Village of Angelica - (NY),Y,NY,6,6
2019,682,City of Anita - (IA),Y,IA,6,0
2019,689,Connexus Energy,,MN,202,202
2019,690,City of Bardstown - (KY),,KY,15,0
2019,691,City of Anoka,,MN,23,0
2019,694,Anza Electric Coop Inc,,CA,8,8
2019,695,City of Ansley - (NE),Y,NE,4,0
2019,700,City of Anthon - (IA),Y,IA,3,3
2019,701,City of Anthony - (KS),Y,KS,6,0
2019,719,Town of Apex- (NC),,NC,18,16
2019,723,City of Aplington,Y,IA,1,1
2019,727,Appalachian Electric Coop,,TN,72,72
2019,733,Appalachian Power Co,,VA,587,0
2019,733,Appalachian Power Co,,WV,495,3
2019,750,Arab Electric Coop Inc,,AL,20,0
2019,752,City of Arapahoe - (NE),Y,NE,2,0
2019,765,City of Arcadia - (WI),Y,WI,10,10
2019,768,City of Arcanum - (OH),Y,OH,6,0
2019,789,Town of Argos,Y,IN,3,0
2019,792,City of Argyle - (WI),Y,WI,4,0
2019,803,Arizona Public Service Co,,AZ,"1,386",0
2019,814,Entergy Arkansas LLC,,AR,"1,255",0
2019,814,Entergy Arkansas LLC,,TN,3,0
2019,817,Arkansas Valley Elec Coop Corp,,AR,129,0
2019,817,Arkansas Valley Elec Coop Corp,,OK,13,0
2019,828,City of Arlington - (MN),,MN,8,0
2019,831,City of Arlington - (SD),Y,SD,4,4
2019,832,City of Arma - (KS),Y,KS,5,0
2019,871,Village of Arnold - (NE),Y,NE,182,0
2019,887,"Arrowhead Electric Coop, Inc",,MN,5,0
2019,902,Town of Ashburnham - (MA),Y,MA,2,0
2019,906,Town of Ashland,Y,NH,6,0
2019,907,City of Ashland - (OR),,OR,11,0
2019,911,City of Ashland - (KS),Y,KS,2,0
2019,918,City of Aspen- (CO),,CO,3,0
2019,925,"Ashley Chicot Elec Coop, Inc",Y,AR,17,0
2019,925,"Ashley Chicot Elec Coop, Inc",Y,LA,1,0
2019,942,Atchison-Holt Electric Coop,,IA,10,4
2019,942,Atchison-Holt Electric Coop,,MO,20,10
2019,944,City of Athens - (AL),,AL,75,75
2019,947,Athens Utility Board,,TN,24,0
2019,963,Atlantic City Electric Co,,NJ,355,0
2019,965,Atlantic Municipal Utilities,,IA,12,0
2019,989,City of Attica - (KS),,KS,2,2
2019,993,Auburn Board of Public Works,,NE,12,0
2019,994,City of Auburn - (IN),,IN,20,3
2019,995,City of Auburn - (IA),Y,IA,1,0
2019,998,City of Augusta - (KS),,KS,8,0
2019,1000,City of Augusta - (AR),Y,AR,1,1
2019,1002,City of Aurelia - (IA),Y,IA,4,3
