|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Number of.Customers Enrolled.Residential|,|Number of.Customers Enrolled.Commercial|,|Number of.Customers Enrolled.Industrial|,|Number of.Customers Enrolled.Transportation|,|Number of.Customers Enrolled.Total|,|Types of Program.Time of Use Pricing.Residential|,|Types of Program.Time of Use Pricing.Commercial|,|Types of Program.Time of Use Pricing.Industrial|,|Types of Program.Time of Use Pricing.Transportation|,|Types of Program.Real Time Pricing.Residential|,|Types of Program.Real Time Pricing.Commercial|,|Types of Program.Real Time Pricing.Industrial|,|Types of Program.Real Time Pricing.Transportation|,|Types of Program.Variable Peak Pricing.Residential|,|Types of Program.Variable Peak Pricing.Commercial|,|Types of Program.Variable Peak Pricing.Industrial|,|Types of Program.Variable Peak Pricing.Transportation|,|Types of Program.Critical Peak Pricing.Residential|,|Types of Program.Critical Peak Pricing.Commercial|,|Types of Program.Critical Peak Pricing.Industrial|,|Types of Program.Critical Peak Pricing.Transportation|,|Types of Program.Critical Peak Rebate.Residential|,|Types of Program.Critical Peak Rebate.Commercial|,|Types of Program.Critical Peak Rebate.Industrial|,|Types of Program.Critical Peak Rebate.Transportation|
2019,55,City of Aberdeen - (MS),,MS,TVA,0,19,1,0,20,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,84,A & N Electric Coop,,VA,PJM,4,5,0,0,9,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,97,Adams Electric Coop,,IL,MISO,46,7,0,0,53,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,108,Adams-Columbia Electric Coop,,WI,MISO,787,951,10,0,"1,748",Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N
2019,162,Aiken Electric Coop Inc,,SC,SC,2,59,0,0,61,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,195,Alabama Power Co,,AL,SOCO,621,"4,273","1,105",0,"5,999",Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N
2019,213,Alaska Electric Light&Power Co,,AK,NA,43,4,0,0,47,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,240,Albemarle Electric Member Corp,,NC,PJM,10,11,0,0,21,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,241,Albertville Municipal Utilities Board,,AL,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,276,Alcorn County Elec Power Assn,,MS,TVA,0,1,4,0,5,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
