Data Year,Utility Number,Utility Name,Short Form,Ownership Code,Ownership,Monthly,Advanced Metering,Demand Response,Distribution Systems,Dynamic Pricing,Energy Efficiency,Mergers,Net Metering,Non Net Metering Distributed,Operational Data,Reliablity,Sales to Ultimate Customers,Service Territory,Utility Data
2019,34,City of Abbeville - (SC),Y,M,Municipal,,X,,X,,,,,X,X,,X,X,X
2019,55,City of Aberdeen - (MS),,M,Municipal,,X,,X,X,,,,X,X,,X,X,X
2019,59,City of Abbeville - (LA),,M,Municipal,,X,,X,,,,X,,X,,X,X,X
2019,84,A & N Electric Coop,,C,Cooperative,X,X,X,X,X,,,X,,X,X,X,X,X
2019,87,City of Ada - (MN),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,97,Adams Electric Coop,,C,Cooperative,,X,X,X,X,,,X,X,X,X,X,X,X
2019,108,Adams-Columbia Electric Coop,,C,Cooperative,,X,X,X,X,,,X,,X,X,X,X,X
2019,113,"Agway Energy Services, LLC",,R,Retail Power Marketer,X,,,,,,,,,X,,X,,X
2019,118,"Adams Rural Electric Coop, Inc",,C,Cooperative,,X,,X,,,,,,X,,X,X,X
2019,122,Village of Arcade - (NY),,M,Municipal,,X,,X,,X,,,X,X,,X,X,X
2019,123,City of Adel- (GA),,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,149,City of Afton- (IA),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,150,Adrian Public Utilities Comm,,M,Municipal,,X,,X,,X,,,,X,,X,X,X
2019,155,Agralite Electric Coop,,C,Cooperative,,X,,X,,,,X,X,X,X,X,X,X
2019,157,Town of Advance - (IN),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,162,Aiken Electric Coop Inc,,C,Cooperative,,X,,X,X,X,,X,,X,X,X,X,X
2019,174,Aitkin Public Utilities Comm,Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,176,Ajo Improvement Co,,I,Investor Owned,X,X,,X,,,,X,,X,,X,X,X
2019,182,City of Akron - (IA),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,183,Village of Akron - (NY),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,189,PowerSouth Energy Cooperative,,C,Cooperative,,,X,,,X,,,,X,,,,X
2019,191,Alamo Power District No 3,Y,P,Political Subdivision,,X,,X,,,,,,X,,X,X,X
2019,192,Akiachak Native Community Electric,Y,C,Cooperative,,X,,X,,,,,,X,,X,X,X
2019,195,Alabama Power Co,,I,Investor Owned,X,X,X,X,X,X,,,X,X,X,X,X,X
2019,198,City of Alton,Y,M,Municipal,,X,,X,,X,,,,X,,X,X,X
2019,201,City of Alachua - (FL),,M,Municipal,,X,,X,,,,X,,X,,X,X,X
2019,202,Town of Black Creek - (NC),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,207,City of Alameda,,M,Municipal,,X,,X,,X,,X,,X,X,X,X,X
2019,213,Alaska Electric Light&Power Co,,I,Investor Owned,X,X,X,X,X,,,,X,X,X,X,X,X
2019,219,Alaska Power and Telephone Co,,I,Investor Owned,X,X,,X,,,,X,X,X,X,X,X,X
