|Utility Characteristics..Data Year|,|Utility Characteristics..Facility Number|,|Utility Characteristics..Facility Name|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..STATE|,|Utility Characteristics..BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
2019,59371,12 Applegate Solar LLC,62629,G&S Solar Installers LLC,NJ,PJM,0.0,0,0,154.0,"2,349",1,0.0,0,0,0.0,0,0,154.0,"2,349",1
2019,57458,145 Talmadge Solar,56777,Avidan Energy Solutions,NJ,PJM,0.0,0,0,0.0,0,0,628.0,"5,010",1,0.0,0,0,628.0,"5,010",1
2019,58187,180 Raritan Solar,58164,"180 Raritan Energy Solutions, LLC",NJ,PJM,0.0,0,0,0.0,0,0,333.0,"2,659",1,0.0,0,0,333.0,"2,659",1
2019,59365,24 Applegate Solar LLC,60281,"Altus Power America Management, LLC",NJ,PJM,0.0,0,0,87.0,866,1,0.0,0,0,0.0,0,0,87.0,866,1
2019,61518,301 Chestnut Solar NG,61125,"301 Chestnut Solar NG, LLC",MA,ISNE,0.0,0,0,214.0,"2,359",1,0.0,0,0,0.0,0,0,214.0,"2,359",1
2019,61224,"350 Clark Solar, NG, LLC",60857,"350 Clark Solar NG, LLC",NJ,PJM,0.0,0,0,390.0,"1,980",1,0.0,0,0,0.0,0,0,390.0,"1,980",1
2019,59370,4 Applegate Solar LLC,62629,G&S Solar Installers LLC,NJ,PJM,0.0,0,0,104.0,"2,056",1,0.0,0,0,0.0,0,0,104.0,"2,056",1
2019,63366,435A Bergen Avenue,60268,Hartz Solar LLC,NJ,PJM,0.0,0,0,43.0,"1,194",1,0.0,0,0,0.0,0,0,43.0,"1,194",1
2019,62325,46 Meadowlands Parkway,60268,Hartz Solar LLC,NJ,PJM,0.0,0,0,171.0,"2,261",1,0.0,0,0,0.0,0,0,171.0,"2,261",1
2019,57640,500 Virginia Solar,56971,"500 Virginia Solar, LP",PA,PJM,0.0,0,0,73.0,"1,029",1,0.0,0,0,0.0,0,0,73.0,"1,029",1
2019,62326,77 Metro Way,60268,Hartz Solar LLC,NJ,PJM,0.0,0,0,131.0,"1,537",2,0.0,0,0,0.0,0,0,131.0,"1,537",2
2019,58798,"AC Criminal Courts Complex SPE2, LLC",58661,"Sustainable Power Group, LLC",NJ,PJM,0.0,0,0,217.0,"1,898",1,0.0,0,0,0.0,0,0,217.0,"1,898",1
2019,57845,AC Landfill Energy LLC,57173,AC Landfill Energy LLC,NJ,PJM,0.0,0,0,0.0,0,0,411.0,"4,803",1,0.0,0,0,411.0,"4,803",1
2019,60802,ACCC Mays Landing,61944,GSRP,NJ,PJM,0.0,0,0,179.0,"1,979",1,0.0,0,0,0.0,0,0,179.0,"1,979",1
2019,61923,ACUA,61522,"Viridity Energy Solutions, Inc.",NJ,PJM,0.0,0,0,5.0,"1,991",1,0.0,0,0,0.0,0,0,5.0,"1,991",1
2019,63280,"AES Kekaha Solar, LLC Hybrid",61012,AES Distributed Energy,HI,NA,0.0,0,0,27.0,498,1,0.0,0,0,0.0,0,0,27.0,498,1
2019,61068,AES LAWAI SOLAR Hybrid,60691,"AES LAWAI SOLAR, LLC",HI,NA,0.0,0,0,"3,127.0","37,501",1,0.0,0,0,0.0,0,0,"3,127.0","37,501",1
2019,60986,AIS Solar Project,63249,Terraform Arcadia,MA,ISNE,0.0,0,0,257.0,"3,615",1,0.0,0,0,0.0,0,0,257.0,"3,615",1
2019,62629,APG New Chesapeake,60584,Onyx Asset Services Group,MD,PJM,0.0,0,0,576.0,"3,773",1,0.0,0,0,0.0,0,0,576.0,"3,773",1
2019,62628,APG Old Bayside,60584,Onyx Asset Services Group,MD,PJM,0.0,0,0,485.0,"3,180",1,0.0,0,0,0.0,0,0,485.0,"3,180",1
2019,60085,AVS Lancaster 1,60947,Tesla Inc.,CA,CISO,0.0,0,0,492.0,"8,117",1,0.0,0,0,0.0,0,0,492.0,"8,117",1
2019,59543,Acton Solar Landfill,59286,Heliovaas LLC,MA,ISNE,0.0,0,0,192.0,"1,923",1,0.0,0,0,0.0,0,0,192.0,"1,923",1
