,Data Year,Utility Number,Utility Name,Short Form,State,Distribution Circuits,Circuits with Voltage Optimization
0,2019,97,Adams Electric Coop,,IL,47,47
1,2019,229,City of Albany - (IL),Y,IL,1,0
2,2019,366,City of Allendale- (IL),Y,IL,4,0
3,2019,406,City of Altamont - (IL),Y,IL,10,8
4,2019,1325,City of Batavia - (IL),,IL,22,0
5,2019,1648,Village of Bethany - (IL),Y,IL,4,0
6,2019,2188,City of Breese - (IL),Y,IL,5,5
7,2019,2634,City of Bushnell - (IL),Y,IL,7,5
8,2019,2776,Cairo Public Utility Company,Y,IL,12,0
9,2019,3037,City of Carlyle - (IL),Y,IL,9,0
10,2019,3040,City of Carmi - (IL),Y,IL,9,0
11,2019,3153,City of Casey - (IL),Y,IL,9,8
12,2019,3405,Village of Chatham - (IL),Y,IL,2,0
13,2019,3726,Clay Electric Coop Inc,Y,IL,16,16
14,2019,3806,"Clinton County Elec Coop, Inc",,IL,37,0
15,2019,3931,Coles-Moultrie Electric Coop,,IL,48,0
16,2019,4110,Commonwealth Edison Co,,IL,"5,619",282
17,2019,4362,Corn Belt Energy Corporation,,IL,144,81
18,2019,5531,Enerstar Power Corp,Y,IL,32,3
19,2019,5535,Egyptian Electric Coop Assn,,IL,68,64
20,2019,5585,Eastern Illinois Elec Coop,,IL,76,76
21,2019,6141,City of Fairfield- (IL),Y,IL,7,0
22,2019,6192,City of Farmer City - (IL),Y,IL,5,4
23,2019,6417,City of Flora - (IL),,IL,12,10
24,2019,6764,Village of Freeburg - (IL),Y,IL,9,6
25,2019,7095,City of Geneseo - (IL),Y,IL,8,5
26,2019,7096,City of Geneva- (IL),,IL,33,0
27,2019,7633,Village of Greenup - (IL),Y,IL,4,0
28,2019,8573,City of Highland,,IL,17,0
29,2019,8824,M J M Electric Cooperative Inc,,IL,41,41
30,2019,9209,Illinois Rural Electric Coop,,IL,69,69
31,2019,9750,"Jo-Carroll Energy, Inc",,IL,104,104
32,2019,11736,City of Marshall - (IL),Y,IL,5,4
33,2019,11790,City of Mascoutah - (IL),Y,IL,14,0
34,2019,12070,McDonough Power Coop,Y,IL,12,0
35,2019,12167,City of McLeansboro - (IL),Y,IL,6,5
36,2019,12341,MidAmerican Energy Co,,IL,111,0
37,2019,12388,City of Metropolis - (IL),Y,IL,3,3
38,2019,12395,Menard Electric Coop,,IL,55,34
39,2019,12803,"Monroe County Elec Coop, Inc",,IL,34,0
40,2019,13032,Mt Carmel Public Utility Co,,IL,15,6
41,2019,13208,City of Naperville - (IL),,IL,117,117
42,2019,13292,Norris Electric Coop,,IL,110,0
43,2019,13560,City of Newton - (IL),Y,IL,10,10
44,2019,13993,City of Oglesby - (IL),Y,IL,7,5
45,2019,14840,City of Peru - (IL),,IL,20,13
46,2019,15388,City of Princeton - (IL),,IL,12,10
47,2019,15686,Village of Rantoul - (IL),,IL,39,39
48,2019,15772,City of Red Bud - (IL),Y,IL,10,10
49,2019,16092,Village of Riverton - (IL),Y,IL,1,0
50,2019,16179,Rochelle Municipal Utilities,,IL,21,6
51,2019,16196,Rock Energy Cooperative,,IL,21,15
52,2019,16198,City of Rock Falls - (IL),Y,IL,12,8
53,2019,16269,City of Roodhouse - (IL),Y,IL,5,5
54,2019,16420,Rural Electric Conven Coop,,IL,28,0
55,2019,16740,Scenic Rivers Energy Coop,,IL,4,0
56,2019,17040,"Shelby Electric Coop, Inc",,IL,62,0
57,2019,17585,"Southeastern IL Elec Coop, Inc",,IL,131,1
58,2019,17631,Southern Illinois Elec Coop,,IL,43,0
59,2019,17697,Southwestern Electric Coop Inc - (IL),,IL,87,0
60,2019,17828,City of Springfield - (IL),,IL,124,124
61,2019,17838,"Spoon River Electric Coop, Inc",Y,IL,29,0
62,2019,17860,City of St Charles - (IL),,IL,50,0
63,2019,18277,City of Sullivan - (IL),Y,IL,6,6
64,2019,18955,"Tri-County Electric Coop, Inc (IL)",,IL,86,86
65,2019,20180,City of Waterloo - (IL),Y,IL,11,9
66,2019,20222,Wayne-White Counties Elec Coop,,IL,67,0
67,2019,20824,Village of Winnetka - (IL),,IL,13,0
68,2019,29296,Western Illinois Elec Coop,Y,IL,19,19
69,2019,40367,Village of Ladd - (IL),Y,IL,3,2
70,2019,56697,Ameren Illinois Company,,IL,"2,966",0
