,|Utility Characteristics..Year|,|Utility Characteristics..State|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..Short Form|,|Utility Characteristics..BA Code|,|Photovoltaic.Capacity MW.Type|,|Photovoltaic.Capacity MW.Residential|,|Photovoltaic.Capacity MW.Commercial|,|Photovoltaic.Capacity MW.Industrial|,|Photovoltaic.Capacity MW.Transportation|,|Photovoltaic.Capacity MW.Total|,|Photovoltaic.Customers.Residential|,|Photovoltaic.Customers.Commercial|,|Photovoltaic.Customers.Industrial|,|Photovoltaic.Customers.Transportation|,|Photovoltaic.Customers.Total|,|Photovoltaic.Storage Capacity (MW).Residential|,|Photovoltaic.Storage Capacity (MW).Commercial|,|Photovoltaic.Storage Capacity (MW).Industrial|,|Photovoltaic.Storage Capacity (MW).Transportation|,|Photovoltaic.Storage Capacity (MW).Total|,|Photovoltaic.Storage Customers.Residential|,|Photovoltaic.Storage Customers.Commercial|,|Photovoltaic.Storage Customers.Industrial|,|Photovoltaic.Storage Customers.Transportation|,|Photovoltaic.Storage Customers.Total|,|Photovoltaic.Virtual Capacity (MW).Residential|,|Photovoltaic.Virtual Capacity (MW).Commercial|,|Photovoltaic.Virtual Capacity (MW).Industrial|,|Photovoltaic.Virtual Capacity (MW).Transportation|,|Photovoltaic.Virtual Capacity (MW).Total|,|Photovoltaic.Virtual Customers.Residential|,|Photovoltaic.Virtual Customers.Commercial|,|Photovoltaic.Virtual Customers.Industrial|,|Photovoltaic.Virtual Customers.Transportation|,|Photovoltaic.Virtual Customers.Total|,|Photovoltaic.Energy Sold Back MWh.Residential|,|Photovoltaic.Energy Sold Back MWh.Commercial|,|Photovoltaic.Energy Sold Back MWh.Industrial|,|Photovoltaic.Energy Sold Back MWh.Transportation|,|Photovoltaic.Energy Sold Back MWh.Total|,|Wind.Capacity MW.Residential|,|Wind.Capacity MW.Commercial|,|Wind.Capacity MW.Industrial|,|Wind.Capacity MW.Transportation|,|Wind.Capacity MW.Total|,|Wind.Customers.Residential|,|Wind.Customers.Commercial|,|Wind.Customers.Industrial|,|Wind.Customers.Transportation|,|Wind.Customers.Total|,|Wind.Energy Sold Back MWh.Residential|,|Wind.Energy Sold Back MWh.Commercial|,|Wind.Energy Sold Back MWh.Industrial|,|Wind.Energy Sold Back MWh.Transportation|,|Wind.Energy Sold Back MWh.Total|,|Other.Capacity MW.Residential|,|Other.Capacity MW.Commercial|,|Other.Capacity MW.Industrial|,|Other.Capacity MW.Transportation|,|Other.Capacity MW.Total|,|Other.Customers.Residential|,|Other.Customers.Commercial|,|Other.Customers.Industrial|,|Other.Customers.Transportation|,|Other.Customers.Total|,|Other.Energy Sold Back MWh.Residential|,|Other.Energy Sold Back MWh.Commercial|,|Other.Energy Sold Back MWh.Industrial|,|Other.Energy Sold Back MWh.Transportation|,|Other.Energy Sold Back MWh.Total|,|All Technologies.Capacity MW.Residential|,|All Technologies.Capacity MW.Commercial|,|All Technologies.Capacity MW.Industrial|,|All Technologies.Capacity MW.Transportation|,|All Technologies.Capacity MW.Total|,|All Technologies.Customers.Residential|,|All Technologies.Customers.Commercial|,|All Technologies.Customers.Industrial|,|All Technologies.Customers.Transportation|,|All Technologies.Customers.Total|,|All Technologies.Energy Sold Back MWh.Residential|,|All Technologies.Energy Sold Back MWh.Commercial|,|All Technologies.Energy Sold Back MWh.Industrial|,|All Technologies.Energy Sold Back MWh.Transportation|,|..Total|
0,2019,IL,97.0,Adams Electric Coop,,MISO,DC,0.145,0.0,0.0,0.0,0.145,17,0,0,0.0,17,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.000,0.000,0.000,0.0,0.000,0.014,0.0,0.0,0.0,0.014,3.0,0.0,0.0,0.0,3.0,0.0,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.000,0.0,0.0,0.000,0.159,0.0,0.0,0.0,0.159,20,0,0,0.0,20,0.000,0.000,0.000,0.0,0.000
1,2019,IL,406.0,City of Altamont - (IL),Y,MISO,AC,0.083,0.0,0.0,0.0,0.083,8,0,0,0.0,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,19.510,0.000,0.000,0.0,19.510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.000,0.0,0.0,0.000,0.083,0.0,0.0,0.0,0.083,8,0,0,0.0,8,19.510,0.000,0.000,0.0,19.510
2,2019,IL,2188.0,City of Breese - (IL),Y,MISO,AC,0.040,0.133,0.0,0.0,0.173,2,3,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.000,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.000,0.0,0.0,0.000,0.040,0.133,0.0,0.0,0.173,2,3,0,0.0,5,0.000,0.000,0.000,0.0,0.000
3,2019,IL,3040.0,City of Carmi - (IL),Y,MISO,AC,0.000,0.26,0.0,0.0,0.260,0,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.000,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.000,0.0,0.0,0.000,0.000,0.26,0.0,0.0,0.260,0,1,0,0.0,1,0.000,0.000,0.000,0.0,0.000
4,2019,IL,3726.0,Clay Electric Coop Inc,Y,MISO,AC,0.115,0.132,0.0,0.0,0.247,11,5,0,0.0,16,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.000,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.000,0.0,0.0,0.000,0.115,0.132,0.0,0.0,0.247,11,5,0,0.0,16,0.000,0.000,0.000,0.0,0.000
5,2019,IL,3931.0,Coles-Moultrie Electric Coop,,MISO,DC,0.270,0.321,0.0,0.0,0.591,29,2,0,0.0,31,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.000,0.000,0.000,0.0,0.000,0.01,0.0,0.0,0.0,0.01,1.0,0.0,0.0,0.0,1.0,0.0,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.000,0.0,0.0,0.000,0.280,0.321,0.0,0.0,0.601,30,2,0,0.0,32,0.000,0.000,0.000,0.0,0.000
6,2019,IL,4110.0,Commonwealth Edison Co,,PJM,AC,52.006,38.887,0.0,0.0,90.893,"7,205",332,0,0.0,"7,537",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.000,0.000,0.000,0.0,0.000,0.391,2.329,0.0,0.0,2.72,56.0,11.0,0.0,0.0,67.0,0.0,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.000,0.0,0.0,0.000,52.397,41.216,0.0,0.0,93.613,"7,261",343,0,0.0,"7,604",0.000,0.000,0.000,0.0,0.000
7,2019,IL,4362.0,Corn Belt Energy Corporation,,MISO,AC,1.060,0.83,0.0,0.0,1.890,132,5,0,0.0,137,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.000,0.000,0.000,0.0,0.000,0.015,0.0,0.0,0.0,0.015,3.0,0.0,0.0,0.0,3.0,0.0,0.000,0.000,0.0,0.000,0.0,0.0,2.6,0.0,2.6,0,0.0,1.0,0.0,1,0.0,0.000,0.0,0.0,0.000,1.075,0.83,2.6,0.0,4.505,135,5,1,0.0,141,0.000,0.000,0.000,0.0,0.000
8,2019,IL,5531.0,Enerstar Power Corp,Y,MISO,AC,0.596,0.0,0.0,0.0,0.596,49,0,0,0.0,49,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.000,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.000,0.0,0.0,0.000,0.596,0.0,0.0,0.0,0.596,49,0,0,0.0,49,0.000,0.000,0.000,0.0,0.000
9,2019,IL,5585.0,Eastern Illinois Elec Coop,,MISO,AC,0.836,0.042,0.0,0.0,0.878,91,5,0,0.0,96,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,319.711,9.341,0.000,0.0,329.052,0.01,0.0,0.0,0.0,0.01,1.0,0.0,0.0,0.0,1.0,0.08,0.000,0.000,0.0,0.080,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.000,0.0,0.0,0.000,0.846,0.042,0.0,0.0,0.888,92,5,0,0.0,97,319.791,9.341,0.000,0.0,329.132
