,|Utility Characteristics.Data Year|,|Utility Characteristics.Utility Number|,|Utility Characteristics.Utility Name|,|Utility Characteristics.State|,|Utility Characteristics.Ownership Type|,|Utility Characteristics.NERC Region|,|Also operating in other NERC Regions.TRE|,|Also operating in other NERC Regions.FRCC|,|Also operating in other NERC Regions.MRO|,|Also operating in other NERC Regions.NPCC|,|Also operating in other NERC Regions.RFC|,|Also operating in other NERC Regions.SERC|,|Also operating in other NERC Regions.SPP|,|Also operating in other NERC Regions.WECC|,|Operating in these RTOs.CAISO|,|Operating in these RTOs.ERCOT|,|Operating in these RTOs.PJM|,|Operating in these RTOs.NYISO|,|Operating in these RTOs.SPP|,|Operating in these RTOs.MISO|,|Operating in these RTOs.ISONE|,|Operating in these RTOs.Other|,|Other Activities.Generation|,|Other Activities.Transmission|,|Other Activities.Buying Transmission|,|Other Activities.Distribution|,|Other Activities.Buying Distribution|,|Other Activities.Wholesale Marketing|,|Other Activities.Retail Marketing|,|Other Activities.Bundled|,|Other Activities.Alt Fuel Vehicle|,|Other Activities.Alt Fuel Vehicle 2|
0,97,Adams Electric Coop,,IL,Cooperative,SERC,,,,,,Y,,,,,,,,Y,,,Y,,,Y,,,,,,
1,229,City of Albany - (IL),Y,IL,Municipal,RFC,,,,,Y,,,,,,,,,Y,,,,,,Y,,,,,,
2,366,City of Allendale- (IL),Y,IL,Municipal,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
3,406,City of Altamont - (IL),Y,IL,Municipal,RFC,,,,,N,Y,,,,,,,,,,,Y,Y,Y,Y,,,,,,
4,1325,City of Batavia - (IL),,IL,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,,N,,Y,,,,,,
5,1648,Village of Bethany - (IL),Y,IL,Municipal,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
6,2188,City of Breese - (IL),Y,IL,Municipal,RFC,,,,,N,Y,,,,,,,,Y,,,Y,,,Y,,,,,,
7,2634,City of Bushnell - (IL),Y,IL,Municipal,RFC,,,,,Y,Y,,,,,,,,,,,Y,,Y,Y,,,,,,
8,2776,Cairo Public Utility Company,Y,IL,Municipal,RFC,,,,,Y,,,,,,,,,,,,,Y,,Y,,,,,N,
9,3037,City of Carlyle - (IL),Y,IL,Municipal,RFC,,,,,N,Y,,,,,,,,Y,,,Y,,,Y,,,,,,
10,3040,City of Carmi - (IL),Y,IL,Municipal,RFC,,,,,N,Y,,,,,,,,Y,,,Y,,,Y,,,,Y,,
11,3153,City of Casey - (IL),Y,IL,Municipal,RFC,,,,,Y,N,,,,,,,,,,,Y,Y,Y,Y,,,,,,
12,3405,Village of Chatham - (IL),Y,IL,Municipal,MRO,,,,,N,Y,,,,,,,,Y,,,,N,,Y,N,,,,,
13,3726,Clay Electric Coop Inc,Y,IL,Cooperative,RFC,,,,N,N,Y,,,,,,,,Y,,,,,,Y,,,,,N,
14,3806,"Clinton County Elec Coop, Inc",,IL,Cooperative,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
15,3931,Coles-Moultrie Electric Coop,,IL,Cooperative,SERC,,,,,N,Y,,,,,,,,Y,,,,,,Y,,,,,N,N
16,4110,Commonwealth Edison Co,,IL,Investor Owned,RFC,,,,,Y,,,,,,Y,,,,,,,Y,Y,Y,,,,Y,Y,Y
17,4362,Corn Belt Energy Corporation,,IL,Cooperative,RFC,,,,N,Y,,,,,,,,,Y,,,,Y,,Y,,,,N,Y,Y
18,5531,Enerstar Power Corp,Y,IL,Cooperative,RFC,,,,,Y,,,,,,,,,Y,,,,,,Y,,,,,,
19,5535,Egyptian Electric Coop Assn,,IL,Cooperative,RFC,,,,,Y,,,,,,,,,Y,,,,,,Y,,,,,,
20,5585,Eastern Illinois Elec Coop,,IL,Cooperative,RFC,,,,,Y,,,,,,,,,Y,,,,,,Y,,,,,Y,Y
21,5748,Electric Energy Inc,,IL,Investor Owned,SERC,,,,,,Y,,,,,,,,,,Y,Y,,,,,,,,N,
22,6141,City of Fairfield- (IL),Y,IL,Municipal,RFC,,,,,Y,,,,,,,,,,,Y,Y,N,Y,Y,,,,,,
23,6192,City of Farmer City - (IL),Y,IL,Municipal,RFC,,,,,N,Y,,,,,,,,Y,,,Y,,,Y,,,,,,
24,6417,City of Flora - (IL),,IL,Municipal,,,,,,N,Y,,,,,,,,Y,,,Y,,,Y,,,,,,
25,6764,Village of Freeburg - (IL),Y,IL,Municipal,RFC,,,,,Y,Y,,,,,,,,,,,Y,Y,Y,Y,,,,,,
26,7095,City of Geneseo - (IL),Y,IL,Municipal,RFC,,,Y,,N,,,,,,,,,Y,,,Y,,Y,Y,,,,,,
27,7096,City of Geneva- (IL),,IL,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,Y,,Y,Y,,Y,,,Y,Y
28,7633,Village of Greenup - (IL),Y,IL,Municipal,RFC,,,,,Y,,,,,,,,,,,,,Y,,Y,,,,,,
