Utility Characteristics,,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,Short Form,BA Code,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2019,AK,219,Alaska Power and Telephone Co,,NA,AC,0.012,0.021,0.000,0.000,0.033,3,2,0,0,5,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,2.692,2.900,0.000,0.000,5.592,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.012,0.021,0.000,0.000,0.033,3,2,0,0,5,2.692,2.900,0.000,0.000,5.592
2019,AK,599,Anchorage Municipal Light and Power,,AMPL,AC,0.655,0.309,0.000,0.000,0.964,159,21,0,0,180,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,47.549,35.726,0.000,0.000,83.275,0.000,0.002,0.000,0.000,0.002,0,1,0,0,1,0.000,0.260,0.000,0.000,0.260,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.655,0.311,0.000,0.000,0.966,159,22,0,0,181,47.549,35.986,0.000,0.000,83.535
2019,AK,3522,Chugach Electric Assn Inc,,CEA,AC,0.800,0.233,0.000,0.000,1.033,216,32,0,0,248,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.008,0,3,0,0,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.800,0.241,0.000,0.000,1.041,216,35,0,0,251,0.000,0.000,0.000,0.000,0.000
2019,AK,4329,"Copper Valley Elec Assn, Inc",,NA,DC,0.038,0.109,0.000,0.000,0.147,8,16,0,0,24,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,11.850,0.000,0.000,0.000,11.850,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.038,0.109,0.000,0.000,0.147,8,16,0,0,24,11.850,0.000,0.000,0.000,11.850
2019,AK,7353,Golden Valley Elec Assn Inc,,NA,AC,1.124,0.268,0.043,0.000,1.435,245,25,4,0,274,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,77.471,20.508,0.000,0.000,97.979,0.013,0.012,0.000,0.000,0.025,4,2,0,0,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1.137,0.280,0.043,0.000,1.460,249,27,4,0,280,77.471,20.508,0.000,0.000,97.979
2019,AK,11824,Matanuska Electric Assn Inc,,NA,AC,0.740,0.096,0.000,0.000,0.836,146,11,0,0,157,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.054,0.016,0.000,0.000,0.070,17,3,0,0,20,0.000,0.000,0.000,0.000,0.000,0.048,0.004,0.000,0.000,0.052,7,1,0,0,8,0.000,0.000,0.000,0.000,0.000,0.842,0.116,0.000,0.000,0.958,170,15,0,0,185,0.000,0.000,0.000,0.000,0.000
2019,AK,19558,Homer Electric Assn Inc,,NA,DC,0.910,0.175,0.000,0.000,1.085,188,20,0,0,208,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,279.269,31.123,0.000,0.000,310.392,0.099,0.015,0.000,0.000,0.114,29,4,0,0,33,16.295,3.439,0.000,0.000,19.734,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1.009,0.190,0.000,0.000,1.199,217,24,0,0,241,295.564,34.562,0.000,0.000,330.126
2019,AK,99999,Adjustment 2019,,NA,,-0.165,-0.050,0.000,0.000,-0.215,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,-0.165,-0.050,0.000,0.000,-0.215,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000
2019,AL,3222,Central Alabama Electric Coop,,AEC,DC,0.072,0.000,0.000,0.000,0.072,14,0,0,0,14,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,28.762,0.000,0.000,0.000,28.762,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.072,0.000,0.000,0.000,0.072,14,0,0,0,14,28.762,0.000,0.000,0.000,28.762
2019,AL,4430,"Covington Electric Coop, Inc",,AEC,AC,0.035,0.000,0.000,0.000,0.035,4,0,0,0,4,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,10.562,0.000,0.000,0.000,10.562,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.035,0.000,0.000,0.000,0.035,4,0,0,0,4,10.562,0.000,0.000,0.000,10.562
