Data Year,Utility Number,Utility Name,Short Form,State,County
2019,34,City of Abbeville - (SC),Y,SC,Abbeville
2019,55,City of Aberdeen - (MS),,MS,Monroe
2019,59,City of Abbeville - (LA),,LA,Vermilion
2019,84,A & N Electric Coop,,MD,Somerset
2019,84,A & N Electric Coop,,VA,Accomack
2019,84,A & N Electric Coop,,VA,Northampton
2019,87,City of Ada - (MN),Y,MN,Norman
2019,97,Adams Electric Coop,,IL,Adams
2019,97,Adams Electric Coop,,IL,Brown
2019,97,Adams Electric Coop,,IL,Hancock
2019,97,Adams Electric Coop,,IL,McDonough
2019,97,Adams Electric Coop,,IL,Pike
2019,97,Adams Electric Coop,,IL,Schuyler
2019,108,Adams-Columbia Electric Coop,,WI,Adams
2019,108,Adams-Columbia Electric Coop,,WI,Columbia
2019,108,Adams-Columbia Electric Coop,,WI,Dane
2019,108,Adams-Columbia Electric Coop,,WI,Dodge
2019,108,Adams-Columbia Electric Coop,,WI,Green Lake
2019,108,Adams-Columbia Electric Coop,,WI,Jefferson
2019,108,Adams-Columbia Electric Coop,,WI,Marquette
2019,108,Adams-Columbia Electric Coop,,WI,Portage
2019,108,Adams-Columbia Electric Coop,,WI,Sauk
2019,108,Adams-Columbia Electric Coop,,WI,Waupaca
2019,108,Adams-Columbia Electric Coop,,WI,Waushara
2019,108,Adams-Columbia Electric Coop,,WI,Wood
2019,118,"Adams Rural Electric Coop, Inc",,OH,Adams
2019,118,"Adams Rural Electric Coop, Inc",,OH,Brown
2019,118,"Adams Rural Electric Coop, Inc",,OH,Highland
2019,118,"Adams Rural Electric Coop, Inc",,OH,Pike
2019,118,"Adams Rural Electric Coop, Inc",,OH,Scioto
2019,122,Village of Arcade - (NY),,NY,Cattaraugus
2019,122,Village of Arcade - (NY),,NY,Erie
2019,122,Village of Arcade - (NY),,NY,Wyoming
2019,123,City of Adel- (GA),,GA,Cook
2019,123,City of Adel- (GA),,GA,Tift
2019,149,City of Afton- (IA),Y,IA,Union
2019,150,Adrian Public Utilities Comm,,MN,Nobles
2019,155,Agralite Electric Coop,,MN,Big Stone
2019,155,Agralite Electric Coop,,MN,Chippewa
2019,155,Agralite Electric Coop,,MN,Kandiyohi
2019,155,Agralite Electric Coop,,MN,Pope
2019,155,Agralite Electric Coop,,MN,Stevens
2019,155,Agralite Electric Coop,,MN,Swift
2019,157,Town of Advance - (IN),Y,IN,Boone
2019,162,Aiken Electric Coop Inc,,SC,Aiken
2019,162,Aiken Electric Coop Inc,,SC,Barnwell
2019,162,Aiken Electric Coop Inc,,SC,Calhoun
2019,162,Aiken Electric Coop Inc,,SC,Edgefield
2019,162,Aiken Electric Coop Inc,,SC,Greenwood
2019,162,Aiken Electric Coop Inc,,SC,Lexington
2019,162,Aiken Electric Coop Inc,,SC,McCormick
2019,162,Aiken Electric Coop Inc,,SC,Orangeburg
2019,162,Aiken Electric Coop Inc,,SC,Saluda
2019,174,Aitkin Public Utilities Comm,Y,MN,Aitkin
2019,176,Ajo Improvement Co,,AZ,Pima
2019,182,City of Akron - (IA),Y,IA,Plymouth
2019,183,Village of Akron - (NY),Y,NY,Erie
2019,191,Alamo Power District No 3,Y,NV,Lincoln
2019,192,Akiachak Native Community Electric,Y,AK,Bethel
2019,195,Alabama Power Co,,AL,Autauga
2019,195,Alabama Power Co,,AL,Baldwin
2019,195,Alabama Power Co,,AL,Barbour
2019,195,Alabama Power Co,,AL,Bibb
2019,195,Alabama Power Co,,AL,Blount
2019,195,Alabama Power Co,,AL,Bullock
2019,195,Alabama Power Co,,AL,Butler
2019,195,Alabama Power Co,,AL,Calhoun
2019,195,Alabama Power Co,,AL,Chambers
2019,195,Alabama Power Co,,AL,Cherokee
2019,195,Alabama Power Co,,AL,Chilton
2019,195,Alabama Power Co,,AL,Choctaw
2019,195,Alabama Power Co,,AL,Clarke
2019,195,Alabama Power Co,,AL,Clay
2019,195,Alabama Power Co,,AL,Cleburne
2019,195,Alabama Power Co,,AL,Coffee
2019,195,Alabama Power Co,,AL,Conecuh
2019,195,Alabama Power Co,,AL,Coosa
2019,195,Alabama Power Co,,AL,Covington
2019,195,Alabama Power Co,,AL,Crenshaw
2019,195,Alabama Power Co,,AL,Cullman
2019,195,Alabama Power Co,,AL,Dale
2019,195,Alabama Power Co,,AL,Dallas
2019,195,Alabama Power Co,,AL,Elmore
2019,195,Alabama Power Co,,AL,Escambia
2019,195,Alabama Power Co,,AL,Etowah
2019,195,Alabama Power Co,,AL,Fayette
2019,195,Alabama Power Co,,AL,Franklin
2019,195,Alabama Power Co,,AL,Geneva
2019,195,Alabama Power Co,,AL,Greene
2019,195,Alabama Power Co,,AL,Hale
2019,195,Alabama Power Co,,AL,Henry
2019,195,Alabama Power Co,,AL,Houston
2019,195,Alabama Power Co,,AL,Jefferson
2019,195,Alabama Power Co,,AL,Lamar
2019,195,Alabama Power Co,,AL,Lawrence
2019,195,Alabama Power Co,,AL,Lee
2019,195,Alabama Power Co,,AL,Lowndes
2019,195,Alabama Power Co,,AL,Macon
2019,195,Alabama Power Co,,AL,Marengo
2019,195,Alabama Power Co,,AL,Marion
2019,195,Alabama Power Co,,AL,Marshall
2019,195,Alabama Power Co,,AL,Mobile
2019,195,Alabama Power Co,,AL,Monroe
2019,195,Alabama Power Co,,AL,Montgomery
2019,195,Alabama Power Co,,AL,Perry
2019,195,Alabama Power Co,,AL,Pickens
2019,195,Alabama Power Co,,AL,Randolph
2019,195,Alabama Power Co,,AL,Russell
2019,195,Alabama Power Co,,AL,Shelby
2019,195,Alabama Power Co,,AL,St Clair
2019,195,Alabama Power Co,,AL,Sumter
2019,195,Alabama Power Co,,AL,Talladega
2019,195,Alabama Power Co,,AL,Tallapoosa
2019,195,Alabama Power Co,,AL,Tuscaloosa
2019,195,Alabama Power Co,,AL,Walker
2019,195,Alabama Power Co,,AL,Washington
2019,195,Alabama Power Co,,AL,Wilcox
2019,195,Alabama Power Co,,AL,Winston
2019,198,City of Alton,Y,IA,Sioux
2019,201,City of Alachua - (FL),,FL,Alachua
2019,202,Town of Black Creek - (NC),Y,NC,Wilson
2019,207,City of Alameda,,CA,Alameda
2019,213,Alaska Electric Light&Power Co,,AK,Juneau
2019,219,Alaska Power and Telephone Co,,AK,Haines
