Data Year,BA ID,BA Code,State,Balancing Authority Name
2020,317,YAD,NC,"Alcoa Power Generating, Inc. - Yadkin Division"
2020,317,YAD,TN,"Alcoa Power Generating, Inc. - Yadkin Division"
2020,599,AMPL,AK,Anchorage Municipal Light & Power
2020,803,AZPS,AZ,Arizona Public Service Company
2020,803,AZPS,NM,Arizona Public Service Company
2020,56812,DEAA,AZ,"Arlington Valley, LLC - AVBA"
2020,924,AECI,AR,"Associated Electric Cooperative, Inc."
2020,924,AECI,IA,"Associated Electric Cooperative, Inc."
2020,924,AECI,MO,"Associated Electric Cooperative, Inc."
2020,924,AECI,OK,"Associated Electric Cooperative, Inc."
2020,15399,AVRN,OR,Avangrid Renewables LLC
2020,20169,AVA,ID,Avista Corporation
2020,20169,AVA,MT,Avista Corporation
2020,20169,AVA,WA,Avista Corporation
2020,16534,BANC,CA,Balancing Authority of Northern California
2020,1738,BPAT,ID,Bonneville Power Administration
2020,1738,BPAT,MT,Bonneville Power Administration
2020,1738,BPAT,NV,Bonneville Power Administration
2020,1738,BPAT,OR,Bonneville Power Administration
2020,1738,BPAT,UT,Bonneville Power Administration
2020,1738,BPAT,WA,Bonneville Power Administration
2020,1738,BPAT,WY,Bonneville Power Administration
2020,2775,CISO,AZ,California Independent System Operator
2020,2775,CISO,CA,California Independent System Operator
2020,2775,CISO,NV,California Independent System Operator
2020,3522,CEA,AK,Chugach Electric Assn Inc
2020,8795,HST,FL,City of Homestead
2020,18429,TPWR,WA,"City of Tacoma, Department of Public Utilities, Light Division"
2020,18445,TAL,FL,City of Tallahassee
2020,5416,DUK,GA,Duke Energy Carolinas
2020,5416,DUK,NC,Duke Energy Carolinas
2020,5416,DUK,SC,Duke Energy Carolinas
2020,6455,FPC,FL,Duke Energy Florida Inc
2020,3046,CPLE,NC,Duke Energy Progress East
2020,3046,CPLE,SC,Duke Energy Progress East
2020,3046,CPLE,TN,Duke Energy Progress East
2020,58786,CPLW,NC,Duke Energy Progress West
2020,58786,CPLW,SC,Duke Energy Progress West
2020,58786,CPLW,TN,Duke Energy Progress West
2020,5701,EPE,NM,El Paso Electric Company
2020,5701,EPE,TX,El Paso Electric Company
2020,5748,EEI,IL,"Electric Energy, Inc."
2020,5748,EEI,KY,"Electric Energy, Inc."
2020,5723,ERCO,NM,"Electric Reliability Council of Texas, Inc."
2020,5723,ERCO,TX,"Electric Reliability Council of Texas, Inc."
2020,14610,FMPP,FL,Florida Municipal Power Pool
2020,6452,FPL,FL,Florida Power & Light Company
2020,6909,GVL,FL,Gainesville Regional Utilities
2020,14412,GRMA,AZ,"Gila River Power, LLC"
2020,58790,GRID,WA,"Gridforce Energy Management, LLC"
2020,56545,GRIS,NM,Gridforce South
2020,56090,GRIF,AZ,"Griffith Energy, LLC"
2020,19547,HECO,HI,Hawaiian Electric Co Inc
2020,13434,ISNE,CT,ISO New England Inc.
2020,13434,ISNE,MA,ISO New England Inc.
2020,13434,ISNE,ME,ISO New England Inc.
2020,13434,ISNE,NH,ISO New England Inc.
2020,13434,ISNE,NY,ISO New England Inc.
2020,13434,ISNE,RI,ISO New England Inc.
2020,13434,ISNE,VT,ISO New England Inc.
2020,9191,IPCO,ID,Idaho Power Company
2020,9191,IPCO,MT,Idaho Power Company
2020,9191,IPCO,OR,Idaho Power Company
2020,9216,IID,CA,Imperial Irrigation District
2020,9216,IID,NV,Imperial Irrigation District
2020,9617,JEA,FL,JEA
2020,11208,LDWP,CA,Los Angeles Department of Water and Power
2020,11208,LDWP,UT,Los Angeles Department of Water and Power
2020,11249,LGEE,KY,Louisville Gas and Electric Company and Kentucky Utilities Company
2020,11249,LGEE,TN,Louisville Gas and Electric Company and Kentucky Utilities Company
2020,11249,LGEE,VA,Louisville Gas and Electric Company and Kentucky Utilities Company
2020,56669,MISO,AR,"Midcontinent Independent Transmission System Operator, Inc.."
2020,56669,MISO,IA,"Midcontinent Independent Transmission System Operator, Inc.."
2020,56669,MISO,IL,"Midcontinent Independent Transmission System Operator, Inc.."
2020,56669,MISO,IN,"Midcontinent Independent Transmission System Operator, Inc.."
2020,56669,MISO,KS,"Midcontinent Independent Transmission System Operator, Inc.."
2020,56669,MISO,KY,"Midcontinent Independent Transmission System Operator, Inc.."
2020,56669,MISO,LA,"Midcontinent Independent Transmission System Operator, Inc.."
2020,56669,MISO,MI,"Midcontinent Independent Transmission System Operator, Inc.."
2020,56669,MISO,MN,"Midcontinent Independent Transmission System Operator, Inc.."
2020,56669,MISO,MO,"Midcontinent Independent Transmission System Operator, Inc.."
2020,56669,MISO,MS,"Midcontinent Independent Transmission System Operator, Inc.."
2020,56669,MISO,ND,"Midcontinent Independent Transmission System Operator, Inc.."
2020,56669,MISO,OK,"Midcontinent Independent Transmission System Operator, Inc.."
2020,56669,MISO,SD,"Midcontinent Independent Transmission System Operator, Inc.."
2020,56669,MISO,TN,"Midcontinent Independent Transmission System Operator, Inc.."
2020,56669,MISO,TX,"Midcontinent Independent Transmission System Operator, Inc.."
2020,56669,MISO,WI,"Midcontinent Independent Transmission System Operator, Inc.."
2020,56365,GWA,MT,"NaturEner Power Watch, LLC (GWA)"
2020,58791,WWA,MT,"NaturEner Wind Watch, LLC"
2020,13407,NEVP,CA,Nevada Power Company
2020,13407,NEVP,NV,Nevada Power Company
2020,13407,NEVP,UT,Nevada Power Company
2020,1,NBSO,ME,New Brunswick System Operator
2020,32790,HGMA,AZ,"New Harquahala Generating Company, LLC - HGBA"
2020,13485,NSB,FL,"New Smyrna Beach, Utilities Commission of"
2020,13501,NYIS,NJ,New York Independent System Operator
2020,13501,NYIS,NY,New York Independent System Operator
2020,13501,NYIS,PA,New York Independent System Operator
2020,12825,NWMT,ID,NorthWestern Energy (NWMT)
2020,12825,NWMT,MT,NorthWestern Energy (NWMT)
2020,12825,NWMT,WY,NorthWestern Energy (NWMT)
2020,14015,OVEC,IN,Ohio Valley Electric Corporation
2020,14015,OVEC,OH,Ohio Valley Electric Corporation
2020,14725,PJM,DC,"PJM Interconnection, LLC"
2020,14725,PJM,DE,"PJM Interconnection, LLC"
2020,14725,PJM,IL,"PJM Interconnection, LLC"
2020,14725,PJM,IN,"PJM Interconnection, LLC"
2020,14725,PJM,KY,"PJM Interconnection, LLC"
2020,14725,PJM,MD,"PJM Interconnection, LLC"
2020,14725,PJM,MI,"PJM Interconnection, LLC"
2020,14725,PJM,NC,"PJM Interconnection, LLC"
2020,14725,PJM,NJ,"PJM Interconnection, LLC"
2020,14725,PJM,NY,"PJM Interconnection, LLC"
2020,14725,PJM,OH,"PJM Interconnection, LLC"
2020,14725,PJM,PA,"PJM Interconnection, LLC"
2020,14725,PJM,TN,"PJM Interconnection, LLC"
2020,14725,PJM,VA,"PJM Interconnection, LLC"
2020,14725,PJM,WV,"PJM Interconnection, LLC"
2020,5326,DOPD,WA,PUD No. 1 of Douglas County
2020,14379,PACE,AZ,PacifiCorp - East
2020,14379,PACE,CO,PacifiCorp - East
2020,14379,PACE,ID,PacifiCorp - East
2020,14379,PACE,MT,PacifiCorp - East
2020,14379,PACE,NM,PacifiCorp - East
2020,14379,PACE,OR,PacifiCorp - East
2020,14379,PACE,UT,PacifiCorp - East
2020,14379,PACE,WY,PacifiCorp - East
2020,14378,PACW,CA,PacifiCorp - West
2020,14378,PACW,NV,PacifiCorp - West
2020,14378,PACW,OR,PacifiCorp - West
2020,14378,PACW,WA,PacifiCorp - West
2020,15248,PGE,OR,Portland General Electric Company
2020,189,AEC,AL,PowerSouth Energy Cooperative
2020,189,AEC,FL,PowerSouth Energy Cooperative
2020,15466,PSCO,AZ,Public Service Company of Colorado
2020,15466,PSCO,CO,Public Service Company of Colorado
2020,15466,PSCO,NM,Public Service Company of Colorado
2020,15466,PSCO,WY,Public Service Company of Colorado
2020,15473,PNM,AZ,Public Service Company of New Mexico
2020,15473,PNM,CO,Public Service Company of New Mexico
2020,15473,PNM,NM,Public Service Company of New Mexico
2020,15473,PNM,OK,Public Service Company of New Mexico
2020,15473,PNM,TX,Public Service Company of New Mexico
2020,3413,CHPD,WA,Public Utility District No. 1 of Chelan County
2020,14624,GCPD,WA,"Public Utility District No. 2 of Grant County, Washington"
2020,15500,PSEI,WA,Puget Sound Energy
2020,16572,SRP,AZ,Salt River Project
2020,16868,SCL,WA,Seattle City Light
2020,21554,SEC,FL,Seminole Electric Cooperative
2020,17539,SCEG,GA,South Carolina Electric & Gas Company
2020,17539,SCEG,SC,South Carolina Electric & Gas Company
2020,17543,SC,SC,South Carolina Public Service Authority
2020,29304,SEPA,GA,Southeastern Power Administration
2020,29304,SEPA,NC,Southeastern Power Administration
2020,29304,SEPA,SC,Southeastern Power Administration
2020,18195,SOCO,AL,"Southern Company Services, Inc. - Trans"
2020,18195,SOCO,FL,"Southern Company Services, Inc. - Trans"
2020,18195,SOCO,GA,"Southern Company Services, Inc. - Trans"
2020,18195,SOCO,MS,"Southern Company Services, Inc. - Trans"
2020,59504,SWPP,AR,Southwest Power Pool
2020,59504,SWPP,CO,Southwest Power Pool
2020,59504,SWPP,IA,Southwest Power Pool
2020,59504,SWPP,KS,Southwest Power Pool
2020,59504,SWPP,LA,Southwest Power Pool
2020,59504,SWPP,MN,Southwest Power Pool
2020,59504,SWPP,MO,Southwest Power Pool
2020,59504,SWPP,MT,Southwest Power Pool
2020,59504,SWPP,ND,Southwest Power Pool
2020,59504,SWPP,NE,Southwest Power Pool
2020,59504,SWPP,NM,Southwest Power Pool
2020,59504,SWPP,OK,Southwest Power Pool
2020,59504,SWPP,SD,Southwest Power Pool
2020,59504,SWPP,TX,Southwest Power Pool
2020,17716,SPA,AR,Southwestern Power Administration
2020,17716,SPA,MO,Southwestern Power Administration
