Data Year,Utility Number,Utility Name,State,Distribution Circuits,Circuits with Voltage Optimization
2020,55,City of Aberdeen - (MS),MS,8,8
2020,84,A & N Electric Coop,MD,1,0
2020,84,A & N Electric Coop,VA,43,0
2020,108,Adams-Columbia Electric Coop,WI,95,16
2020,155,Agralite Electric Coop,MN,65,0
2020,162,Aiken Electric Coop Inc,SC,122,.
2020,176,Ajo Improvement Co,AZ,5,.
2020,195,Alabama Power Co,AL,"2,381",3
2020,207,Alameda Municipal Power,CA,24,24
2020,213,Alaska Electric Light&Power Co,AK,31,31
2020,219,Alaska Power and Telephone Co,AK,34,0
2020,221,"Alaska Village Elec Coop, Inc",AK,182,0
2020,230,Albany Utility Board,GA,52,.
2020,232,City of Albemarle - (NC),NC,14,14
2020,240,Albemarle Electric Member Corp,NC,31,28
2020,241,Albertville Municipal Utilities Board,AL,27,0
2020,261,AGC Division of APG Inc,IN,1,.
2020,276,Alcorn County Elec Power Assn,MS,33,0
2020,295,City of Alexandria - (MN),MN,25,6
2020,296,"Alfalfa Electric Coop, Inc",KS,3,.
2020,296,"Alfalfa Electric Coop, Inc",OK,49,.
2020,298,City of Alexandria - (LA),LA,61,.
2020,305,Alger-Delta Coop Electric Assn,MI,17,0
2020,307,Algoma Utility Comm,WI,9,9
2020,392,Alpena Power Co,MI,39,0
2020,407,Altamaha Electric Member Corp,GA,57,57
2020,471,Amana Society Service Co,IA,6,0
2020,554,City of Ames - (IA),IA,41,0
2020,562,Amicalola Electric Member Corp,GA,62,0
2020,571,City of Amory,MS,11,0
2020,577,City of Alcoa Utilities,TN,37,0
2020,590,City of Anaheim - (CA),CA,123,123
2020,599,Anchorage Municipal Light and Power,AK,76,15
2020,604,City of Andalusia,AL,14,.
2020,636,City of Anderson - (IN),IN,65,0
2020,689,Connexus Energy,MN,204,204
2020,690,City of Bardstown - (KY),KY,15,.
2020,691,City of Anoka,MN,23,0
2020,719,Town of Apex- (NC),NC,18,16
2020,727,Appalachian Electric Coop,TN,72,72
2020,733,Appalachian Power Co,VA,597,0
2020,733,Appalachian Power Co,WV,496,3
2020,750,Arab Electric Coop Inc,AL,20,0
2020,803,Arizona Public Service Co,AZ,"1,386",.
2020,814,Entergy Arkansas LLC,AR,"1,264",.
2020,814,Entergy Arkansas LLC,TN,3,.
2020,817,Arkansas Valley Elec Coop Corp,AR,129,0
2020,817,Arkansas Valley Elec Coop Corp,OK,13,0
2020,944,City of Athens - (AL),AL,78,0
2020,947,Athens Utility Board,TN,25,15
2020,963,Atlantic City Electric Co,NJ,354,0
2020,994,City of Auburn - (IN),IN,20,3
2020,1009,City of Austin - (MN),MN,26,0
2020,1015,Austin Energy,TX,411,75
2020,1050,City of Azusa,CA,20,.
2020,1149,Baldwin County El Member Corp,AL,97,97
2020,1167,Baltimore Gas & Electric Co,MD,"1,570",728
2020,1169,Bailey County Elec Coop Assn,TX,88,88
2020,1175,"Bandera Electric Coop, Inc",TX,54,4
2020,1179,Versant Power,ME,240,240
2020,1196,Village of Baraga - (MI),MI,2,0
2020,1251,Barron Electric Coop,WI,37,0
2020,1273,"Bartlett Electric Coop, Inc",TX,30,0
2020,1283,Bartholomew County Rural E M C,IN,37,0
2020,1300,City of Bartow - (FL),FL,17,0
2020,1307,Basin Electric Power Coop,ND,1,1
2020,1325,City of Batavia - (IL),IL,22,.
2020,1366,City of Bay City - (MI),MI,33,.
2020,1456,Town of Bedford - (VA),VA,23,0
2020,1458,"Beauregard Electric Coop, Inc",LA,61,61
2020,1529,"Beltrami Electric Coop, Inc",MN,75,0
2020,1572,Badger Power Marketing Authority,WI,2,.
2020,1578,Benton County,TN,14,0
2020,1579,PUD No 1 of Benton County,WA,141,0
2020,1581,City of Benton - (AR),AR,15,15
2020,1582,City of Benton - (KY),KY,5,0
2020,1586,City of Bentonville - (AR),AR,49,.
2020,1591,"Big Country Electric Coop, Inc",TX,53,0
2020,1613,Berkeley Electric Coop Inc,SC,203,203
2020,1625,Benton Rural Electric Assn,WA,56,.
2020,1640,City of Bessemer Utilities,AL,39,0
2020,1708,Big Sandy Rural Elec Coop Corp,KY,36,.
2020,1723,"Big Bend Electric Coop, Inc",WA,56,0
2020,1763,"Black River Electric Coop, Inc - (SC)",SC,108,0
2020,1764,Black Diamond Power Co,WV,6,0
2020,1769,"Black Hills Electric Coop, Inc",SD,39,.
2020,1775,Black River Electric Coop - (MO),MO,62,0
2020,1776,City of Black River Falls,WI,14,0
2020,1780,Black Warrior Elec Member Corp,AL,93,0
2020,1857,Block Island Utility District,RI,6,0
2020,1884,BENCO Electric Cooperative,MN,115,97
2020,1886,Blue Grass Energy Coop Corp,KY,138,33
2020,1889,Blue Ridge Elec Member Corp - (NC),NC,104,64
2020,1890,Blue Ridge Electric Coop Inc - (SC),SC,148,.
2020,1891,Blue Ridge Mountain EMC - (GA),GA,28,27
2020,1891,Blue Ridge Mountain EMC - (GA),NC,10,9
2020,1892,"Bluebonnet Electric Coop, Inc",TX,224,173
2020,1896,City of Bluffton - (IN),IN,21,.
2020,1936,Bolivar Energy Authority,TN,22,22
2020,1997,City of Boscobel - (WI),WI,6,0
2020,2001,Boone Electric Coop,MO,64,61
2020,2008,City of Boulder City - (NV),NV,31,0
2020,2010,City of Bountiful,UT,18,0
2020,2049,"Bowie-Cass Electric Coop, Inc",TX,110,0
2020,2054,City of Bowling Green - (OH),OH,32,15
2020,2056,City of Bowling Green - (KY),KY,55,55
2020,2089,Bozrah Light & Power Company,CT,4,.
2020,2144,Town of Braintree - (MA),MA,23,23
2020,2194,City of Brenham - (TX),TX,11,11
2020,2212,"Broad River Electric Coop, Inc",NC,1,1
2020,2212,"Broad River Electric Coop, Inc",SC,53,53
2020,2247,City of Bristol - (TN),TN,66,54
2020,2248,Bristol Virginia Utilities,VA,36,0
2020,2273,Brodhead Water & Lighting Comm,WI,10,0
2020,2285,City of Brookings - (SD),SD,35,.
2020,2394,Burke-Divide Electric Coop Inc,ND,44,.
2020,2409,Brownsville Public Utilities Board,TX,61,5
2020,2411,City of Brownsville,TN,13,0
2020,2442,City of Bryan - (TX),TX,99,0
2020,2487,City of Buford,GA,12,12
2020,2502,"Buckeye Rural Elec Coop, Inc",OH,52,0
2020,2507,City of Burbank Water and Power,CA,113,0
2020,2548,City of Burlington Electric - (VT),VT,16,16
2020,2651,Butler Rural Electric Coop Inc - (OH),OH,49,0
2020,2652,Butler County Rural Elec Coop - (IA),IA,79,26
2020,2678,C & L Electric Coop Corp,AR,58,.
2020,2774,CMS Electric Coop Inc,KS,40,40
2020,2812,City of Calhoun - (GA),GA,22,17
2020,2849,Central Electric Power Assn - (MS),MS,80,0
2020,2903,Canoochee Electric Member Corp,GA,44,23
2020,2911,"Canadian Valley Elec Coop, Inc",OK,77,77
2020,2960,"Caney Fork Electric Coop, Inc",TN,26,0
2020,2985,"Capital Electric Coop, Inc",ND,92,92
2020,3046,Duke Energy Progress - (NC),NC,"1,116","1,116"
2020,3046,Duke Energy Progress - (NC),SC,172,172
2020,3075,Carroll County - (TN),TN,22,0
2020,3081,Carroll Electric Member Corp - (GA),GA,89,81
2020,3093,Carroll Electric Coop Corp - (AR),AR,164,.
2020,3093,Carroll Electric Coop Corp - (AR),MO,19,.
2020,3107,Carteret-Craven El Member Corp,NC,66,.
2020,3108,City of Cartersville - (GA),GA,26,0
2020,3113,City of Carthage - (MO),MO,17,16
2020,3203,Cedar Falls Utilities,IA,23,23
2020,3205,Cedar-Knox Public Power Dist,NE,63,.
2020,3208,Cedarburg Light & Water Comm,WI,9,9
2020,3216,City of Celina - (OH),OH,14,3
2020,3222,Central Alabama Electric Coop,AL,76,76
2020,3226,"Central Rural Electric Cooperative, Inc",OK,65,65
2020,3236,"Central Electric Coop, Inc - (SD)",SD,72,0
2020,3240,Central Electric Coop Inc - (OR),OR,108,.
2020,3245,"Central Florida Elec Coop, Inc",FL,54,21
2020,3248,Central Georgia El Member Corp,GA,76,76
2020,3249,Central Hudson Gas & Elec Corp,NY,276,0
2020,3250,Central Electric Membership Corp. - (NC),NC,30,.
2020,3264,Central Lincoln People's Ut Dt,OR,237,6
2020,3265,Cleco Power LLC,LA,787,0
2020,3266,Central Maine Power Co,ME,481,0
2020,3268,Central Missouri Elec Coop Inc,MO,44,.
2020,3273,"Central New Mexico El Coop, Inc",NM,35,.
2020,3278,AEP Texas Central Company,TX,961,0
2020,3282,"Central Texas Elec Coop, Inc",TX,62,0
2020,3287,"Central Valley Elec Coop, Inc",NM,96,96
2020,3291,Central Virginia Electric Coop,VA,85,0
2020,3295,City of Centralia - (WA),WA,30,30
2020,3329,Borough of Chambersburg,PA,34,6
2020,3355,City of Chanute,KS,7,7
2020,3400,City of Chaska - (MN),MN,21,.
2020,3408,City of Chattanooga - (TN),GA,1,0
2020,3408,City of Chattanooga - (TN),TN,295,294
2020,3413,PUD No 1 of Chelan County,WA,117,.
2020,3426,Cherokee Electric Coop,AL,28,0
2020,3436,Cherryland Electric Coop Inc,MI,54,0
2020,3461,Cheyenne Light Fuel & Power d/b/a Black,WY,50,0
2020,3470,Cherokee County Elec Coop Assn,TX,35,0
2020,3475,City of Chickamauga,GA,1,0
