Utility Characteristics,,,,,,Number of,,,,,Types of Program,,,,,,,,,,,,,,,,,,,
,,,,,,Customers Enrolled,,,,,Time of Use Pricing,,,,Real Time Pricing,,,,Variable Peak Pricing,,,,Critical Peak Pricing,,,,Critical Peak Rebate,,,
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation
2020,55,City of Aberdeen - (MS),,MS,TVA,0,23,1,0,24,,Y,Y,,,,,,,,,,,,,,,,,
2020,84,A & N Electric Coop,,VA,PJM,2,5,0,0,7,Y,Y,,,,,,,,,,,,,,,,,,
2020,97,Adams Electric Coop,Y,IL,MISO,52,8,.,.,60,,,,,,,,,,,,,,,,,,,,
2020,108,Adams-Columbia Electric Coop,,WI,MISO,875,"1,175",23,.,"2,073",Y,Y,Y,,,,,,,,Y,,,Y,Y,,,,,
2020,162,Aiken Electric Coop Inc,,SC,SC,2,62,.,.,64,Y,Y,,,,,,,,,,,,,,,,,,
2020,195,Alabama Power Co,,AL,SOCO,761,"4,340","1,101",.,"6,202",Y,Y,Y,,,,Y,,,,,,Y,,,,,,,
2020,213,Alaska Electric Light&Power Co,,AK,NA,43,4,0,.,47,Y,Y,,,,,,,,,,,,,,,,,,
2020,240,Albemarle Electric Member Corp,,NC,PJM,12,11,.,.,23,Y,Y,,,,,,,,,,,,,,,,,,
2020,241,Albertville Municipal Utilities Board,,AL,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2020,276,Alcorn County Elec Power Assn,,MS,TVA,0,1,4,0,5,,Y,Y,,,,,,,,,,,,,,,,,
2020,298,City of Alexandria - (LA),,LA,MISO,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,307,Algoma Utility Comm,,WI,MISO,3,12,1,0,16,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,407,Altamaha Electric Member Corp,,GA,SOCO,.,.,232,.,232,,,,,,,,,,,,,,,,,,,Y,
2020,540,BP Energy Company,,TX,ERCO,.,.,1,.,1,,,,,,,Y,,,,,,,,,,,,,
2020,554,City of Ames - (IA),,IA,MISO,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2020,571,City of Amory,,MS,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2020,577,City of Alcoa Utilities,,TN,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,590,City of Anaheim - (CA),,CA,CISO,109,41,8,.,158,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,599,Anchorage Municipal Light and Power,,AK,AMPL,0,0,.,.,0,,,,,,,,,,,,,,,,,,,,
2020,636,City of Anderson - (IN),,IN,PJM,.,.,1,.,1,,,Y,,,,,,,,,,,,,,,,,
2020,691,City of Anoka,,MN,MISO,.,.,.,.,0,,,,,,,,,,,,,,,,,,,,
2020,719,Town of Apex- (NC),,NC,CPLE,44,85,.,.,129,Y,Y,,,,,,,,,,,,Y,,,,,,
2020,727,Appalachian Electric Coop,,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2020,733,Appalachian Power Co,,VA,PJM,"1,255",536,23,0,"1,814",Y,Y,Y,,,,,,,,,,,,,,,,,
2020,733,Appalachian Power Co,,WV,PJM,292,720,7,0,"1,019",Y,Y,Y,,,,,,,,,,,,,,,,,
2020,750,Arab Electric Coop Inc,,AL,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,803,Arizona Public Service Co,,AZ,AZPS,"707,495",863,40,.,"708,398",Y,Y,Y,,,,,,,,,,,,,,,,,
2020,814,Entergy Arkansas LLC,,AR,MISO,89,398,271,.,758,Y,Y,Y,,,,,,,,,,,,,,Y,,,
2020,887,"Arrowhead Electric Coop, Inc",Y,MN,MISO,.,2,.,.,2,,,,,,,,,,,,,,,,,,,,
2020,944,City of Athens - (AL),,AL,TVA,0,3,4,0,7,,Y,Y,,,,Y,,,,,,,,,,,,,
2020,947,Athens Utility Board,,TN,TVA,0,0,7,0,7,,,Y,,,,Y,,,,,,,,,,,,,
2020,970,Homefield Energy,,IL,MISO,.,10,5,.,15,,Y,Y,,,,,,,,,,,,,,,,,
2020,994,City of Auburn - (IN),,IN,PJM,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,1009,City of Austin - (MN),,MN,MISO,.,9,.,.,9,,Y,,,,,,,,,,,,,,,,,,
2020,1015,Austin Energy,,TX,ERCO,89,6,5,.,100,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,1036,Town of Ayden - (NC),Y,NC,CPLE,.,.,1,.,1,,,,,,,,,,,,,,,,,,,,
2020,1050,City of Azusa,,CA,CISO,258,4,25,.,287,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,1149,Baldwin County El Member Corp,,AL,AEC,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,1167,Baltimore Gas & Electric Co,,MD,PJM,"1,144,425",.,.,.,"1,144,425",,,,,,,,,,,,,,,,,Y,,,
2020,1175,"Bandera Electric Coop, Inc",,TX,ERCO,"1,196",.,.,.,"1,196",Y,,,,,,,,,,,,,,,,,,,
