Data Year,Utility Number,Utility Name,State,Ownership,SAIDI With MED,SAIFI With MED,CAIDI With MED,SAIDI Without MED,SAIFI Without MED,CAIDI Without MED,SAIDI With MED Minus LOS,SAIFI With MED Minus LOS,CAIDI Minus MED,Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically,SAIDI With MED,SAIFI With MED,CAIDI With MED,SAIDI Without MED,SAIFI Without MED,CAIDI Without MED,Number of Customers,Inactive Accounts Included,Momentary Interruptions,Highest Dist. Voltage,Outages Recorded Automatically
2020,84,A & N Electric Coop,MD,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,1.4,0.003,466.66667,0.15,0.001,150,313,Y,O,12.5,Y
2020,84,A & N Electric Coop,VA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,329.54,1.21,272.34711,67.17,1.13,59.442478,36141,Y,O,24.9,Y
2020,108,Adams-Columbia Electric Coop,WI,Cooperative,156.1,0.71,219.85915,156.1,0.71,219.85915,156.1,0.71,219.85915,38019,12,Y,.,.,.,.,.,.,.,,,.,
2020,155,Agralite Electric Coop,MN,Cooperative,155.506,1.682,92.453032,123.155,1.503,81.939454,137.441,1.243,110.572,5412,12.4,Y,.,.,.,.,.,.,.,,,.,
2020,162,Aiken Electric Coop Inc,SC,Cooperative,203.71,.,.,107.61,.,.,196.93,.,.,48912,25,Y,.,.,.,.,.,.,.,,,.,
2020,195,Alabama Power Co,AL,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,1434.4,2.188,655.57587,120.4,1.03,116.8932,1484464,N,F,34.5,Y
2020,207,Alameda Municipal Power,CA,Municipal,57.606,0.883,65.238958,57.606,0.883,65.238958,0,0,.,34965,12,Y,.,.,.,.,.,.,.,,,.,
2020,213,Alaska Electric Light&Power Co,AK,Investor Owned,574,8.26,69.491525,395,7.26,54.407713,63,1.24,50.806452,17210,12.5,N,.,.,.,.,.,.,.,,,.,
2020,219,Alaska Power and Telephone Co,AK,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,367.2,7.08,51.864407,.,.,.,8174,N,L,12.5,Y
2020,232,City of Albemarle - (NC),NC,Municipal,264.47,0.82,322.52439,51.13,0.42,121.7381,.,.,.,11821,14.4,N,.,.,.,.,.,.,.,,,.,
2020,240,Albemarle Electric Member Corp,NC,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,282.8,1.784,158.52018,103.5,1.248,82.932692,12980,N,F,12.5,Y
2020,241,Albertville Municipal Utilities Board,AL,Municipal,18.929,0.417,45.393285,18.929,0.417,45.393285,18.929,0.417,45.393285,10054,13,N,.,.,.,.,.,.,.,,,.,
2020,276,Alcorn County Elec Power Assn,MS,Cooperative,90.6,0.821,110.35323,90.6,0.821,110.35323,90.6,0.821,110.35323,18872,13.1,N,.,.,.,.,.,.,.,,,.,
2020,295,City of Alexandria - (MN),MN,Municipal,12,0.4,30,.,.,.,.,.,.,10263,13.2,N,.,.,.,.,.,.,.,,,.,
2020,296,"Alfalfa Electric Coop, Inc",KS,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,76.214,0.883,86.312571,40.496,0.774,52.320413,912,N,O,14.4,Y
2020,296,"Alfalfa Electric Coop, Inc",OK,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,132.665,1.254,105.79346,58.17,0.911,63.852909,7580,N,O,14.4,Y
2020,305,Alger-Delta Coop Electric Assn,MI,Cooperative,166.2,0.93,178.70968,165.8,0.928,178.66379,160.5,0.885,181.35593,10181,34.5,Y,.,.,.,.,.,.,.,,,.,
2020,392,Alpena Power Co,MI,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,213.5,1.1,194.09091,89.2,0.9,99.111111,16488,N,L,13.2,N
2020,407,Altamaha Electric Member Corp,GA,Cooperative,149.6,1.77,84.519774,149.2,1.77,84.293785,138.3,1.49,92.818792,24069,24.9,Y,.,.,.,.,.,.,.,,,.,
2020,554,City of Ames - (IA),IA,Municipal,2136.95,1.77,1207.3164,34.73,0.35,99.228571,2134.33,1.75,1219.6171,27187,13.8,N,.,.,.,.,.,.,.,,,.,
2020,562,Amicalola Electric Member Corp,GA,Cooperative,2965.27,4.99,594.24248,521.09,3.42,152.3655,2951.58,4.84,609.83058,50384,25,N,.,.,.,.,.,.,.,,,.,
2020,590,City of Anaheim - (CA),CA,Municipal,26.35,0.39,67.564103,26.35,0.39,67.564103,26.35,0.39,67.564103,122506,12,Y,.,.,.,.,.,.,.,,,.,
2020,599,Anchorage Municipal Light and Power,AK,Municipal,68.685,0.271,253.45018,18.141,0.11,164.91818,18.141,0.11,164.91818,31159,35,Y,.,.,.,.,.,.,.,,,.,
2020,636,City of Anderson - (IN),IN,Municipal,380.49,1.817,209.40561,144.44,1.096,131.78832,380.49,1.817,209.40561,34037,13.2,Y,.,.,.,.,.,.,.,,,.,
2020,689,Connexus Energy,MN,Cooperative,29.629,0.428,69.226636,26.773,0.403,66.434243,26.848,0.315,85.231746,136974.7,12.5,Y,.,.,.,.,.,.,.,,,.,
2020,691,City of Anoka,MN,Municipal,33.61,0.55,61.109091,33.61,0.55,61.109091,33.61,0.55,61.109091,12244,12.5,N,.,.,.,.,.,.,.,,,.,
2020,727,Appalachian Electric Coop,TN,Cooperative,291.611,3.133,93.077242,225.192,2.842,79.237157,284.938,2.992,95.233289,47373,13.8,Y,.,.,.,.,.,.,.,,,.,
2020,733,Appalachian Power Co,VA,Investor Owned,390.4,1.674,233.21386,310.2,1.51,205.43046,369.4,1.575,234.53968,538541,35,Y,.,.,.,.,.,.,.,,,.,
2020,733,Appalachian Power Co,WV,Investor Owned,818.8,2.839,288.41141,618.2,2.517,245.60985,774.8,2.592,298.91975,423326,35,Y,.,.,.,.,.,.,.,,,.,
2020,803,Arizona Public Service Co,AZ,Investor Owned,84.47,0.86,98.22093,78.6,0.85,92.470588,79.91,0.81,98.654321,1285518,69,N,.,.,.,.,.,.,.,,,.,
2020,814,Entergy Arkansas LLC,AR,Investor Owned,1190.5,2.099,567.17485,270.1,1.522,177.46386,1149,1.941,591.96291,732299,34.5,Y,.,.,.,.,.,.,.,,,.,
2020,817,Arkansas Valley Elec Coop Corp,AR,Cooperative,321.6,2.65,121.35849,268.8,2.4,112,248.4,2.13,116.61972,56196,14.4,Y,.,.,.,.,.,.,.,,,.,
2020,817,Arkansas Valley Elec Coop Corp,OK,Cooperative,642.6,3.94,163.09645,369.6,3.19,115.86207,547.2,2.86,191.32867,4619,7.2,Y,.,.,.,.,.,.,.,,,.,
2020,963,Atlantic City Electric Co,NJ,Investor Owned,552,1.47,375.5102,68,0.81,83.950617,552,1.47,375.5102,559755,69,Y,.,.,.,.,.,.,.,,,.,
2020,1009,City of Austin - (MN),MN,Municipal,8.868,0.183,48.459016,.,.,.,.,.,.,11751,13.8,N,.,.,.,.,.,.,.,,,.,
2020,1015,Austin Energy,TX,Municipal,54.27,0.68,79.808824,54.27,0.68,79.808824,50.65,0.63,80.396825,500167,35,Y,.,.,.,.,.,.,.,,,.,
2020,1050,City of Azusa,CA,Municipal,.,.,.,26.238,0.201,130.53731,.,.,.,16988,12,N,.,.,.,.,.,.,.,,,.,
2020,1149,Baldwin County El Member Corp,AL,Cooperative,7048.723,4.556,1547.1297,94.739,1.107,85.581752,7046.719,4.554,1547.3691,79778,12.5,Y,.,.,.,.,.,.,.,,,.,
2020,1167,Baltimore Gas & Electric Co,MD,Investor Owned,117.71,0.959,122.74244,77.901,0.776,100.38789,117.211,0.943,124.29586,1304427,34,Y,.,.,.,.,.,.,.,,,.,
2020,1175,"Bandera Electric Coop, Inc",TX,Cooperative,181.409,0.77,235.5961,40.305,0.41,98.304878,178.67,0.704,253.79261,37882,24,Y,.,.,.,.,.,.,.,,,.,
2020,1179,Versant Power,ME,Investor Owned,1602,4.105,390.25579,319,2.404,132.69551,1584,3.972,398.79154,176818,35,Y,.,.,.,.,.,.,.,,,.,
2020,1251,Barron Electric Coop,WI,Cooperative,282.9,1.676,168.79475,209.93,1.474,142.42198,282.9,1.676,168.79475,19159,12.5,Y,.,.,.,.,.,.,.,,,.,
2020,1273,"Bartlett Electric Coop, Inc",TX,Cooperative,128.04,1.44,88.916667,27.19,0.27,100.7037,122.01,1.39,87.776978,12365,24.9,Y,.,.,.,.,.,.,.,,,.,
2020,1283,Bartholomew County Rural E M C,IN,Cooperative,167.07,1.17,142.79487,40.73,0.43,94.72093,166.98,1.05,159.02857,11710,12.5,Y,.,.,.,.,.,.,.,,,.,
2020,1300,City of Bartow - (FL),FL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,91.57,0.892,102.65695,.,.,.,12377,N,L,35,N
2020,1366,City of Bay City - (MI),MI,Municipal,164.324,1.027,160.00389,99.429,0.633,157.07583,164.324,1.027,160.00389,21000,8.3,Y,.,.,.,.,.,.,.,,,.,
2020,1456,Town of Bedford - (VA),VA,Municipal,331.376,1.379,240.30167,146.782,.,.,146.782,.,.,6723,69,N,.,.,.,.,.,.,.,,,.,
2020,1458,"Beauregard Electric Coop, Inc",LA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,849,5.16,164.53488,642.6,4.18,153.73206,43461,N,F,24.9,Y
2020,1529,"Beltrami Electric Coop, Inc",MN,Cooperative,.,.,.,127.94,1.601,79.912555,.,.,.,21230,12.5,Y,.,.,.,.,.,.,.,,,.,
2020,1579,PUD No 1 of Benton County,WA,Political Subdivision,88.5,0.65,136.15385,67.7,0.58,116.72414,.,.,.,54440,34.5,Y,.,.,.,.,.,.,.,,,.,
2020,1591,"Big Country Electric Coop, Inc",TX,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,792,.,.,.,.,.,13128,N,L,69,Y
2020,1613,Berkeley Electric Coop Inc,SC,Cooperative,316,1.69,186.98225,116.1,1.27,91.417323,305.8,1.54,198.57143,108006,24.9,Y,.,.,.,.,.,.,.,,,.,
2020,1625,Benton Rural Electric Assn,WA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,200.044,1.971,101.49366,.,.,.,15019,N,L,34.5,N
2020,1708,Big Sandy Rural Elec Coop Corp,KY,Cooperative,737,3.74,197.05882,680.78,3.62,188.06077,737,3.74,197.05882,12688,13.2,Y,.,.,.,.,.,.,.,,,.,
2020,1723,"Big Bend Electric Coop, Inc",WA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,163.8,1.19,137.64706,141.59,1.12,126.41964,9582,N,O,24.9,N
2020,1763,"Black River Electric Coop, Inc - (SC)",SC,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,101.66,1.11,91.585586,87.45,0.971,90.061792,32900,N,L,1.5,Y
2020,1769,"Black Hills Electric Coop, Inc",SD,Cooperative,222.649,1.162,191.60843,222.649,1.162,191.60843,187.439,0.803,233.42341,10387,.,Y,.,.,.,.,.,.,.,,,.,
2020,1775,Black River Electric Coop - (MO),MO,Cooperative,351.58,.,.,351.58,.,.,335.16,.,.,24581,14.4,Y,.,.,.,.,.,.,.,,,.,
2020,1884,BENCO Electric Cooperative,MN,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,142.669,1.392,102.4921,113.717,1.17,97.194017,18981,N,L,14.7,Y
2020,1886,Blue Grass Energy Coop Corp,KY,Cooperative,194.671,1.261,154.37827,95.856,0.961,99.746098,191.959,1.159,165.62468,58829,25,Y,.,.,.,.,.,.,.,,,.,
2020,1889,Blue Ridge Elec Member Corp - (NC),NC,Cooperative,75.43,1.02,73.95098,69.44,0.97,71.587629,75.43,1.02,73.95098,76487,15,Y,.,.,.,.,.,.,.,,,.,
2020,1890,Blue Ridge Electric Coop Inc - (SC),SC,Cooperative,186.74,.,.,162.92,.,.,29.63,.,.,67589,7.2,N,.,.,.,.,.,.,.,,,.,
2020,1892,"Bluebonnet Electric Coop, Inc",TX,Cooperative,151.198,1.125,134.39822,78.525,0.885,88.728814,137.273,0.929,147.76426,108894,14.4,N,.,.,.,.,.,.,.,,,.,
2020,1936,Bolivar Energy Authority,TN,Municipal,78.26,1,78.26,36.26,0.66,54.939394,78.26,1,78.26,11248,12.5,N,.,.,.,.,.,.,.,,,.,
2020,2001,Boone Electric Coop,MO,Cooperative,106.79,1.29,82.782946,51.87,0.89,58.280899,96.2,1.08,89.074074,33344,13.2,Y,.,.,.,.,.,.,.,,,.,
2020,2049,"Bowie-Cass Electric Coop, Inc",TX,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,923.35,.,.,424.97,.,.,37934,N,O,12.5,Y
2020,2054,City of Bowling Green - (OH),OH,Municipal,54.943,0.918,59.850763,5.856,0.063,92.952381,.,.,.,14770,12.5,N,.,.,.,.,.,.,.,,,.,
2020,2056,City of Bowling Green - (KY),KY,Municipal,112.046,0.738,151.82385,31.827,0.52,61.205769,112.046,0.738,151.82385,31078,13,N,.,.,.,.,.,.,.,,,.,
2020,2089,Bozrah Light & Power Company,CT,Municipal,1320.76,1.65,800.46061,52.47,0.7,74.957143,1320.76,1.65,800.46061,2769,13.8,Y,.,.,.,.,.,.,.,,,.,
2020,2144,Town of Braintree - (MA),MA,Municipal,3.93,0.04,98.25,3.93,0.04,98.25,3.93,0.04,98.25,16924,13.8,N,.,.,.,.,.,.,.,,,.,
