Utility Characteristics,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,BA Code,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2020,AK,219,Alaska Power and Telephone Co,NA,AC,0.012,0.021,.,.,0.033,3,2,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.207,3.160,.,.,5.367,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.005,.,.,.,0.005,1,.,.,.,1,0.000,.,.,.,0.000,0.017,0.021,0.000,0.000,0.038,4,2,0,0,6,2.207,3.160,0.000,0.000,5.367
2020,AK,3522,Chugach Electric Assn Inc,CEA,AC,2.157,0.567,.,.,2.724,512,59,.,.,571,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.010,0.010,.,.,0.020,1,4,.,.,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.167,0.577,0.000,0.000,2.744,513,63,0,0,576,0.000,0.000,0.000,0.000,0.000
2020,AK,7353,Golden Valley Elec Assn Inc,NA,AC,1.952,0.316,0.043,.,2.311,396,29,4,.,429,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,123.347,29.552,.,.,152.899,0.013,0.012,.,.,0.025,4,2,.,.,6,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.965,0.328,0.043,0.000,2.336,400,31,4,0,435,123.347,29.552,0.000,0.000,152.899
2020,AK,11824,Matanuska Electric Assn Inc,NA,AC,1.010,0.168,.,.,1.178,186,15,.,.,201,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.060,0.016,.,.,0.076,18,3,.,.,21,.,.,.,.,0.000,0.048,0.004,.,.,0.052,7,1,.,.,8,.,.,.,.,0.000,1.118,0.188,0.000,0.000,1.306,211,19,0,0,230,0.000,0.000,0.000,0.000,0.000
2020,AK,19558,Homer Electric Assn Inc,NA,DC,1.742,0.274,.,.,2.016,330,29,.,.,359,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,589.403,72.438,.,.,661.841,0.102,0.015,.,.,0.117,30,4,.,.,34,16.013,6.184,.,.,22.197,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.844,0.289,0.000,0.000,2.133,360,33,0,0,393,605.416,78.622,0.000,0.000,684.038
2020,AK,99999,Adjustment 2020,NA,,-0.304,-0.048,.,.,-0.352,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.304,-0.048,.,.,-0.352,.,.,.,.,.,.,.,.,.,.
2020,AL,3222,Central Alabama Electric Coop,AEC,DC,0.092,.,.,.,0.092,16,.,.,.,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.125,.,.,.,0.125,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.092,0.000,0.000,0.000,0.092,16,0,0,0,16,0.125,0.000,0.000,0.000,0.125
2020,AL,4430,"Covington Electric Coop, Inc",AEC,AC,0.035,.,.,.,0.035,4,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.800,.,.,.,12.800,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.035,0.000,0.000,0.000,0.035,4,0,0,0,4,12.800,0.000,0.000,0.000,12.800
2020,AL,6491,Foley Board of Utilities,SOCO,AC,0.110,0.500,.,.,0.610,11,5,.,.,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.110,0.500,0.000,0.000,0.610,11,5,0,0,16,0.000,0.000,0.000,0.000,0.000
