Data Year,Utility Number,Utility Name,Ownership,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2021,34,City of Abbeville - (SC),Municipal,Y,SC,DUK,"2,916",488,.,.,"3,404",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,916",488,0,0,"3,404",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,55,City of Aberdeen - (MS),Municipal,,MS,TVA,0,0,0,0,0,0,19,2,0,21,0,0,0,0,0,"2,612",659,2,0,"3,273","2,612",678,4,0,"3,294",0,531,"66,676",0,"67,207",0,0,0,0,0,0,0,0,0,0
2021,84,A & N Electric Coop,Cooperative,,MD,PJM,0,0,0,0,0,269,44,0,0,313,0,0,0,0,0,0,0,0,0,0,269,44,0,0,313,"2,115",592,0,0,"2,707",269,44,0,0,313,0,0,0,0,0
2021,84,A & N Electric Coop,Cooperative,,VA,PJM,5,125,0,0,130,"32,018","4,135",7,0,"36,160",0,0,0,0,0,0,0,0,0,0,"32,023","4,260",7,0,"36,290","375,841","164,506","168,718",.,"709,065","32,023","4,260",7,0,"36,290",0,0,0,0,0
2021,87,City of Ada - (MN),Municipal,Y,MN,MISO,870,170,57,.,"1,097",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,870,170,57,0,"1,097",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,97,Adams Electric Coop,Cooperative,Y,IL,MISO,.,.,.,.,.,"11,804",226,.,.,"12,030",.,.,.,.,.,.,.,.,.,.,"11,804",226,0,0,"12,030","116,179","57,408",.,.,"173,587",.,.,.,.,.,.,.,.,.,.
2021,108,Adams-Columbia Electric Coop,Cooperative,,WI,MISO,.,.,.,.,.,"35,002","2,411",971,.,"38,384",.,.,.,.,.,.,.,.,.,.,"35,002","2,411",971,0,"38,384","275,873","84,986","195,648",.,"556,507","35,002","2,411",971,.,"38,384",.,.,.,.,.
2021,118,"Adams Rural Electric Coop, Inc",Cooperative,Y,OH,PJM,.,.,.,.,.,"7,209",411,.,.,"7,620",.,.,.,.,.,.,.,.,.,.,"7,209",411,0,0,"7,620","92,733","21,803",.,.,"114,536",.,.,.,.,.,.,.,.,.,.
2021,122,Village of Arcade - (NY),Municipal,Y,NY,NYIS,"3,690",490,78,.,"4,258",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,690",490,78,0,"4,258",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,123,City of Adel- (GA),Municipal,Y,GA,SOCO,.,.,.,.,.,"2,454",781,21,.,"3,256",.,.,.,.,.,.,.,.,.,.,"2,454",781,21,0,"3,256","24,673","34,031","9,164",.,"67,868",.,.,.,.,.,.,.,.,.,.
