|Utility Characteristics.Year|,|Utility Characteristics.State|,|Utility Characteristics.Utility Number|,|Utility Characteristics.Utility Name|,|Utility Characteristics.BA_CODE|,|Number and Capacity (MW).Number of Generators|,|Number and Capacity (MW).Total Capacity|,|Number and Capacity (MW).Capacity Back-up Only|,|Number and Capacity (MW).Capacity Utility Owned|,|Photovoltaic.Type|,|Photovoltaic.Residential|,|Photovoltaic.Commercial|,|Photovoltaic.Industrial|,|Photovoltaic.Transportation|,|Photovoltaic.Direct Connected|,|Photovoltaic.Total|,|Storage.Residential|,|Storage.Commercial|,|Storage.Industrial|,|Storage.Transportation|,|Storage.Direct Connected|,|Storage.Total|,|Wind.Residential|,|Wind.Commercial|,|Wind.Industrial|,|Wind.Transportation|,|Wind.Direct Connected|,|Wind.Total|,|Hydroelectric.Residential|,|Hydroelectric.Commercial|,|Hydroelectric.Industrial|,|Hydroelectric.Transportation|,|Hydroelectric.Direct Connected|,|Hydroelectric.Total|,|Fuel Cells.Residential|,|Fuel Cells.Commercial|,|Fuel Cells.Industrial|,|Fuel Cells.Transportation|,|Fuel Cells.Direct Connected|,|Fuel Cells.Total|,|Internal Combustion.Residential|,|Internal Combustion.Commercial|,|Internal Combustion.Industrial|,|Internal Combustion.Transportation|,|Internal Combustion.Direct Connected|,|Internal Combustion.Total|,|Combustion Turbine.Residential|,|Combustion Turbine.Commercial|,|Combustion Turbine.Industrial|,|Combustion Turbine.Transportation|,|Combustion Turbine.Direct Connected|,|Combustion Turbine.Total|,|Steam.Residential|,|Steam.Commercial|,|Steam.Industrial|,|Steam.Transportation|,|Steam.Direct Connected|,|Steam.Total|,|Other.Residential|,|Other.Commercial|,|Other.Industrial|,|Other.Transportation|,|Other.Direct Connected|,|Other.Total|,|Total.Residential|,|Total.Commercial|,|Total.Industrial|,|Total.Transportation|,|Total.Direct Connected|,|.Total|
2021,SC,34,City of Abbeville - (SC),DUK,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,MS,55,City of Aberdeen - (MS),TVA,1,0.010,0.000,0.000,AC,0.010,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.010
2021,IL,97,Adams Electric Coop,MISO,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,NY,122,Village of Arcade - (NY),NYIS,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,MN,155,Agralite Electric Coop,MISO,1,0.020,.,.,AC,.,0.020,.,.,.,0.020,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,0.000,0.020,0.000,0.000,0.000,0.020
2021,AL,195,Alabama Power Co,SOCO,260,5.669,.,.,,0.837,3.985,0.800,.,.,5.622,.,.,.,.,.,0.000,0.002,0.005,.,.,.,0.007,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,0.040,.,.,0.040,0.839,3.990,0.840,0.000,0.000,5.669
2021,CA,207,Alameda Municipal Power,CISO,354,2.229,.,.,AC,1.328,0.435,.,.,.,1.763,0.466,.,.,.,.,0.466,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,1.794,0.435,0.000,0.000,0.000,2.229
2021,AK,213,Alaska Electric Light & Power Co.,NA,6,0.141,.,.,,.,0.090,.,.,.,0.090,.,.,.,.,.,0.000,.,0.002,.,.,.,0.002,.,0.030,.,.,.,0.030,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,0.019,.,.,0.019,.,.,.,.,.,0.000,0.000,0.122,0.019,0.000,0.000,0.141
2021,AK,219,Alaska Power and Telephone Co,NA,32,6.124,1.710,4.590,AC,.,1.530,.,.,0.024,1.554,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,0.800,0.800,.,.,.,.,.,0.000,.,.,.,.,3.770,3.770,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,0.000,1.530,0.000,0.000,4.594,6.124
2021,AK,221,"Alaska Village Elec Coop, Inc",NA,127,20.525,3.346,19.727,,0.023,0.583,.,.,0.033,0.639,.,.,.,.,.,0.000,0.016,0.175,.,.,4.800,4.991,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,14.895,14.895,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,0.039,0.758,0.000,0.000,19.728,20.525
