|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..Part|,|Utility Characteristics..Service Type|,|Utility Characteristics.."Data Type O = Observed I = Imputed"|,|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|Utility Characteristics.BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
2021,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,TVA,"3,929.0","34,013","2,612","3,373.0","29,285",678,"6,656.0","133,352",2,0.0,0,0,"13,958.0","196,650","3,292"
2021,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,PJM,258.0,"2,115",269,72.0,592,44,0.0,0,0,0.0,0,0,330.0,"2,707",313
2021,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,PJM,"43,227.0","375,900","32,023","17,467.0","169,476","4,260","13,141.0","168,719",7,.,.,.,"73,835.0","714,095","36,290"
2021,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,MISO,"43,651.0","275,873","35,002","10,434.0","84,986","2,411","17,928.0","195,647",971,.,.,.,"72,013.0","556,506","38,384"
2021,113,"Agway Energy Services, LLC",B,Energy,O,MD,Retail Power Marketer,PJM,14.3,119,10,5.0,45,3,0.0,0,0,0.0,0,0,19.3,164,13
2021,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,"14,143.8","149,041","19,010","3,688.6","40,905","3,311",0.0,0,0,0.0,0,0,"17,832.4","189,946","22,321"
2021,113,"Agway Energy Services, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,"1,817.6","15,804","1,600",182.0,"1,657",70,0.0,0,0,0.0,0,0,"1,999.6","17,461","1,670"
2021,155,Agralite Electric Coop,A,Bundled,O,MN,Cooperative,MISO,"9,933.0","79,442","4,418","6,919.0","92,021",295,"7,167.0","79,924",589,.,.,.,"24,019.0","251,387","5,302"
2021,162,Aiken Electric Coop Inc,A,Bundled,O,SC,Cooperative,SC,"83,700.7","613,632","47,152","15,438.0","129,454","3,222","11,795.2","179,541",15,.,.,.,"110,933.9","922,627","50,389"
2021,176,Ajo Improvement Co,A,Bundled,O,AZ,Investor Owned,AZPS,514.3,"4,980",835,274.4,"2,890",204,0.0,0,0,0.0,0,0,788.7,"7,870","1,039"
2021,195,Alabama Power Co,A,Bundled,O,AL,Investor Owned,SOCO,"2,451,698.0","17,466,982","1,301,017","1,615,224.0","12,868,285","202,932","1,434,210.0","20,836,561","6,149",0.0,0,0,"5,501,132.0","51,171,828","1,510,098"
2021,207,Alameda Municipal Power,A,Bundled,O,CA,Municipal,CISO,"26,519.1","131,126","32,044","34,247.1","195,602","4,135",.,.,.,.,.,.,"60,766.2","326,728","36,179"
2021,213,Alaska Electric Light & Power Co.,A,Bundled,O,AK,Investor Owned,NA,"19,052.1","160,027","15,017","11,678.5","117,468","2,395","14,548.4","126,839",121,.,.,.,"45,279.0","404,334","17,533"
2021,219,Alaska Power and Telephone Co,A,Bundled,O,AK,Investor Owned,NA,"8,742.0","26,792","5,576","11,445.0","42,976","2,618",0.0,0,0,0.0,0,0,"20,187.0","69,768","8,194"
2021,221,"Alaska Village Elec Coop, Inc",A,Bundled,O,AK,Cooperative,NA,"21,051.9","44,527","7,872","30,274.8","79,607","3,683",0.0,0,0,0.0,0,0,"51,326.7","124,134","11,555"
2021,230,Albany Utility Board,A,Bundled,O,GA,Municipal,SOCO,"39,235.0","350,140","29,071","51,193.0","522,512","4,190",.,.,.,.,.,.,"90,428.0","872,652","33,261"
2021,232,City of Albemarle - (NC),A,Bundled,O,NC,Municipal,DUK,"16,263.1","132,783","10,241","12,484.6","119,429","2,252","1,948.8","23,364",12,0.0,0,0,"30,696.5","275,576","12,505"
2021,240,Albemarle Electric Member Corp,A,Bundled,O,NC,Cooperative,PJM,"25,166.0","183,878","12,254","4,060.0","34,565","1,095",529.0,"6,371",23,0.0,0,0,"29,755.0","224,814","13,372"
2021,241,Albertville Municipal Utilities Board,A,Bundled,O,AL,Municipal,TVA,"11,828.0","121,061","8,143","18,386.0","179,347","2,284","19,493.0","330,036",16,0.0,0,0,"49,707.0","630,444","10,443"
2021,261,AGC Division of APGI Inc,A,Bundled,O,IN,Investor Owned,MISO,0.0,0,0,0.0,0,0,"159,231.4","2,722,803",2,0.0,0,0,"159,231.4","2,722,803",2
