,Data Year,Utility Number,Utility Name,Ownership,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential.1,Commercial.1,Industrial.1,Transportation.1,Total.1,Residential.2,Commercial.2,Industrial.2,Transportation.2,Total.2,Residential.3,Commercial.3,Industrial.3,Transportation.3,Total.3,Residential.4,Commercial.4,Industrial.4,Transportation.4,Total.4,Residential.5,Commercial.5,Industrial.5,Transportation.5,Total.5,Residential.6,Commercial.6,Industrial.6,Transportation.6,Total.6,Residential.7,Commercial.7,Industrial.7,Transportation.7,Total.7
0,2021,97.0,Adams Electric Coop,Cooperative,Y,IL,MISO,.,.,.,.,.,"11,804",226,.,.,"12,030",.,.,.,.,.,.,.,.,.,.,"11,804",226,0,0.0,"12,030","116,179","57,408",.,.,"173,587",.,.,.,.,.,.,.,.,.,.
1,2021,229.0,City of Albany - (IL),Municipal,Y,IL,MISO,450,.,.,.,450,30,.,.,.,30,.,.,.,.,.,.,.,.,.,.,480,0,0,0.0,480,480,.,.,.,480,.,.,.,.,.,.,.,.,.,.
2,2021,406.0,City of Altamont - (IL),Municipal,Y,IL,MISO,"1,366",172,0,.,"1,538",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.,"1,366",172,0,0.0,"1,538","11,283","3,933",.,.,"15,216",.,.,.,.,.,.,.,.,.,.
3,2021,1325.0,City of Batavia - (IL),Municipal,,IL,PJM,"9,908",659,10,.,"10,577",.,.,.,.,.,.,.,.,.,.,6,641,29,.,676,"9,914","1,300",39,0.0,"11,253",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
4,2021,2188.0,City of Breese - (IL),Municipal,Y,IL,MISO,"2,103",303,.,.,"2,406",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,103",303,0,0.0,"2,406",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,2021,2776.0,Cairo Public Utility Company,Municipal,Y,IL,MISO,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,1,0.0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
6,2021,3037.0,City of Carlyle - (IL),Municipal,Y,IL,MISO,"1,730",301,.,.,"2,031",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,730",301,0,0.0,"2,031",.,.,.,.,0,.,.,.,.,.,.,.,.,.,.
7,2021,3153.0,City of Casey - (IL),Municipal,Y,IL,MISO,"1,574",291,.,.,"1,865",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,574",291,0,0.0,"1,865",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8,2021,3405.0,Village of Chatham - (IL),Municipal,Y,IL,MISO,"6,420",275,7,.,"6,702",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,420",275,7,0.0,"6,702",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
9,2021,3726.0,Clay Electric Coop Inc,Cooperative,Y,IL,MISO,.,.,.,.,0,"2,994",.,307,.,"3,301",.,.,.,.,.,.,.,.,.,.,"2,994",0,307,0.0,"3,301","3,214",.,"1,171",.,"4,385",.,.,.,.,.,.,.,.,.,.
