,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Residential|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Commercial|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Industrial|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Transportation|,|Yearly Energy and Demand Savings.Number of Customers Enrolled.Total|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Residential|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Commercial|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Industrial|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Transportation|,|Yearly Energy and Demand Savings.Energy Savings (MWh).Total|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Residential|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Commercial|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Industrial|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Transportation|,|Yearly Energy and Demand Savings.Potential Peak Demand Savings (MW).Total|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Residential|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Commercial|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Industrial|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Transportation|,|Yearly Energy and Demand Savings.Actual Peak Demand Savings (MW).Total|,|Program Costs.Customer Incentives (Thousand Dollars).Residential|,|Program Costs.Customer Incentives (Thousand Dollars).Commercial|,|Program Costs.Customer Incentives (Thousand Dollars).Industrial|,|Program Costs.Customer Incentives (Thousand Dollars).Transportation|,|Program Costs.Customer Incentives (Thousand Dollars).Total|,|Program Costs.All Other Costs (Thousand Dollars).Residential|,|Program Costs.All Other Costs (Thousand Dollars).Commercial|,|Program Costs.All Other Costs (Thousand Dollars).Industrial|,|Program Costs.All Other Costs (Thousand Dollars).Transportation|,|Program Costs.All Other Costs (Thousand Dollars).Total|,|DSM Program.Grid Connected.Water Heater
0,2021,3931,Coles-Moultrie Electric Coop,IL,MISO,"4,323",146,6,.,"4,475",.,.,.,.,.,3.0,8.0,3.0,.,14.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2021,4110,Commonwealth Edison Co,IL,PJM,"386,800","2,394",623,0,"389,817","3,249",0,0,0,"3,249",115.0,403.0,522.0,0.0,"1,040.0",115.0,0.0,0.0,0.0,115.0,"5,325",0,0,0,"5,325","4,424",19,24,0,"4,467",0
2,2021,4362,Corn Belt Energy Corporation,IL,MISO,.,53,.,.,53,.,.,.,.,.,.,3.0,.,.,3.0,.,3.0,.,.,3.0,.,.,.,.,.,.,.,.,.,.,.
3,2021,9286,Illinois Municipal Elec Agency,IL,MISO,.,3,.,.,3,.,0,.,.,0,.,1.3,.,.,1.3,.,0.0,.,.,0.0,.,64,.,.,64,.,0,.,.,0,.
4,2021,9750,"Jo-Carroll Energy, Inc",IL,MISO,"1,704",0,7,0,"1,711",0,0,0,0,0,1.5,0.0,2.1,0.0,3.6,1.5,0.0,2.0,0.0,3.5,105,0,38,0,143,31,0,11,0,42,0
5,2021,12341,MidAmerican Energy Co,IL,MISO,"3,522",2,3,.,"3,527",10,6,36,.,52,2.5,4.7,26.6,.,33.8,2.5,4.7,26.6,.,33.8,72,107,607,.,786,92,5,28,.,125,.
6,2021,12395,Menard Electric Coop,IL,MISO,965,27,"1,272",.,"2,264",20,0,281,.,300,0.8,5.0,25.0,.,30.8,0.5,0.0,15.2,.,15.7,50,1,.,.,50,.,.,354,.,354,.
7,2021,13208,City of Naperville - (IL),IL,PJM,.,1,.,.,1,.,3,.,.,3,.,0.3,.,.,0.3,.,0.3,.,.,0.3,.,12,.,.,12,.,.,.,.,.,.
8,2021,17040,"Shelby Electric Coop, Inc",IL,MISO,"1,092",43,.,.,"1,135",.,.,.,.,.,6.3,7.2,.,.,13.5,.,.,.,.,.,.,.,.,.,.,0,0,.,.,0,.
9,2021,40211,"Wabash Valley Power Assn, Inc",IL,MISO,"4,381",0,3,0,"4,384",.,.,.,.,.,8.8,0.0,0.1,0.0,8.9,7.9,0.0,0.1,0.0,8.0,492,0,7,0,498,.,.,.,.,.,.
