,|Utility Characteristics..Year|,|Utility Characteristics..State|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..BA Code|,|Photovoltaic.Capacity MW.Type|,|Photovoltaic.Capacity MW.Residential|,|Photovoltaic.Capacity MW.Commercial|,|Photovoltaic.Capacity MW.Industrial|,|Photovoltaic.Capacity MW.Transportation|,|Photovoltaic.Capacity MW.Total|,|Photovoltaic.Installations.Residential|,|Photovoltaic.Installations.Commercial|,|Photovoltaic.Installations.Industrial|,|Photovoltaic.Installations.Transportation|,|Photovoltaic.Installations.Total|,|Photovoltaic.Storage Capacity (MW).Residential|,|Photovoltaic.Storage Capacity (MW).Commercial|,|Photovoltaic.Storage Capacity (MW).Industrial|,|Photovoltaic.Storage Capacity (MW).Transportation|,|Photovoltaic.Storage Capacity (MW).Total|,|Photovoltaic.Storage Installations.Residential|,|Photovoltaic.Storage Installations.Commercial|,|Photovoltaic.Storage Installations.Industrial|,|Photovoltaic.Storage Installations.Transportation|,|Photovoltaic.Storage Installations.Total|,|Photovoltaic.Virtual Capacity (MW).Residential|,|Photovoltaic.Virtual Capacity (MW).Commercial|,|Photovoltaic.Virtual Capacity (MW).Industrial|,|Photovoltaic.Virtual Capacity (MW).Transportation|,|Photovoltaic.Virtual Capacity (MW).Total|,|Photovoltaic.Virtual Customers.Residential|,|Photovoltaic.Virtual Customers.Commercial|,|Photovoltaic.Virtual Customers.Industrial|,|Photovoltaic.Virtual Customers.Transportation|,|Photovoltaic.Virtual Customers.Total|,|Photovoltaic.Energy Sold Back MWh.Residential|,|Photovoltaic.Energy Sold Back MWh.Commercial|,|Photovoltaic.Energy Sold Back MWh.Industrial|,|Photovoltaic.Energy Sold Back MWh.Transportation|,|Photovoltaic.Energy Sold Back MWh.Total|,|Wind.Capacity MW.Residential|,|Wind.Capacity MW.Commercial|,|Wind.Capacity MW.Industrial|,|Wind.Capacity MW.Transportation|,|Wind.Capacity MW.Total|,|Wind.Installations.Residential|,|Wind.Installations.Commercial|,|Wind.Installations.Industrial|,|Wind.Installations.Transportation|,|Wind.Installations.Total|,|Wind.Energy Sold Back MWh.Residential|,|Wind.Energy Sold Back MWh.Commercial|,|Wind.Energy Sold Back MWh.Industrial|,|Wind.Energy Sold Back MWh.Transportation|,|Wind.Energy Sold Back MWh.Total|,|Other.Capacity MW.Residential|,|Other.Capacity MW.Commercial|,|Other.Capacity MW.Industrial|,|Other.Capacity MW.Transportation|,|Other.Capacity MW.Total|,|Other.Installations.Residential|,|Other.Installations.Commercial|,|Other.Installations.Industrial|,|Other.Installations.Transportation|,|Other.Installations.Total|,|Other.Energy Sold Back MWh.Residential|,|Other.Energy Sold Back MWh.Commercial|,|Other.Energy Sold Back MWh.Industrial|,|Other.Energy Sold Back MWh.Transportation|,|Other.Energy Sold Back MWh.Total|,|All Technologies.Capacity MW.Residential|,|All Technologies.Capacity MW.Commercial|,|All Technologies.Capacity MW.Industrial|,|All Technologies.Capacity MW.Transportation|,|All Technologies.Capacity MW.Total|,|All Technologies.Installations.Residential|,|All Technologies.Installations.Commercial|,|All Technologies.Installations.Industrial|,|All Technologies.Installations.Transportation|,|All Technologies.Installations.Total|,|All Technologies.Energy Sold Back MWh.Residential|,|All Technologies.Energy Sold Back MWh.Commercial|,|All Technologies.Energy Sold Back MWh.Industrial|,|All Technologies.Energy Sold Back MWh.Transportation|,|..Total|
0,2021,IL,3931.0,Coles-Moultrie Electric Coop,MISO,DC,0.477,0.425,.,.,0.902,53,4,.,.,57,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.010,.,.,.,0.010,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.487,0.425,0.000,0.000,0.912,54,4,0,0,58,0.000,0.000,0.000,0.000,0.000
1,2021,IL,4110.0,Commonwealth Edison Co,PJM,AC,168.787,142.221,.,.,311.008,"23,951",716,.,.,"24,667",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.197,2.979,.,.,3.176,36,13,.,.,49,.,.,.,.,0.000,.,0.375,.,.,0.375,.,1,.,.,1,.,.,.,.,0.000,168.984,145.575,0.000,0.000,314.559,"23,987",730,0,0,"24,717",0.000,0.000,0.000,0.000,0.000
2,2021,IL,4362.0,Corn Belt Energy Corporation,MISO,AC,4.380,1.480,.,.,5.860,333,12,.,.,345,0.086,.,.,.,0.086,11,.,.,.,11,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.010,.,.,.,0.010,1,.,.,.,1,.,.,.,.,0.000,.,.,2.620,.,2.620,.,.,1,.,1,.,.,.,.,0.000,4.390,1.480,2.620,0.000,8.490,334,12,1,0,347,0.000,0.000,0.000,0.000,0.000
3,2021,IL,5585.0,Eastern Illinois Elec Coop,MISO,AC,2.253,0.149,.,.,2.402,237,15,.,.,252,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,505.000",81.000,.,.,"1,586.000",0.010,.,.,.,0.010,1,.,.,.,1,0.720,.,.,.,0.720,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.263,0.149,0.000,0.000,2.412,238,15,0,0,253,"1,505.720",81.000,0.000,0.000,"1,586.720"
4,2021,IL,7096.0,City of Geneva- (IL),PJM,AC,0.204,0.070,.,.,0.274,26,2,.,.,28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.204,0.070,0.000,0.000,0.274,26,2,0,0,28,0.000,0.000,0.000,0.000,0.000
5,2021,IL,9750.0,"Jo-Carroll Energy, Inc",MISO,AC,4.020,0.509,0.000,0.000,4.529,475,33,0,0,508,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.017,7,0,0,0,7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,4.037,0.509,0.000,0.000,4.546,482,33,0,0,515,0.000,0.000,0.000,0.000,0.000
6,2021,IL,12341.0,MidAmerican Energy Co,MISO,AC,1.837,4.486,1.810,.,8.133,229,67,4,.,300,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,317.517,513.430,0.000,.,830.947,0.002,0.620,.,.,0.622,1,2,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.839,5.106,1.810,0.000,8.755,230,69,4,0,303,317.517,513.430,0.000,0.000,830.947
7,2021,IL,12395.0,Menard Electric Coop,MISO,DC,1.066,.,.,.,1.066,123,.,.,.,123,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,651.378,.,.,.,651.378,0.012,.,.,.,0.012,2,.,.,.,2,5.680,.,.,.,5.680,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.078,0.000,0.000,0.000,1.078,125,0,0,0,125,657.058,0.000,0.000,0.000,657.058
8,2021,IL,13032.0,Mt Carmel Public Utility Co,MISO,AC,0.304,0.141,.,.,0.445,25,7,.,.,32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10.677,3.970,.,.,14.647,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.304,0.141,0.000,0.000,0.445,25,7,0,0,32,10.677,3.970,0.000,0.000,14.647
9,2021,IL,13208.0,City of Naperville - (IL),PJM,AC,3.808,1.453,.,.,5.261,510,20,.,.,530,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,3.808,1.453,0.000,0.000,5.261,510,20,0,0,530,0.000,0.000,0.000,0.000,0.000
