Utility Characteristics,,,,,IEEE Standard,,,,,,,,,,,,Other Standard,,,,,,,,,,
,,,,,All Events (With Major Event Days),,,Without Major Event Days,,,Loss of Supply Removed (With Major Event Days),,,.,,,All Events (With Major Event Days),,,Without Major Event Days,,,.,,,,
Data Year,Utility Number,Utility Name,State,Ownership,SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically,SAIDI (minutes per year),SAIFI (times per year),CAIDI With MED,SAIDI (minutes per year),SAIFI (times per year),CAIDI Without MED,Number of Customers,Inactive Accounts Included,Momentary Interruptions,Highest Dist. Voltage,Outages Recorded Automatically
2021,84,A & N Electric Coop,MD,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,1.200,0.002,600.000,0.100,0.001,100.000,313,Y,O,12.5,Y
2021,84,A & N Electric Coop,VA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,140.735,1.984,70.935,135.831,1.926,70.525,"36,290",Y,O,24.9,Y
2021,108,Adams-Columbia Electric Coop,WI,Cooperative,99.300,0.742,133.827,99.300,0.742,133.827,99.300,0.742,133.827,"38,580",12.5,Y,.,.,.,.,.,.,.,,,.,
2021,155,Agralite Electric Coop,MN,Cooperative,130.667,1.623,80.510,120.821,1.533,78.813,97.191,0.925,105.071,"5,436",.,Y,.,.,.,.,.,.,.,,,.,
2021,162,Aiken Electric Coop Inc,SC,Cooperative,116.910,.,.,95.050,.,.,109.850,.,.,"49,933",25.0,Y,.,.,.,.,.,.,.,,,.,
2021,195,Alabama Power Co,AL,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,262.600,1.445,181.730,122.100,1.033,118.199,"1,482,101",N,F,34.5,Y
2021,207,Alameda Municipal Power,CA,Municipal,26.862,0.329,81.647,26.862,0.329,81.647,26.862,0.329,81.647,"35,327",12.0,Y,.,.,.,.,.,.,.,,,.,
2021,213,Alaska Electric Light & Power Co.,AK,Investor Owned,147.000,2.720,54.044,87.000,1.720,50.581,20.000,0.140,142.857,"17,184",12.5,N,.,.,.,.,.,.,.,,,.,
2021,219,Alaska Power and Telephone Co,AK,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,699.660,9.737,71.856,.,.,.,"8,194",N,O,12.5,N
2021,232,City of Albemarle - (NC),NC,Municipal,68.990,0.730,94.507,49.930,0.520,96.019,.,.,.,"11,821",14.4,N,.,.,.,.,.,.,.,,,.,
2021,240,Albemarle Electric Member Corp,NC,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,67.800,0.653,103.828,44.000,0.454,96.916,"13,136",N,F,12.5,Y
2021,241,Albertville Municipal Utilities Board,AL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.,.,.,,,.,
2021,276,Alcorn County Elec Power Assn,MS,Cooperative,65.379,0.880,74.294,65.379,0.880,74.294,.,.,.,"18,936",13.0,N,.,.,.,.,.,.,.,,,.,
2021,295,City of Alexandria - (MN),MN,Municipal,3.643,0.079,46.114,.,.,.,.,.,.,"10,367",13.2,N,.,.,.,.,.,.,.,,,.,
2021,296,"Alfalfa Electric Coop, Inc",KS,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,68.237,0.834,81.819,68.237,0.834,81.819,913,N,O,14.4,Y
2021,296,"Alfalfa Electric Coop, Inc",OK,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,110.107,0.991,111.107,72.207,0.812,88.925,"7,626",N,O,14.4,Y
2021,305,Alger-Delta Coop Electric Assn,MI,Cooperative,194.130,1.008,192.589,54.710,0.987,55.431,158.130,1.004,157.500,"10,287",34.5,Y,.,.,.,.,.,.,.,,,.,
2021,392,Alpena Power Co,MI,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,243.800,1.800,135.444,120.200,1.100,109.273,"16,581",N,L,13.8,N
2021,407,Altamaha Electric Member Corp,GA,Cooperative,174.947,1.711,102.248,163.757,1.677,97.649,167.006,1.711,97.607,"21,250",24.9,Y,.,.,.,.,.,.,.,,,.,
2021,554,City of Ames - (IA),IA,Municipal,37.430,0.600,62.383,37.430,0.600,62.383,36.470,0.590,61.814,"27,352",13.8,N,.,.,.,.,.,.,.,,,.,
2021,562,Amicalola Electric Member Corp,GA,Cooperative,502.980,3.540,142.085,502.980,3.540,142.085,495.590,3.420,144.909,"51,595",25.0,N,.,.,.,.,.,.,.,,,.,
2021,590,City of Anaheim - (CA),CA,Municipal,70.900,0.860,82.442,70.900,0.860,82.442,70.900,0.860,82.442,"117,932",12.0,Y,.,.,.,.,.,.,.,,,.,
2021,636,City of Anderson - (IN),IN,Municipal,204.516,1.570,130.265,127.917,1.112,115.033,204.516,1.570,130.265,"34,401",13.2,Y,.,.,.,.,.,.,.,,,.,
2021,689,Connexus Energy,MN,Cooperative,38.792,0.501,77.429,27.535,0.367,75.027,27.537,0.378,72.849,"139,583",12.5,Y,.,.,.,.,.,.,.,,,.,
2021,691,City of Anoka,MN,Municipal,2.900,0.040,72.500,2.900,0.040,72.500,2.900,0.040,72.500,"12,284",12.5,N,.,.,.,.,.,.,.,,,.,
2021,727,Appalachian Electric Coop,TN,Cooperative,200.400,2.570,77.977,200.400,2.570,77.977,194.700,2.430,80.123,"48,157",13.0,Y,.,.,.,.,.,.,.,,,.,
