Utility Characteristics,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Facility Number,Facility Name,Utility Number,Utility Name,STATE,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2021,63292,100 Brook Hill Drive Solar,63059,Diamond Properties,NY,NYIS,0.0,0,0,156.0,"2,080",1,0.0,0,0,0.0,0,0,156.0,"2,080",1
2021,63444,1001 Ebenezer Church Solar,63186,"1001 Ebenezer Church Solar, LLC",NC,DUK,0.0,0,0,483.0,"6,747",1,0.0,0,0,0.0,0,0,483.0,"6,747",1
2021,63447,1008 Matthews Solar,63192,"1008 Matthews Solar, LLC",NC,DUK,0.0,0,0,423.0,"6,612",1,0.0,0,0,0.0,0,0,423.0,"6,612",1
2021,63445,1009 Yadkin Solar,63190,"1009 Yadkin Solar, LLC",NC,DUK,0.0,0,0,574.0,"8,526",1,0.0,0,0,0.0,0,0,574.0,"8,526",1
2021,62660,"1025 Traveller Solar, LLC",63184,CI-II Mitchell Holding LLC,NC,CPLE,0.0,0,0,603.0,"9,616",1,0.0,0,0,0.0,0,0,603.0,"9,616",1
2021,64478,"1034 Catherine Lake Solar, LLC",64117,"1034 Catherine Lake Solar, LLC",NC,CPLE,0.0,0,0,552.0,"8,695",1,0.0,0,0,0.0,0,0,552.0,"8,695",1
2021,63448,1045 Tomlin Mill Solar,63193,"1045 Tomlin Mill Solar, LLC",NC,DUK,0.0,0,0,273.0,"3,962",1,0.0,0,0,0.0,0,0,273.0,"3,962",1
2021,62661,"1047 Little Mountain Solar, LLC",63184,CI-II Mitchell Holding LLC,NC,DUK,0.0,0,0,394.0,"6,018",1,0.0,0,0,0.0,0,0,394.0,"6,018",1
2021,64271,"1051 Lucky Solar, LLC",63864,"1051 Lucky Solar, LLC",NC,DUK,0.0,0,0,314.0,"4,633",1,0.0,0,0,0.0,0,0,314.0,"4,633",1
2021,63446,1073 Onslow Solar,63191,"1073 Onslow Solar, LLC",NC,DUK,0.0,0,0,429.0,"6,633",1,0.0,0,0,0.0,0,0,429.0,"6,633",1
2021,59371,12 Applegate Solar LLC,62629,G&S Operations LLC,NJ,PJM,0.0,0,0,138.0,"2,122",1,0.0,0,0,0.0,0,0,138.0,"2,122",1
2021,57458,145 Talmadge Solar,56777,Avidan Energy Solutions,NJ,PJM,0.0,0,0,0.0,0,0,597.0,"4,629",1,0.0,0,0,597.0,"4,629",1
2021,58187,180 Raritan Solar,58164,"180 Raritan Energy Solutions, LLC",NJ,PJM,0.0,0,0,0.0,0,0,327.0,"2,540",1,0.0,0,0,327.0,"2,540",1
2021,59365,24 Applegate Solar LLC,60281,"Altus Power America Management, LLC",NJ,PJM,0.0,0,0,124.0,"1,281",1,0.0,0,0,0.0,0,0,124.0,"1,281",1
2021,61518,301 Chestnut Solar NG,59254,NuGen Capital Management,MA,ISNE,0.0,0,0,223.0,"2,360",1,0.0,0,0,0.0,0,0,223.0,"2,360",1
2021,61224,"350 Clark Solar, NG, LLC",59254,NuGen Capital Management,NJ,PJM,0.0,0,0,379.0,"1,864",1,0.0,0,0,0.0,0,0,379.0,"1,864",1
2021,59370,4 Applegate Solar LLC,62629,G&S Operations LLC,NJ,PJM,0.0,0,0,152.0,"1,990",1,0.0,0,0,0.0,0,0,152.0,"1,990",1
2021,63366,435A Bergen Avenue,60268,"Hartz Solar, LLC",NJ,PJM,0.0,0,0,83.0,"2,091",1,0.0,0,0,0.0,0,0,83.0,"2,091",1
2021,62325,46 Meadowlands Parkway,60268,"Hartz Solar, LLC",NJ,PJM,0.0,0,0,192.0,"2,454",1,0.0,0,0,0.0,0,0,192.0,"2,454",1
2021,62326,77 Metro Way,60268,"Hartz Solar, LLC",NJ,PJM,0.0,0,0,133.0,"1,491",2,0.0,0,0,0.0,0,0,133.0,"1,491",2
2021,57845,AC Landfill Energy LLC,57173,AC Landfill Energy LLC,NJ,PJM,0.0,0,0,0.0,0,0,254.0,"1,952",1,0.0,0,0,254.0,"1,952",1
2021,60802,ACCC Mays Landing,61944,MN8 Energy LLC,NJ,PJM,0.0,0,0,191.0,"2,018",1,0.0,0,0,0.0,0,0,191.0,"2,018",1
2021,61923,ACUA,61522,"Viridity Energy Solutions, Inc.",NJ,PJM,0.0,0,0,5.0,"1,782",1,0.0,0,0,0.0,0,0,5.0,"1,782",1
2021,61068,AES Lawai Solar Hybrid,61012,AES Distributed Energy,HI,NA,0.0,0,0,"4,338.0","39,153",1,0.0,0,0,0.0,0,0,"4,338.0","39,153",1
2021,60986,AIS Solar Project,63249,Terraform Arcadia,MA,ISNE,0.0,0,0,442.0,"6,049",1,0.0,0,0,0.0,0,0,442.0,"6,049",1
2021,62629,APG New Chesapeake,60584,Onyx Asset Services Group,MD,PJM,0.0,0,0,628.0,"4,226",1,0.0,0,0,0.0,0,0,628.0,"4,226",1
2021,62628,APG Old Bayside,60584,Onyx Asset Services Group,MD,PJM,0.0,0,0,501.0,"3,207",1,0.0,0,0,0.0,0,0,501.0,"3,207",1
2021,60085,AVS Lancaster 1,60947,Tesla Inc.,CA,CISO,0.0,0,0,511.0,"8,416",1,0.0,0,0,0.0,0,0,511.0,"8,416",1
2021,65622,Absegami,63466,Conductive Power,NJ,PJM,0.0,0,0,235.0,"1,675",1,0.0,0,0,0.0,0,0,235.0,"1,675",1
2021,64238,"Acme Solar, LLC",63824,"Acme Solar, LLC",NC,CPLE,0.0,0,0,591.0,"9,313",1,0.0,0,0,0.0,0,0,591.0,"9,313",1
2021,58632,Actus Lend Lease DMAFB,60947,Tesla Inc.,AZ,TEPC,0.0,0,0,496.0,"3,991",1,0.0,0,0,0.0,0,0,496.0,"3,991",1
2021,58270,Acushnet AD Makepeace,59622,"Ahana Renewables, LLC",MA,ISNE,0.0,0,0,453.0,"6,045",1,0.0,0,0,0.0,0,0,453.0,"6,045",1
2021,58271,Acushnet Hawes Reed Road,59622,"Ahana Renewables, LLC",MA,ISNE,0.0,0,0,140.0,"1,751",1,0.0,0,0,0.0,0,0,140.0,"1,751",1
2021,59128,Acushnet- High Hill,59622,"Ahana Renewables, LLC",MA,ISNE,0.0,0,0,296.0,"4,234",1,0.0,0,0,0.0,0,0,296.0,"4,234",1
