Data Year,Utility Number,Utility Name,State,Distribution Circuits,Circuits with Voltage Optimization
2022,55,City of Aberdeen - (MS),MS,8,8
2022,84,A & N Electric Coop,MD,1,0
2022,84,A & N Electric Coop,VA,45,0
2022,108,Adams-Columbia Electric Coop,WI,95,16
2022,155,Agralite Electric Coop,MN,63,0
2022,162,Aiken Electric Coop Inc,SC,126,.
2022,176,Ajo Improvement Co,AZ,5,.
2022,195,Alabama Power Co,AL,"2,367",0
2022,207,Alameda Municipal Power,CA,24,24
2022,213,Alaska Electric Light & Power Co.,AK,30,30
2022,219,Alaska Power and Telephone Co,AK,35,0
2022,221,"Alaska Village Elec Coop, Inc",AK,178,0
2022,230,Albany Utility Board,GA,57,.
2022,232,City of Albemarle - (NC),NC,14,14
2022,240,Albemarle Electric Member Corp,NC,31,28
2022,241,Albertville Municipal Utilities Board,AL,27,0
2022,261,AGC Division of APGI Inc,IN,1,.
2022,276,Alcorn County Elec Power Assn,MS,33,0
2022,295,City of Alexandria - (MN),MN,25,6
2022,296,"Alfalfa Electric Coop, Inc",KS,3,.
2022,296,"Alfalfa Electric Coop, Inc",OK,49,.
2022,298,City of Alexandria - (LA),LA,61,.
2022,305,Alger-Delta Coop Electric Assn,MI,17,0
2022,307,Algoma Utility Comm,WI,9,9
2022,392,Alpena Power Co,MI,34,0
2022,407,Altamaha Electric Member Corp,GA,57,57
2022,471,Amana Society Service Co,IA,6,.
2022,554,City of Ames - (IA),IA,41,0
2022,562,Amicalola Electric Member Corp,GA,65,0
2022,571,City of Amory,MS,11,0
2022,577,City of Alcoa Utilities,TN,34,0
2022,590,City of Anaheim - (CA),CA,121,121
2022,604,City of Andalusia,AL,14,.
2022,636,City of Anderson - (IN),IN,54,0
2022,689,Connexus Energy,MN,199,199
2022,690,City of Bardstown - (KY),KY,16,.
2022,691,City of Anoka,MN,23,0
2022,719,Town of Apex- (NC),NC,18,16
2022,727,Appalachian Electric Coop,TN,78,78
2022,733,Appalachian Power Co,VA,602,0
2022,733,Appalachian Power Co,WV,489,3
2022,750,Arab Electric Coop Inc,AL,22,0
2022,803,Arizona Public Service Co,AZ,"1,382",.
2022,814,Entergy Arkansas LLC,AR,959,.
2022,814,Entergy Arkansas LLC,TN,3,.
2022,817,Arkansas Valley Elec Coop Corp,AR,129,0
2022,817,Arkansas Valley Elec Coop Corp,OK,13,0
2022,944,City of Athens - (AL),AL,78,0
2022,947,Athens Utility Board,TN,24,13
2022,963,Atlantic City Electric Co,NJ,348,0
2022,994,City of Auburn - (IN),IN,20,3
2022,1009,City of Austin - (MN),MN,24,9
2022,1015,Austin Energy,TX,434,125
2022,1050,City of Azusa,CA,20,.
2022,1149,Baldwin County El Member Corp,AL,102,102
2022,1167,Baltimore Gas & Electric Co,MD,"1,540",871
2022,1169,Bailey County Elec Coop Assn,TX,88,88
2022,1175,"Bandera Electric Coop, Inc",TX,54,5
2022,1179,Versant Power,ME,234,234
2022,1196,Village of Baraga - (MI),MI,2,0
2022,1251,Barron Electric Coop,WI,39,.
2022,1273,"Bartlett Electric Coop, Inc",TX,30,0
2022,1283,Bartholomew County Rural E M C,IN,37,0
2022,1300,City of Bartow - (FL),FL,18,0
2022,1307,Basin Electric Power Coop,ND,1,1
2022,1325,City of Batavia - (IL),IL,22,.
2022,1366,City of Bay City - (MI),MI,37,.
2022,1456,Town of Bedford - (VA),VA,23,0
2022,1458,"Beauregard Electric Coop, Inc",LA,61,61
2022,1529,"Beltrami Electric Coop, Inc",MN,75,0
2022,1572,Badger Power Marketing Authority,WI,2,.
2022,1578,Benton County,TN,15,14
