|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Residential|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Commercial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Industrial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Transportation|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Total|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Residential|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Commercial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Industrial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Transportation|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Total|,|Incremental Life Cycle Savings.Energy Savings (MWh).Residential|,|Incremental Life Cycle Savings.Energy Savings (MWh).Commercial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Industrial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Transportation|,|Incremental Life Cycle Savings.Energy Savings (MWh).Total|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Residential|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Commercial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Industrial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Transportation|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Total|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Total|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Total|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Total|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Total|,|Weighted Average Life.(Years).Residential|,|Weighted Average Life.(Years).Commercial|,|Weighted Average Life.(Years).Industrial|,|Weighted Average Life.(Years).Transportation|,|..Website|
2022,162,Aiken Electric Coop Inc,SC,SC,205,0,0,0,205,0.0,0.0,0.0,0.0,0.0,"2,049",0,0,0,"2,049",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,29,0,0,0,29,0,0,0,0,0,29,0,0,0,29,10.000,.,.,.,There were no commerical accounts added for the reporting year.
2022,189,PowerSouth Energy Cooperative,AL,SOCO,"1,859",.,.,.,"1,859",1.5,.,.,.,1.5,"22,310",.,.,.,"22,310",1.5,.,.,.,1.5,800,.,.,.,800,443,.,.,.,443,800,.,.,.,800,443,.,.,.,443,12.000,.,.,.,
2022,195,Alabama Power Co,AL,SOCO,"7,669",286,.,.,"7,955",18.9,0.1,.,.,18.9,"63,290","1,431",.,.,"64,721",18.9,0.1,.,.,18.9,"1,186",0,.,.,"1,186","1,067",407,.,.,"1,474","1,186",0,.,.,"1,186","1,067",407,.,.,"1,474",8.250,5.000,.,.,
2022,207,Alameda Municipal Power,CA,CISO,103,758,0,.,861,0.4,0.1,0.0,.,0.4,"1,480","10,923",0,.,"12,403",0.4,0.1,0.0,.,0.5,103,115,0,.,218,318,377,0,.,695,103,115,0,.,218,318,377,0,.,695,14.185,13.572,0.000,.,
2022,295,City of Alexandria - (MN),MN,MISO,254,"1,960","2,598",.,"4,812",0.0,0.3,0.4,.,0.8,"4,513","24,925","33,041",.,"62,479",0.0,0.3,0.4,.,0.8,20,78,103,.,201,20,78,103,.,201,20,78,103,.,201,20,78,103,.,201,17.774,12.718,12.718,.,
2022,554,City of Ames - (IA),IA,MISO,195,45,.,.,240,0.1,0.0,.,.,0.2,"1,950",450,.,.,"2,400",0.1,0.0,.,.,0.2,120,38,.,.,158,27,7,.,.,34,120,38,.,.,158,27,7,.,.,34,10.000,10.000,.,.,
2022,590,City of Anaheim - (CA),CA,CISO,"2,143","1,948",835,.,"4,926",0.4,0.5,0.2,.,1.1,"24,801","22,274","9,013",.,"56,088",0.4,0.5,0.2,.,1.1,"1,426",751,322,.,"2,499",380,267,115,.,762,"1,426",751,322,.,"2,499",380,267,115,.,762,11.574,11.437,10.798,.,
2022,691,City of Anoka,MN,MISO,180,"2,883",0,0,"3,063",0.0,0.4,0.0,0.0,0.5,"1,167","89,214",0,0,"90,381",0.0,0.4,0.0,0.0,0.5,6,192,0,0,198,92,23,0,0,115,6,192,0,0,198,92,23,0,0,115,12.000,14.000,0.000,0.000,
2022,733,Appalachian Power Co,VA,PJM,"40,310","7,116",437,0,"47,863",11.0,1.9,0.1,0.0,13.0,"386,976","58,352","3,583",0,"448,911",11.0,1.9,0.1,0.0,13.0,0,855,52,0,907,"13,279",756,46,0,"14,081",0,855,52,0,907,"13,279",756,46,0,"14,081",9.600,8.200,8.200,0.000,
2022,733,Appalachian Power Co,WV,PJM,"2,883",0,0,0,"2,883",2.0,0.0,0.0,0.0,2.0,"27,677",0,0,0,"27,677",2.0,0.0,0.0,0.0,2.0,"1,493",0,0,0,"1,493","1,575",0,0,0,"1,575","1,493",0,0,0,"1,493","1,575",0,0,0,"1,575",9.600,0.000,0.000,0.000,
