Data Year,Utility Number,Utility Name,Short Form,Ownership Code,Ownership,Monthly,Advanced Metering,Delivery Company,Demand Response,Distribution Systems,Dynamic Pricing,Energy Efficiency,Mergers,Net Metering,Non Net Metering Distributed,Operational Data,Reliablity,Sales to Ultimate Customers,Service Territory,Utility Data
2022,34,City of Abbeville - (SC),Y,M,Municipal,,X,,,,,,,,X,,,,X,
2022,55,City of Aberdeen - (MS),,M,Municipal,,X,,,X,X,,,,X,X,,X,X,X
2022,59,City of Abbeville - (LA),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,84,A & N Electric Coop,,C,Cooperative,X,X,,,X,X,,,X,,X,X,X,X,X
2022,87,City of Ada - (MN),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,97,Adams Electric Coop,Y,C,Cooperative,,X,,,,X,,,,X,,,,X,
2022,108,Adams-Columbia Electric Coop,,C,Cooperative,,X,,,X,X,,,X,,X,X,X,X,X
2022,113,"Agway Energy Services, LLC",,R,Retail Power Marketer,X,,,,,,,,,,X,,X,,X
2022,118,"Adams Rural Electric Coop, Inc",Y,C,Cooperative,,X,,,,,,,,,,,,X,
2022,122,Village of Arcade - (NY),Y,M,Municipal,,X,,,,,,,,X,,,,X,
2022,123,City of Adel- (GA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,149,City of Afton- (IA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,150,Adrian Public Utilities Comm,Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,155,Agralite Electric Coop,,C,Cooperative,,X,,,X,,,,X,X,X,X,X,X,X
2022,157,Town of Advance - (IN),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,162,Aiken Electric Coop Inc,,C,Cooperative,,X,,X,X,X,X,,X,,X,X,X,X,X
2022,174,Aitkin Public Utilities Comm,Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,176,Ajo Improvement Co,,I,Investor Owned,X,X,,,X,,,,X,,X,,X,X,X
2022,182,City of Akron - (IA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,183,Village of Akron - (NY),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,189,PowerSouth Energy Cooperative,,C,Cooperative,,,,X,,,X,,,,X,,,,X
2022,191,Alamo Power District No 3,Y,P,Political Subdivision,,X,,,,,,,,,,,,X,
2022,192,Akiachak Native Community Electric,Y,C,Cooperative,,X,,,,,,,,,,,,X,
2022,195,Alabama Power Co,,I,Investor Owned,X,X,,X,X,X,X,,,X,X,X,X,X,X
2022,198,City of Alton,Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,201,City of Alachua - (FL),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,202,Town of Black Creek - (NC),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,207,Alameda Municipal Power,,M,Municipal,,X,,X,X,,X,,X,X,X,X,X,X,X
2022,213,Alaska Electric Light & Power Co.,,I,Investor Owned,X,X,,X,X,X,,,,X,X,X,X,X,X
2022,219,Alaska Power and Telephone Co,,I,Investor Owned,X,X,,,X,,,,X,X,X,X,X,X,X
2022,221,"Alaska Village Elec Coop, Inc",,C,Cooperative,X,X,,,X,,,,,X,X,,X,X,X
2022,228,City of Albany - (MO),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,229,City of Albany - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,230,Albany Utility Board,,M,Municipal,,X,,,X,,,,X,,X,,X,X,X
2022,232,City of Albemarle - (NC),,M,Municipal,,X,,,X,,,,,X,X,X,X,X,X
2022,240,Albemarle Electric Member Corp,,C,Cooperative,,X,,,X,X,,,X,X,X,X,X,X,X
