|Utility Characteristics..Year|,|Utility Characteristics..State|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..BA Code|,|Photovoltaic.Capacity MW.Type|,|Photovoltaic.Capacity MW.Residential|,|Photovoltaic.Capacity MW.Commercial|,|Photovoltaic.Capacity MW.Industrial|,|Photovoltaic.Capacity MW.Transportation|,|Photovoltaic.Capacity MW.Total|,|Photovoltaic.Installations.Residential|,|Photovoltaic.Installations.Commercial|,|Photovoltaic.Installations.Industrial|,|Photovoltaic.Installations.Transportation|,|Photovoltaic.Installations.Total|,|Photovoltaic.Storage Capacity (MW).Residential|,|Photovoltaic.Storage Capacity (MW).Commercial|,|Photovoltaic.Storage Capacity (MW).Industrial|,|Photovoltaic.Storage Capacity (MW).Transportation|,|Photovoltaic.Storage Capacity (MW).Total|,|Photovoltaic.Storage Installations.Residential|,|Photovoltaic.Storage Installations.Commercial|,|Photovoltaic.Storage Installations.Industrial|,|Photovoltaic.Storage Installations.Transportation|,|Photovoltaic.Storage Installations.Total|,|Photovoltaic.Virtual Capacity (MW).Residential|,|Photovoltaic.Virtual Capacity (MW).Commercial|,|Photovoltaic.Virtual Capacity (MW).Industrial|,|Photovoltaic.Virtual Capacity (MW).Transportation|,|Photovoltaic.Virtual Capacity (MW).Total|,|Photovoltaic.Virtual Customers.Residential|,|Photovoltaic.Virtual Customers.Commercial|,|Photovoltaic.Virtual Customers.Industrial|,|Photovoltaic.Virtual Customers.Transportation|,|Photovoltaic.Virtual Customers.Total|,|Photovoltaic.Energy Sold Back MWh.Residential|,|Photovoltaic.Energy Sold Back MWh.Commercial|,|Photovoltaic.Energy Sold Back MWh.Industrial|,|Photovoltaic.Energy Sold Back MWh.Transportation|,|Photovoltaic.Energy Sold Back MWh.Total|,|Wind.Capacity MW.Residential|,|Wind.Capacity MW.Commercial|,|Wind.Capacity MW.Industrial|,|Wind.Capacity MW.Transportation|,|Wind.Capacity MW.Total|,|Wind.Installations.Residential|,|Wind.Installations.Commercial|,|Wind.Installations.Industrial|,|Wind.Installations.Transportation|,|Wind.Installations.Total|,|Wind.Energy Sold Back MWh.Residential|,|Wind.Energy Sold Back MWh.Commercial|,|Wind.Energy Sold Back MWh.Industrial|,|Wind.Energy Sold Back MWh.Transportation|,|Wind.Energy Sold Back MWh.Total|,|Other.Capacity MW.Residential|,|Other.Capacity MW.Commercial|,|Other.Capacity MW.Industrial|,|Other.Capacity MW.Transportation|,|Other.Capacity MW.Total|,|Other.Installations.Residential|,|Other.Installations.Commercial|,|Other.Installations.Industrial|,|Other.Installations.Transportation|,|Other.Installations.Total|,|Other.Energy Sold Back MWh.Residential|,|Other.Energy Sold Back MWh.Commercial|,|Other.Energy Sold Back MWh.Industrial|,|Other.Energy Sold Back MWh.Transportation|,|Other.Energy Sold Back MWh.Total|,|All Technologies.Capacity MW.Residential|,|All Technologies.Capacity MW.Commercial|,|All Technologies.Capacity MW.Industrial|,|All Technologies.Capacity MW.Transportation|,|All Technologies.Capacity MW.Total|,|All Technologies.Installations.Residential|,|All Technologies.Installations.Commercial|,|All Technologies.Installations.Industrial|,|All Technologies.Installations.Transportation|,|All Technologies.Installations.Total|,|All Technologies.Energy Sold Back MWh.Residential|,|All Technologies.Energy Sold Back MWh.Commercial|,|All Technologies.Energy Sold Back MWh.Industrial|,|All Technologies.Energy Sold Back MWh.Transportation|,|..Total|
2022,AK,219,Alaska Power and Telephone Co,NA,AC,0.012,0.021,.,.,0.033,3,2,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.919,4.060,.,.,5.979,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.005,.,.,.,0.005,1,.,.,.,1,0.000,.,.,.,0.000,0.017,0.021,0.000,0.000,0.038,4,2,0,0,6,1.919,4.060,0.000,0.000,5.979
2022,AK,3522,Chugach Electric Assn Inc,CEA,AC,3.373,0.639,.,.,4.012,716,61,.,.,777,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,0.010,.,.,0.010,.,4,.,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,3.373,0.649,0.000,0.000,4.022,716,65,0,0,781,0.000,0.000,0.000,0.000,0.000
2022,AK,7353,Golden Valley Elec Assn Inc,NA,AC,2.876,0.422,0.067,0.000,3.365,556,42,5,0,603,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,404.969,44.365,0.000,0.000,449.334,0.013,0.012,0.000,0.000,0.025,4,2,0,0,6,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.889,0.434,0.067,0.000,3.390,560,44,5,0,609,404.969,44.365,0.000,0.000,449.334
2022,AK,11824,Matanuska Electric Assn Inc,NA,AC,2.206,0.284,.,.,2.490,347,23,.,.,370,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.064,0.016,.,.,0.080,20,3,.,.,23,.,.,.,.,0.000,0.048,0.004,.,.,0.052,7,1,.,.,8,.,.,.,.,0.000,2.318,0.304,0.000,0.000,2.622,374,27,0,0,401,0.000,0.000,0.000,0.000,0.000
2022,AK,19558,Homer Electric Assn Inc,NA,DC,2.511,0.782,0.000,0.000,3.293,451,47,0,0,498,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,268.392",61.066,.,.,"1,329.458",0.109,0.008,.,.,0.117,32,2,.,.,34,18.174,1.586,.,.,19.760,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.620,0.790,0.000,0.000,3.410,483,49,0,0,532,"1,286.566",62.652,0.000,0.000,"1,349.218"
2022,AK,99999,Adjustment 2022,NA,,-0.438,-0.136,0.000,0.000,-0.574,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.438,-0.136,0.000,0.000,-0.574,.,.,.,.,.,.,.,.,.,.
2022,AL,3222,Central Alabama Electric Coop,SOCO,DC,0.157,.,.,.,0.157,23,.,.,.,23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.780,.,.,.,1.780,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.157,0.000,0.000,0.000,0.157,23,0,0,0,23,1.780,0.000,0.000,0.000,1.780
2022,AL,4327,Coosa Valley Electric Coop Inc,SOCO,AC,0.010,.,.,.,0.010,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.010,0.000,0.000,0.000,0.010,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000
2022,AL,4430,"Covington Electric Coop, Inc",SOCO,AC,0.058,.,.,.,0.058,8,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23.312,.,.,.,23.312,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.058,0.000,0.000,0.000,0.058,8,0,0,0,8,23.312,0.000,0.000,0.000,23.312
2022,AL,6491,Foley Board of Utilities,SOCO,AC,0.190,0.500,.,.,0.690,19,5,.,.,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.190,0.500,0.000,0.000,0.690,19,5,0,0,24,0.000,0.000,0.000,0.000,0.000
