|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership Type|,|Utility Characteristics..NERC Region|,|Demand.(Megawatts).Summer Peak Demand|,|Demand.(Megawatts).Winter Peak Demand|,|Energy Sources (Megawatthours).(Megawatts).Net Generation|,|Energy Sources (Megawatthours).(Megawatts).Wholesale Power Purchases|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Received|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Delivered|,|Energy Sources (Megawatthours).Power Exchanged.Net Power Exchanged|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Received|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Delivered|,|Energy Sources (Megawatthours).Wheeled Power.Net Wheeled Power|,|Energy Sources (Megawatthours).Wheeled Power.Transmission by Other Losses|,|Energy Sources (Megawatthours).Wheeled Power.Total Sources|,|Disposition.(Megawatthours).Sales to Ultimate Customers|,|Disposition.(Megawatthours).Sales for Resale|,|Disposition.(Megawatthours).Furnished without Charge|,|Disposition.(Megawatthours).Consumed by Respondent without Charge|,|Disposition.(Megawatthours).Total Energy Losses|,|Disposition.(Megawatthours).Total Disposition|,|Electric Revenues.(Thousands Dollars).From Retail Sales|,|Electric Revenues.(Thousands Dollars).From Delivery Customers|,|Electric Revenues.(Thousands Dollars).From Sales for Resale|,|Electric Revenues.(Thousands Dollars).From Credits or Adjustments|,|Electric Revenues.(Thousands Dollars).From Transmission|,|Electric Revenues.(Thousands Dollars).From Other|,|Electric Revenues.(Thousands Dollars).Total|,|.."Data Type O = Observed I = Imputed"|
2022,55,City of Aberdeen - (MS),MS,Municipal,SERC,32.0,30.0,0,"199,170",0,.,0,0,0,0,0,"199,170","193,222",0,0,0,"5,948","199,170","15,876.0",.,0.0,0.0,0.0,227.2,"16,103.2",O
2022,84,A & N Electric Coop,VA,Cooperative,RFC,153.7,182.9,254,"753,741",.,.,0,.,.,0,.,"753,995","716,289",.,.,"1,800","35,906","753,995","83,165.1",.,.,.,.,"1,080.0","84,245.1",O
2022,108,Adams-Columbia Electric Coop,WI,Cooperative,MRO,133.0,99.2,.,"653,524",.,.,0,.,.,0,.,"653,524","619,126",94,"1,056",.,"33,248","653,524","84,691.0",.,7.0,.,.,851.6,"85,549.6",O
2022,113,"Agway Energy Services, LLC",NY,Retail Power Marketer,NPCC,18.4,18.4,.,"177,645",.,.,0,.,.,0,.,"177,645","173,710",.,.,.,"3,935","177,645","23,471.2",.,.,.,.,.,"23,471.2",O
2022,155,Agralite Electric Coop,MN,Cooperative,MRO,47.7,35.1,689,"266,941",.,.,0,.,.,0,.,"267,630","250,557",.,.,368,"16,705","267,630","23,964.1",0.0,0.0,-695.1,0.0,270.1,"23,539.1",O
2022,162,Aiken Electric Coop Inc,SC,Cooperative,SERC,235.9,298.0,.,"989,790",.,.,0,.,.,0,.,"989,790","945,050",.,.,"1,257","43,483","989,790","121,894.4",.,.,.,.,"3,785.9","125,680.3",O
2022,176,Ajo Improvement Co,AZ,Investor Owned,WECC,3.0,1.0,.,"8,320",.,.,0,.,.,0,.,"8,320","8,320",.,.,.,.,"8,320",891.6,.,.,.,.,.,891.6,O
2022,189,PowerSouth Energy Cooperative,AL,Cooperative,SERC,"2,125.0","2,675.0","5,594,573","4,082,807",.,.,0,.,.,0,.,"9,677,380",.,"9,361,567",.,"29,714","286,099","9,677,380",.,.,"845,827.4",.,352.8,331.0,"846,511.2",O
2022,195,Alabama Power Co,AL,Investor Owned,SERC,"13,603.9","13,346.7","60,628,842","11,459,766",.,.,0,"9,897,785","9,745,513","152,272",.,"72,240,880","52,541,533","16,344,007","1,330","138,706","3,215,304","72,240,880","6,471,449.0",.,"928,224.9","1,320.6","91,744.4","199,147.1","7,691,886.0",O
2022,207,Alameda Municipal Power,CA,Municipal,WECC,63.6,64.0,.,"346,468",.,.,0,.,.,0,.,"346,468","334,047",.,.,.,"12,421","346,468","63,740.4",.,.,.,.,.,"63,740.4",O
2022,213,Alaska Electric Light & Power Co.,AK,Investor Owned,AK,59.0,88.0,"148,434","280,860",.,.,0,.,.,0,.,"429,294","405,072",.,.,"4,677","19,545","429,294","46,496.8",.,.,.,615.1,.,"47,111.9",O
2022,219,Alaska Power and Telephone Co,WA,Investor Owned,AK,1.0,1.0,"25,882","56,128",.,.,0,.,.,0,.,"82,010","73,691",.,.,"1,710","6,609","82,010","23,750.0",.,.,.,.,"2,610.0","26,360.0",O
2022,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,AK,19.6,25.3,"133,559",.,.,.,0,.,.,0,.,"133,559","124,689",.,.,"3,121","5,749","133,559","60,171.8",.,.,.,.,600.6,"60,772.4",O
2022,230,Albany Utility Board,GA,Municipal,SERC,184.8,181.6,.,"890,352",.,.,0,.,.,0,.,"890,352","859,954",.,.,.,"30,398","890,352","88,088.0",.,.,.,.,480.0,"88,568.0",O
2022,232,City of Albemarle - (NC),NC,Municipal,SERC,64.7,60.5,.,"295,228",.,.,0,.,.,0,.,"295,228","273,630",.,131,"21,467",.,"295,228","30,184.1",.,.,.,.,313.0,"30,497.1",O
2022,240,Albemarle Electric Member Corp,NC,Cooperative,SERC,56.6,85.1,.,"245,579",.,.,0,.,.,0,.,"245,579","231,790",.,.,620,"13,169","245,579","30,562.0",.,.,.,.,351.0,"30,913.0",O
2022,241,Albertville Municipal Utilities Board,AL,Municipal,SERC,115.6,108.2,0,"662,909",0,.,0,0,0,0,0,"662,909","642,914",0,0,0,"19,995","662,909","57,780.0",.,0.0,0.0,0.0,922.2,"58,702.2",O
