|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|IEEE Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.All Events (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.All Events (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard.Without Major Event Days.SAIDI (minutes per year)|,|IEEE Standard.Without Major Event Days.SAIFI (times per year)|,|IEEE Standard.Without Major Event Days.CAIDI (minutes per interruption)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard...Number of Customers|,|IEEE Standard...Highest Dist. Voltage|,|IEEE Standard...Outages Recorded Automatically|,|Other Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|Other Standard.All Events (With Major Event Days).SAIFI (times per year)|,|Other Standard.All Events (With Major Event Days).CAIDI With MED|,|Other Standard.Without Major Event Days.SAIDI (minutes per year)|,|Other Standard.Without Major Event Days.SAIFI (times per year)|,|Other Standard.Without Major Event Days.CAIDI Without MED|,|Other Standard...Number of Customers|,|Other Standard...Inactive Accounts Included|,|Other Standard...Momentary Interruptions|,|Other Standard...Highest Dist. Voltage|,|..Outages Recorded Automatically|
2022,84,A & N Electric Coop,MD,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,2.525,0.019,132.895,0.000,0.000,.,312,Y,O,12.5,Y
2022,84,A & N Electric Coop,VA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,106.122,1.118,94.921,57.475,1.038,55.371,"36,640",Y,O,24.9,Y
2022,108,Adams-Columbia Electric Coop,WI,Cooperative,279.500,1.006,277.833,279.500,1.006,277.833,279.500,1.006,277.833,"38,982",12.5,Y,.,.,.,.,.,.,.,,,.,
2022,155,Agralite Electric Coop,MN,Cooperative,"1,789.279",2.667,670.896,113.585,1.385,82.011,"1,774.485",2.357,752.857,"5,306",7.2,Y,.,.,.,.,.,.,.,,,.,
2022,162,Aiken Electric Coop Inc,SC,Cooperative,208.390,.,.,118.250,.,.,207.220,.,.,"50,951",25.0,Y,.,.,.,.,.,.,.,,,.,
2022,195,Alabama Power Co,AL,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,227.200,1.335,170.187,133.100,0.995,133.769,"1,496,620",N,F,34.5,Y
2022,207,Alameda Municipal Power,CA,Municipal,12.366,0.090,137.400,12.366,0.090,137.400,12.366,0.090,137.400,"35,938",12.0,Y,.,.,.,.,.,.,.,,,.,
2022,213,Alaska Electric Light & Power Co.,AK,Investor Owned,226.320,4.080,55.471,140.320,3.080,45.558,10.100,0.140,72.143,"17,444",12.5,N,.,.,.,.,.,.,.,,,.,
2022,219,Alaska Power and Telephone Co,AK,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,347.490,6.013,57.790,.,.,.,"8,289",N,O,12.5,N
2022,232,City of Albemarle - (NC),NC,Municipal,57.610,0.560,102.875,44.500,0.420,105.952,.,.,.,"12,412",14.4,N,.,.,.,.,.,.,.,,,.,
2022,240,Albemarle Electric Member Corp,NC,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,133.000,1.750,76.000,95.300,1.400,68.071,"13,195",N,F,12.5,Y
2022,276,Alcorn County Elec Power Assn,MS,Cooperative,442.404,1.757,251.795,137.628,1.402,98.165,442.404,1.757,251.795,"18,936",13.0,N,.,.,.,.,.,.,.,,,.,
2022,295,City of Alexandria - (MN),MN,Municipal,6.929,0.114,60.781,.,.,.,.,.,.,"10,514",13.2,N,.,.,.,.,.,.,.,,,.,
2022,296,"Alfalfa Electric Coop, Inc",KS,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,50.050,0.463,108.099,49.881,0.460,108.437,931,N,O,14.4,Y
2022,296,"Alfalfa Electric Coop, Inc",OK,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,70.339,0.574,122.542,38.441,0.352,109.207,"7,609",N,O,14.4,Y
2022,305,Alger-Delta Coop Electric Assn,MI,Cooperative,388.400,1.601,242.598,222.400,1.364,163.050,325.400,1.518,214.361,"10,360",34.5,Y,.,.,.,.,.,.,.,,,.,
2022,392,Alpena Power Co,MI,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,159.900,1.800,88.833,92.300,0.800,115.375,"16,587",N,L,13.8,Y
2022,407,Altamaha Electric Member Corp,GA,Cooperative,297.695,2.274,130.912,179.382,1.689,106.206,297.695,2.274,130.912,"21,432",24.9,Y,.,.,.,.,.,.,.,,,.,
2022,554,City of Ames - (IA),IA,Municipal,68.820,1.500,45.880,15.530,0.160,97.063,68.300,1.490,45.839,"27,650",13.8,N,.,.,.,.,.,.,.,,,.,
2022,562,Amicalola Electric Member Corp,GA,Cooperative,908.890,4.810,188.958,432.910,3.740,115.751,900.270,4.080,220.654,"53,146",25.0,N,.,.,.,.,.,.,.,,,.,
