|Data Year|,|Utility Number|,|Utility Name|,|Ownership|,|State|,|BA Code|,|Total Revenue (Thousand Dollars)|,|Total Sales (MWh)|,|Total Customers|,|w_heater|,|Net Metering|,|Demand Side Management|,|Time Based Programs|
2022,192,Akiachak Native Community Electric,Cooperative,AK,NA,"1,586.5","1,531",248,.,N,N,N
2022,878,Atmautluak Tribal Utilities,Municipal,AK,NA,507.3,"1,116",99,.,N,N,N
2022,1276,"Barrow Utils & Elec Coop, Inc",Cooperative,AK,NA,"7,186.9","47,960","2,028",.,N,N,N
2022,1747,Birch Creek Village Elec Util - (AK),Municipal,AK,NA,.,.,.,.,,,
2022,3421,City of Chignik - (AK),Municipal,AK,NA,268.4,606,107,.,N,N,N
2022,3422,City of Chefornak,Municipal,AK,NA,568.0,"1,363",102,.,N,N,N
2022,3465,Chitina Electric Inc,Investor Owned,AK,NA,269.8,411,82,.,N,N,N
2022,4329,"Copper Valley Elec Assn, Inc",Cooperative,AK,NA,"24,903.0","84,808","3,955",.,Y,N,N
2022,4959,Aniak Light & Power Co Inc,Investor Owned,AK,NA,"1,075.3","2,071",197,.,N,N,N
2022,5721,City of Elfin Cove - (AK),Municipal,AK,NA,250.0,318,80,.,N,N,N
2022,6866,"G & K, Inc",Investor Owned,AK,NA,"1,765.3","1,998",124,.,N,N,N
2022,6915,Galena Electric Utility,Municipal,AK,NA,"3,003.7","5,558",358,.,N,N,N
2022,7833,Gwitchyaa Zhee Utility Co,Investor Owned,AK,NA,"1,364.1","2,721",280,.,N,N,N
2022,9000,Hughes Power & Light Co,Investor Owned,AK,NA,417.4,525,68,.,N,N,N
2022,9188,"I-N-N Electric Coop, Inc",Cooperative,AK,NA,"1,498.7","3,195",286,.,N,N,N
2022,9192,Igiugig Electric Company,Political Subdivision,AK,NA,229.3,292,58,.,Y,N,N
2022,9416,Ipnatchiaq Electric Company,Municipal,AK,NA,574.0,767,71,.,N,N,N
2022,9832,Kuiggluum Kallugvia,Investor Owned,AK,NA,817.1,"1,613",221,.,N,N,N
2022,9897,City of King Cove,Municipal,AK,NA,"1,220.1","4,068",201,.,N,N,N
2022,10455,Kokhanok Village Council,Political Subdivision,AK,NA,353.0,481,79,.,N,N,N
