|Utility Characteristics.Data Year|,|Utility Characteristics.Utility Number|,|Utility Characteristics.Utility Name|,|Utility Characteristics.State|,|Utility Characteristics.Ownership Type|,|Utility Characteristics.NERC Region|,|Also operating in other NERC Regions.TRE|,|Also operating in other NERC Regions.FRCC|,|Also operating in other NERC Regions.MRO|,|Also operating in other NERC Regions.NPCC|,|Also operating in other NERC Regions.RFC|,|Also operating in other NERC Regions.SERC|,|Also operating in other NERC Regions.SPP|,|Also operating in other NERC Regions.WECC|,|Operating in these RTOs.CAISO|,|Operating in these RTOs.ERCOT|,|Operating in these RTOs.PJM|,|Operating in these RTOs.NYISO|,|Operating in these RTOs.SPP|,|Operating in these RTOs.MISO|,|Operating in these RTOs.ISONE|,|Operating in these RTOs.Other|,|Other Activities.Generation|,|Other Activities.Transmission|,|Other Activities.Buying Transmission|,|Other Activities.Distribution|,|Other Activities.Buying Distribution|,|Other Activities.Wholesale Marketing|,|Other Activities.Retail Marketing|,|Other Activities.Bundled|,|Other Activities.Alt Fuel Vehicle|,|Other Activities.Alt Fuel Vehicle 2|
|2022,55,City of Aberdeen - (MS),MS,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2022,84,A & N Electric Coop,VA,Cooperative,RFC,,,,,Y,,,,,,Y,,,,,,Y,N,,Y,,,,,Y,Y
2022,108,Adams-Columbia Electric Coop,WI,Cooperative,MRO,,,Y,,N,,,,,,,,,Y,,,,,Y,Y,Y,,,,,
2022,113,"Agway Energy Services, LLC",NY,Retail Power Marketer,NPCC,,,,,,,,,,,Y,Y,,,,,,,,,,,Y,,,
2022,155,Agralite Electric Coop,MN,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,Y,Y,N,,,,Y,Y
2022,162,Aiken Electric Coop Inc,SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2022,176,Ajo Improvement Co,AZ,Investor Owned,WECC,,,,,,,,Y,,,,,,,,,,,,,,,,Y,N,
2022,189,PowerSouth Energy Cooperative,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,Y,Y,Y,,,Y,,N,Y,Y
2022,195,Alabama Power Co,AL,Investor Owned,SERC,,,,,,Y,,,,,,,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y
2022,207,Alameda Municipal Power,CA,Municipal,WECC,,,,,,,,Y,Y,,,,,,,,,,,Y,,,N,,Y,Y
2022,213,Alaska Electric Light & Power Co.,AK,Investor Owned,AK,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,Y,Y
2022,219,Alaska Power and Telephone Co,WA,Investor Owned,AK,,,,,,,,,,,,,,,,,Y,Y,,Y,,Y,Y,,Y,Y
2022,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,AK,,,,,,,,,,,,,,,,Y,Y,,,Y,,,,,,
2022,230,Albany Utility Board,GA,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,Y,Y
2022,232,City of Albemarle - (NC),NC,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,N,,Y,,,,,,
2022,240,Albemarle Electric Member Corp,NC,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,N,
2022,241,Albertville Municipal Utilities Board,AL,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,N,
2022,261,AGC Division of APGI Inc,PA,Investor Owned,RFC,,,,,Y,,,,,,,,,Y,,,Y,,Y,Y,,Y,,Y,N,
2022,276,Alcorn County Elec Power Assn,MS,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,N,
2022,295,City of Alexandria - (MN),MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,,Y,Y,Y,,Y,Y,,
2022,296,"Alfalfa Electric Coop, Inc",OK,Cooperative,SPP,,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,,
2022,298,City of Alexandria - (LA),LA,Municipal,SERC,,,,,,Y,N,,,,,,N,Y,,,Y,Y,Y,Y,,,,Y,Y,Y
2022,305,Alger-Delta Coop Electric Assn,MI,Cooperative,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2022,307,Algoma Utility Comm,WI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2022,332,Allegheny Electric Coop Inc,PA,Cooperative,RFC,,,,,Y,,,,,,Y,,,,,,Y,Y,Y,,,,,,,
2022,343,AEP Generating Company,OH,Investor Owned,RFC,,,,,Y,,,,,,,,,,,,Y,,,,,Y,,,Y,Y
2022,392,Alpena Power Co,MI,Investor Owned,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
2022,407,Altamaha Electric Member Corp,GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,Y,Y
2022,471,Amana Society Service Co,IA,Investor Owned,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,,Y,,,,Y,,
2022,540,BP Energy Company,TX,Retail Power Marketer,TRE,N,,,,,,,,,Y,,,,,,,,,,,,Y,Y,,,
2022,554,City of Ames - (IA),IA,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,Y,Y,,N,,,Y,Y
2022,562,Amicalola Electric Member Corp,GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2022,571,City of Amory,MS,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2022,577,City of Alcoa Utilities,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2022,590,City of Anaheim - (CA),CA,Municipal,WECC,,,,,,,,Y,Y,,,,,,,,N,Y,Y,Y,,Y,Y,Y,Y,Y
2022,604,City of Andalusia,AL,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,N,
2022,636,City of Anderson - (IN),IN,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,,,,Y,,,,N,,
2022,659,American Transmission Co,WI,Transmission,,,,Y,,Y,,,,,,,,,Y,,,,Y,,,,,,,N,
2022,689,Connexus Energy,MN,Cooperative,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,
2022,690,City of Bardstown - (KY),KY,Municipal,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,N,,,,
2022,691,City of Anoka,MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,N,,,,Y,,,,,N,N
2022,712,Arkansas River Power Authority,CO,Political Subdivision,WECC,,,,,,,,Y,,,,,,,,Y,Y,Y,Y,Y,,Y,,,,
2022,719,Town of Apex- (NC),NC,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2022,727,Appalachian Electric Coop,TN,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2022,733,Appalachian Power Co,OH,Investor Owned,RFC,,,,,Y,,,,,,Y,,,,,,Y,Y,Y,Y,N,Y,,,Y,Y
2022,750,Arab Electric Coop Inc,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2022,796,Arizona Electric Pwr Coop Inc,AZ,Cooperative,WECC,,,,,,,,Y,,,,,,,,Y,Y,Y,Y,,,Y,,,N,N
2022,798,Arizona Power Authority,AZ,State,WECC,,,,,,,,Y,,,,,,,,Y,,,N,,,Y,,,,
2022,803,Arizona Public Service Co,AZ,Investor Owned,WECC,,,,,,,,Y,,,,,,,,,Y,Y,,Y,Y,Y,,,Y,Y
2022,807,Arkansas Electric Coop Corp,AR,Cooperative,SPP,,,,,,,Y,,,,,,Y,Y,,,Y,Y,Y,,,Y,,,N,
