,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Number of.Customers Enrolled.Residential|,|Number of.Customers Enrolled.Commercial|,|Number of.Customers Enrolled.Industrial|,|Number of.Customers Enrolled.Transportation|,|Number of.Customers Enrolled.Total|,|Types of Program.Time of Use Pricing.Residential|,|Types of Program.Time of Use Pricing.Commercial|,|Types of Program.Time of Use Pricing.Industrial|,|Types of Program.Time of Use Pricing.Transportation|,|Types of Program.Real Time Pricing.Residential|,|Types of Program.Real Time Pricing.Commercial|,|Types of Program.Real Time Pricing.Industrial|,|Types of Program.Real Time Pricing.Transportation|,|Types of Program.Variable Peak Pricing.Residential|,|Types of Program.Variable Peak Pricing.Commercial|,|Types of Program.Variable Peak Pricing.Industrial|,|Types of Program.Variable Peak Pricing.Transportation|,|Types of Program.Critical Peak Pricing.Residential|,|Types of Program.Critical Peak Pricing.Commercial|,|Types of Program.Critical Peak Pricing.Industrial|,|Types of Program.Critical Peak Pricing.Transportation|,|Types of Program.Critical Peak Rebate.Residential|,|Types of Program.Critical Peak Rebate.Commercial|,|Types of Program.Critical Peak Rebate.Industrial|,|Types of Program.Critical Peak Rebate.Transportation|
0,2022,97,Adams Electric Coop,Y,IL,MISO,51,11,.,.,62,,,,,,,,,,,,,,,,,,,,
1,2022,970,Homefield Energy,,IL,MISO,.,56,.,.,56,,,,,,Y,,,,,,,,,,,,,,
2,2022,4110,Commonwealth Edison Co,,IL,PJM,"395,626","9,431",134,0,"405,191",Y,,,,Y,Y,Y,,,,,,,,,,Y,,,
3,2022,4362,Corn Belt Energy Corporation,,IL,MISO,131,3,.,.,134,Y,Y,,,,,,,,,,,,,,,,,,
4,2022,7096,City of Geneva- (IL),,IL,PJM,0,0,5,.,5,,,Y,,,,,,,,,,,,,,,,,
5,2022,7279,"NextEra Energy Services, LLC",,IL,MISO,.,6,.,.,6,,,,,,Y,,,,,,,,,,,,,,
6,2022,9209,Illinois Rural Electric Coop,Y,IL,PJM,.,246,.,.,246,,,,,,,,,,,,,,,,,,,,
7,2022,9750,"Jo-Carroll Energy, Inc",,IL,MISO,.,.,13,.,13,,,Y,,,,,,,,,,,,,,,,,
8,2022,12341,MidAmerican Energy Co,,IL,MISO,8,208,50,.,266,Y,Y,Y,,,,,,,,,,,,,,,,,
9,2022,13374,"Constellation NewEnergy, Inc",,IL,PJM,42,"26,739",322,0,"27,103",,Y,Y,,Y,Y,Y,,,,,,,,,,,,,
10,2022,14840,City of Peru - (IL),,IL,MISO,0,1,0,0,1,,Y,,,,,,,,,,,,,,,,,,
11,2022,16179,Rochelle Municipal Utilities,,IL,PJM,149,14,25,.,188,Y,Y,Y,,,,,,,,,,,,,,,,,
12,2022,17828,City of Springfield - (IL),,IL,MISO,22,.,.,.,22,Y,,,,,,,,,,,,,,,,,,,
13,2022,20222,Wayne-White Counties Elec Coop,,IL,MISO,5,0,0,0,5,Y,,,,,,,,,,,,,,,,,,,
14,2022,20824,Village of Winnetka - (IL),Y,IL,PJM,.,1,.,.,1,,,,,,,,,,,,,,,,,,,,
15,2022,50046,"Texas Retail Energy, LLC",,IL,PJM,.,111,.,.,111,,,,,,Y,,,,,,,,,,,,,,
16,2022,50046,"Texas Retail Energy, LLC",,IL,MISO,.,79,.,.,79,,,,,,Y,,,,,,,,,,,,,,
17,2022,56379,"MC Squared Energy Services, LLC",,IL,PJM,0,"1,259",29,.,"1,288",Y,Y,Y,Y,,,,,,,,,,,,,,,,
18,2022,56697,Ameren Illinois Company,,IL,MISO,"152,699","1,236",54,0,"153,989",,,,,Y,Y,Y,,,,,,,,,,Y,,,
19,2022,59385,"Dynegy Energy Services, LLC",,IL,PJM,.,48,.,.,48,,,,,,Y,,,,,,,,,,,,,,
20,2022,59619,"EDF Energy Services, LLC",,IL,PJM,0,20,13,0,33,,,,,,Y,Y,,,,,,,,,,,,,
21,2022,59808,MP2 Energy LLC,,IL,PJM,0,"3,200",72,0,"3,272",,,,,,Y,Y,,,,,,,,,,,,,
22,2022,59931,"MidAmerican Energy Services, LLC",,IL,PJM,.,218,9,.,227,,,,,,Y,Y,,,,,,,,,,,,,
23,2022,59931,"MidAmerican Energy Services, LLC",,IL,MISO,.,600,38,.,638,,,,,,Y,Y,,,,,,,,,,,,,
24,2022,61131,Freepoint Energy Solutions LLC,,IL,PJM,0,169,0,0,169,,,,,,Y,,,,,,,,,,,,,,
25,2022,63489,"Tenaska Power Management, LLC",,IL,MISO,.,2,.,.,2,,,,,,Y,,,,,,,,,,,,,,
