,Data Year,Utility Number,Utility Name,Short Form,Ownership Code,Ownership,Monthly,Advanced Metering,Delivery Company,Demand Response,Distribution Systems,Dynamic Pricing,Energy Efficiency,Mergers,Net Metering,Non Net Metering Distributed,Operational Data,Reliablity,Sales to Ultimate Customers,Service Territory,Utility Data
0,2022,229,City of Albany - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
1,2022,366,City of Allendale- (IL),Y,M,Municipal,,,,,,,,,,,,,,X,
2,2022,406,City of Altamont - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
3,2022,1325,City of Batavia - (IL),,M,Municipal,,X,,,X,,,,,,X,,X,X,X
4,2022,1648,Village of Bethany - (IL),Y,M,Municipal,,,,,,,,,,,,,,X,
5,2022,2188,City of Breese - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
6,2022,2634,City of Bushnell - (IL),Y,M,Municipal,,,,,,,,,,,,,,X,
7,2022,3037,City of Carlyle - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
8,2022,3040,City of Carmi - (IL),Y,M,Municipal,,,,,,,,,,,,,,X,
9,2022,3153,City of Casey - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
10,2022,3405,Village of Chatham - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
11,2022,5585,Eastern Illinois Elec Coop,,C,Cooperative,,X,,,X,,,,X,,X,X,X,X,X
12,2022,6141,City of Fairfield- (IL),Y,M,Municipal,,,,,,,,,,,,,,X,
13,2022,6192,City of Farmer City - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
14,2022,6417,City of Flora - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
15,2022,6764,Village of Freeburg - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
16,2022,7095,City of Geneseo - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
17,2022,7096,City of Geneva- (IL),,M,Municipal,,X,,,X,X,,,X,,X,X,X,X,X
18,2022,7633,Village of Greenup - (IL),Y,M,Municipal,,,,,,,,,,,,,,X,
19,2022,8620,"HILCO Electric Cooperative, Inc.",,C,Cooperative,,X,,,X,,X,,X,,X,X,X,X,X
20,2022,9209,Illinois Rural Electric Coop,Y,C,Cooperative,,X,,,,X,,,,X,,,,X,
21,2022,9286,Illinois Municipal Elec Agency,,A,Municipal Mktg Authority,,,,X,,,X,,,,X,,,,X
22,2022,11736,City of Marshall - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
23,2022,11790,City of Mascoutah - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
24,2022,12167,City of McLeansboro - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
25,2022,12388,City of Metropolis - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
26,2022,13208,City of Naperville - (IL),,M,Municipal,,X,,X,X,,X,,X,,X,X,X,X,X
27,2022,13560,City of Newton - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
28,2022,13993,City of Oglesby - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
29,2022,14840,City of Peru - (IL),,M,Municipal,,X,,,X,X,,,X,,X,,X,X,X
30,2022,15388,City of Princeton - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
31,2022,15686,Village of Rantoul - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
32,2022,15772,City of Red Bud - (IL),Y,M,Municipal,,,,,,,,,,,,,,X,
33,2022,16092,Village of Riverton - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
34,2022,16198,City of Rock Falls - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
35,2022,16269,City of Roodhouse - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
36,2022,17585,"Southeastern IL Elec Coop, Inc",,C,Cooperative,,X,,,X,,,,X,,X,X,X,X,X
37,2022,17631,Southern Illinois Elec Coop,Y,C,Cooperative,,X,,,,,,,,X,,,,X,
38,2022,17632,Southern Illinois Power Coop,,C,Cooperative,,,,,,,,,,,X,,,,X
39,2022,17697,Southwestern Electric Coop Inc - (IL),,C,Cooperative,,X,,,X,,,,,X,X,X,X,X,X
