,|Utility Characteristics.Year|,|Utility Characteristics.State|,|Utility Characteristics.Utility Number|,|Utility Characteristics.Utility Name|,|Utility Characteristics.BA_CODE|,|Number and Capacity (MW).Number of Generators|,|Number and Capacity (MW).Total Capacity|,|Number and Capacity (MW).Capacity Back-up Only|,|Number and Capacity (MW).Capacity Utility Owned|,|Photovoltaic.Type|,|Photovoltaic.Residential|,|Photovoltaic.Commercial|,|Photovoltaic.Industrial|,|Photovoltaic.Transportation|,|Photovoltaic.Direct Connected|,|Photovoltaic.Total|,|Storage.Residential|,|Storage.Commercial|,|Storage.Industrial|,|Storage.Transportation|,|Storage.Direct Connected|,|Storage.Total|,|Wind.Residential|,|Wind.Commercial|,|Wind.Industrial|,|Wind.Transportation|,|Wind.Direct Connected|,|Wind.Total|,|Hydroelectric.Residential|,|Hydroelectric.Commercial|,|Hydroelectric.Industrial|,|Hydroelectric.Transportation|,|Hydroelectric.Direct Connected|,|Hydroelectric.Total|,|Fuel Cells.Residential|,|Fuel Cells.Commercial|,|Fuel Cells.Industrial|,|Fuel Cells.Transportation|,|Fuel Cells.Direct Connected|,|Fuel Cells.Total|,|Internal Combustion.Residential|,|Internal Combustion.Commercial|,|Internal Combustion.Industrial|,|Internal Combustion.Transportation|,|Internal Combustion.Direct Connected|,|Internal Combustion.Total|,|Combustion Turbine.Residential|,|Combustion Turbine.Commercial|,|Combustion Turbine.Industrial|,|Combustion Turbine.Transportation|,|Combustion Turbine.Direct Connected|,|Combustion Turbine.Total|,|Steam.Residential|,|Steam.Commercial|,|Steam.Industrial|,|Steam.Transportation|,|Steam.Direct Connected|,|Steam.Total|,|Other.Residential|,|Other.Commercial|,|Other.Industrial|,|Other.Transportation|,|Other.Direct Connected|,|Other.Total|,|Total.Residential|,|Total.Commercial|,|Total.Industrial|,|Total.Transportation|,|Total.Direct Connected|,|.Total|
0,2022,IL,97.0,Adams Electric Coop,MISO,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2022,IL,4110.0,Commonwealth Edison Co,PJM,"5,765",270.567,.,.,AC,30.974,233.320,.,.,.,264.294,0.498,3.573,.,.,.,4.071,0.018,0.259,.,.,.,0.277,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,1.925,.,.,.,1.925,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,31.490,239.077,0.000,0.000,0.000,270.567
2,2022,IL,5531.0,Enerstar Power Corp,MISO,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3,2022,IL,9209.0,Illinois Rural Electric Coop,MISO,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
4,2022,IL,9750.0,"Jo-Carroll Energy, Inc",MISO,15,7.800,2.400,.,AC,.,5.400,.,.,.,5.400,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,2.400,.,.,.,2.400,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,0.000,7.800,0.000,0.000,0.000,7.800
5,2022,IL,12341.0,MidAmerican Energy Co,MISO,4,0.316,0.000,0.000,AC,0.001,0.009,.,.,.,0.010,.,.,.,.,.,0.000,.,0.011,.,.,.,0.011,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,0.295,.,.,0.295,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,0.001,0.020,0.295,0.000,0.000,0.316
6,2022,IL,12395.0,Menard Electric Coop,MISO,1,0.100,0.100,0.100,DC,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,0.100,.,.,.,0.100,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,0.000,0.100,0.000,0.000,0.000,0.100
7,2022,IL,13032.0,Mt Carmel Public Utility Co,MISO,1,0.049,.,.,AC,.,0.049,.,.,.,0.049,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,0.000,0.049,0.000,0.000,0.000,0.049
8,2022,IL,17040.0,"Shelby Electric Coop, Inc",MISO,1,0.500,.,.,DC,.,.,.,.,0.500,0.500,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,0.000,0.000,0.000,0.000,0.500,0.500
9,2022,IL,17631.0,Southern Illinois Elec Coop,MISO,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10,2022,IL,17697.0,Southwestern Electric Coop Inc - (IL),MISO,482,6.298,.,.,,3.165,2.893,.,.,.,6.058,0.228,.,.,.,.,0.228,0.012,.,.,.,.,0.012,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,3.405,2.893,0.000,0.000,0.000,6.298
11,2022,IL,17828.0,City of Springfield - (IL),MISO,1,0.250,0.000,0.250,AC,.,.,.,.,0.250,0.250,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,0.000,0.000,0.000,0.000,0.250,0.250
12,2022,IL,17860.0,City of St Charles - (IL),PJM,4,0.515,0.000,0.000,AC,0.009,0.006,.,.,0.500,0.515,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,0.009,0.006,0.000,0.000,0.500,0.515
13,2022,IL,18955.0,"Tri-County Electric Coop, Inc (IL)",MISO,101,1.125,.,.,AC,1.125,.,.,.,.,1.125,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,1.125,0.000,0.000,0.000,0.000,1.125
14,2022,IL,29296.0,Western Illinois Elec Coop,MISO,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15,2022,IL,56697.0,Ameren Illinois Company,MISO,72,7.238,.,.,DC,0.018,4.016,0.238,.,.,4.272,.,.,.,.,.,0.000,0.012,2.165,.,.,.,2.177,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,.,.,.,.,0.000,.,0.039,0.750,.,.,0.789,0.030,6.220,0.988,0.000,0.000,7.238
16,2022,IL,99999.0,Adjustment 2022,MISO,.,-1.889,.,.,,-0.555,-1.205,-0.042,.,-0.087,-1.889,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.555,-1.205,-0.042,.,-0.087,-1.889
