Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2022,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,TVA,"4,345.0","34,383","2,588","3,684.0","29,241",711,"7,847.0","129,598",2,0.0,0,0,"15,876.0","193,222","3,301"
2022,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,PJM,301.4,"2,337",261,79.8,606,42,0.0,0,0,0.0,0,0,381.2,"2,943",303
2022,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,PJM,"47,388.3","376,851","32,415","20,127.1","175,360","4,186","15,268.5","161,135",6,0.0,0,0,"82,783.9","713,346","36,607"
2022,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,MISO,"48,027.2","279,312","35,333","11,798.6","85,681","2,497","24,865.2","254,133",982,.,.,.,"84,691.0","619,126","38,812"
2022,113,"Agway Energy Services, LLC",B,Energy,O,MD,Retail Power Marketer,PJM,11.7,71,8,0.3,2,1,0.0,0,0,0.0,0,0,12.0,73,9
2022,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,"16,996.2","125,646","16,583","4,548.9","35,377","2,840",0.0,0,0,0.0,0,0,"21,545.1","161,023","19,423"
2022,113,"Agway Energy Services, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,"1,708.7","11,237","1,202",205.4,"1,377",58,0.0,0,0,0.0,0,0,"1,914.1","12,614","1,260"
2022,155,Agralite Electric Coop,A,Bundled,O,MN,Cooperative,MISO,"10,193.4","82,914","4,416","6,663.9","89,255",295,"7,106.8","78,388",595,.,.,.,"23,964.1","250,557","5,306"
2022,162,Aiken Electric Coop Inc,A,Bundled,O,SC,Cooperative,SC,"93,692.6","641,275","47,697","16,410.1","137,875","3,239","11,791.7","165,900",15,.,.,.,"121,894.4","945,050","50,951"
2022,176,Ajo Improvement Co,A,Bundled,O,AZ,Investor Owned,AZPS,584.5,"5,294",824,307.1,"3,026",211,0.0,0,0,0.0,0,0,891.6,"8,320","1,035"
