Data Year,Utility Number,Utility Name,State,Ownership,SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically,SAIDI (minutes per year),SAIFI (times per year),CAIDI With MED,SAIDI (minutes per year),SAIFI (times per year),CAIDI Without MED,Number of Customers,Inactive Accounts Included,Momentary Interruptions,Highest Dist. Voltage,Outages Recorded Automatically
2023,84,A & N Electric Coop,MD,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,5.502,0.045,122.26667,2.885,0.013,221.92308,309,Y,O,12.5,Y
2023,84,A & N Electric Coop,VA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,133.072,2.174,61.210672,60.819,2.102,28.933873,37331,Y,O,24.9,Y
2023,108,Adams-Columbia Electric Coop,WI,Cooperative,229.1,1.087,210.76357,229.1,1.087,210.76357,229.1,1.087,210.76357,39299,12.5,Y,.,.,.,.,.,.,.,,,.,
2023,155,Agralite Electric Coop,MN,Cooperative,238.438,1.364,174.80792,171.712,1.217,141.09449,162.762,1.035,157.25797,5372,7.2,Y,.,.,.,.,.,.,.,,,.,
2023,162,Aiken Electric Coop Inc,SC,Cooperative,152.69,.,.,113.13,.,.,150.81,.,.,51929,25,Y,.,.,.,.,.,.,.,,,.,
2023,195,Alabama Power Co,AL,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,302.3,1.496,202.07219,104.8,0.851,123.14924,1507108,N,F,34.5,Y
2023,207,Alameda Municipal Power,CA,Municipal,6.69,0.031,215.80645,6.69,0.031,215.80645,6.69,0.031,215.80645,36617,12,Y,.,.,.,.,.,.,.,,,.,
2023,213,Alaska Electric Light & Power Co.,AK,Investor Owned,74,1.94,38.14433,74,1.94,38.14433,27,0.42,64.285714,17719,12.5,N,.,.,.,.,.,.,.,,,.,
2023,219,Alaska Power and Telephone Co,AK,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,570.99,7.32,78.004098,.,.,.,8372,N,O,12.5,N
2023,230,Albany Utility Board,GA,Municipal,116.272,1.28,90.8375,88.391,1.14,77.535965,116.272,1.28,90.8375,32151,12.5,Y,.,.,.,.,.,.,.,,,.,
2023,240,Albemarle Electric Member Corp,NC,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,121.56,1.262,96.323296,102.85,1.16,88.663793,13395,N,F,12.5,Y
2023,276,Alcorn County Elec Power Assn,MS,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,3.63,1.58,2.2974684,3.63,1.58,2.2974684,19113,N,L,.,N
2023,295,City of Alexandria - (MN),MN,Municipal,10.157,0.293,34.665529,.,.,.,.,.,.,10613,13.2,N,.,.,.,.,.,.,.,,,.,
2023,296,"Alfalfa Electric Coop, Inc",KS,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,51.89,0.488,106.33197,51.5,0.485,106.18557,921,N,O,14.4,Y
2023,296,"Alfalfa Electric Coop, Inc",OK,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,51.92,0.76,68.315789,51.5,0.55,93.636364,7554,N,O,14.4,Y
2023,305,Alger-Delta Coop Electric Assn,MI,Cooperative,189.1,1.045,180.95694,110.9,0.803,138.1071,173.6,0.968,179.33884,10412,34.5,Y,.,.,.,.,.,.,.,,,.,
2023,392,Alpena Power Co,MI,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,36.886,0.456,80.890351,29.192,0.412,70.854369,16740,N,F,13.2,Y
2023,407,Altamaha Electric Member Corp,GA,Cooperative,424.713,1.997,212.67551,299.572,1.649,181.66889,424.713,1.997,212.67551,21672,24.9,Y,.,.,.,.,.,.,.,,,.,
2023,554,City of Ames - (IA),IA,Municipal,33.21,0.4,83.025,15.09,0.13,116.07692,32.75,0.39,83.974359,27356,13.8,N,.,.,.,.,.,.,.,,,.,
2023,562,Amicalola Electric Member Corp,GA,Cooperative,1461.38,4.766,306.6261,432.87,3.663,118.17363,1433.24,4.444,322.51125,54510,25,N,.,.,.,.,.,.,.,,,.,
2023,590,City of Anaheim - (CA),CA,Municipal,28.35,0.585,48.461538,28.35,0.585,48.461538,28.35,0.585,48.461538,116993,12.5,Y,.,.,.,.,.,.,.,,,.,
2023,636,City of Anderson - (IN),IN,Municipal,326.919,1.973,165.6964,161.452,1.517,106.42848,326.919,1.973,165.6964,34180,13.2,Y,.,.,.,.,.,.,.,,,.,
2023,689,Connexus Energy,MN,Cooperative,54.841,0.616,89.027597,26.26,0.292,89.931507,38.177,0.337,113.28487,144562,12.5,Y,.,.,.,.,.,.,.,,,.,
2023,691,City of Anoka,MN,Municipal,18.123,0.231,78.454545,18.123,0.231,78.454545,18.123,0.231,78.454545,12878,12.5,N,.,.,.,.,.,.,.,,,.,
2023,719,Town of Apex- (NC),NC,Municipal,80.048,0.661,121.10136,37.015,0.045,822.55556,80.048,0.661,121.10136,28718,.,Y,.,.,.,.,.,.,.,,,.,
2023,727,Appalachian Electric Coop,TN,Cooperative,621.26,3.67,169.28065,190.39,2.86,66.56993,621.26,3.67,169.28065,49902,13,Y,.,.,.,.,.,.,.,,,.,
2023,733,Appalachian Power Co,VA,Investor Owned,429.3,1.645,260.97264,356.6,1.525,233.83607,407.9,1.536,265.5599,546507,35,Y,.,.,.,.,.,.,.,,,.,
2023,733,Appalachian Power Co,WV,Investor Owned,949.8,2.585,367.42747,468.9,2.016,232.58929,905.3,2.395,377.99582,419251,35,Y,.,.,.,.,.,.,.,,,.,
2023,803,Arizona Public Service Co,AZ,Investor Owned,98.58,0.88,112.02273,82.07,0.81,101.32099,97.77,0.86,113.68605,1370252,69,N,.,.,.,.,.,.,.,,,.,
2023,814,Entergy Arkansas LLC,AR,Investor Owned,1211.8,2.053,590.25816,284.7,1.518,187.54941,1189.7,1.989,598.13977,739104,34.5,Y,.,.,.,.,.,.,.,,,.,
2023,817,Arkansas Valley Elec Coop Corp,AR,Cooperative,778.16,3.05,255.13443,270.55,2.42,111.79752,683.27,2.81,243.15658,57920,14.4,Y,.,.,.,.,.,.,.,,,.,
