,Data Year,Utility Number,Utility Name,Short Form,State,County
0,2023,97,Adams Electric Coop,Y,IL,Adams
1,2023,97,Adams Electric Coop,Y,IL,Brown
2,2023,97,Adams Electric Coop,Y,IL,Hancock
3,2023,97,Adams Electric Coop,Y,IL,McDonough
4,2023,97,Adams Electric Coop,Y,IL,Pike
5,2023,97,Adams Electric Coop,Y,IL,Schuyler
6,2023,229,City of Albany - (IL),Y,IL,Whiteside
7,2023,366,City of Allendale- (IL),Y,IL,Wabash
8,2023,406,City of Altamont - (IL),Y,IL,Effingham
9,2023,1325,City of Batavia - (IL),,IL,Kane
10,2023,1648,Village of Bethany - (IL),Y,IL,Moultrie
11,2023,2188,City of Breese - (IL),Y,IL,Clinton
12,2023,2634,City of Bushnell - (IL),Y,IL,McDonough
13,2023,2776,Cairo Public Utility Company,Y,IL,Alexander
14,2023,2776,Cairo Public Utility Company,Y,IL,Pulaski
15,2023,3037,City of Carlyle - (IL),Y,IL,Clinton
16,2023,3040,City of Carmi - (IL),Y,IL,White
17,2023,3153,City of Casey - (IL),Y,IL,Clark
18,2023,3405,Village of Chatham - (IL),Y,IL,Sangamon
19,2023,3726,Clay Electric Coop Inc - (IL),Y,IL,Clay
20,2023,3726,Clay Electric Coop Inc - (IL),Y,IL,Effingham
21,2023,3726,Clay Electric Coop Inc - (IL),Y,IL,Fayette
22,2023,3726,Clay Electric Coop Inc - (IL),Y,IL,Jasper
23,2023,3726,Clay Electric Coop Inc - (IL),Y,IL,Marion
24,2023,3726,Clay Electric Coop Inc - (IL),Y,IL,Richland
25,2023,3726,Clay Electric Coop Inc - (IL),Y,IL,Wayne
26,2023,3806,"Clinton County Elec Coop, Inc",Y,IL,Clinton
27,2023,3806,"Clinton County Elec Coop, Inc",Y,IL,Fayette
28,2023,3806,"Clinton County Elec Coop, Inc",Y,IL,Madison
29,2023,3806,"Clinton County Elec Coop, Inc",Y,IL,Marion
30,2023,3806,"Clinton County Elec Coop, Inc",Y,IL,St Clair
31,2023,3806,"Clinton County Elec Coop, Inc",Y,IL,Washington
32,2023,3931,Coles-Moultrie Electric Coop,,IL,Clark
33,2023,3931,Coles-Moultrie Electric Coop,,IL,Coles
34,2023,3931,Coles-Moultrie Electric Coop,,IL,Cumberland
35,2023,3931,Coles-Moultrie Electric Coop,,IL,Douglas
36,2023,3931,Coles-Moultrie Electric Coop,,IL,Edgar
37,2023,3931,Coles-Moultrie Electric Coop,,IL,Moultrie
38,2023,3931,Coles-Moultrie Electric Coop,,IL,Piatt
39,2023,3931,Coles-Moultrie Electric Coop,,IL,Shelby
40,2023,4110,Commonwealth Edison Co,,IL,Boone
41,2023,4110,Commonwealth Edison Co,,IL,Bureau
42,2023,4110,Commonwealth Edison Co,,IL,Carroll
43,2023,4110,Commonwealth Edison Co,,IL,Cook
44,2023,4110,Commonwealth Edison Co,,IL,DeKalb
45,2023,4110,Commonwealth Edison Co,,IL,DuPage
46,2023,4110,Commonwealth Edison Co,,IL,Ford
47,2023,4110,Commonwealth Edison Co,,IL,Grundy
48,2023,4110,Commonwealth Edison Co,,IL,Jo Daviess
49,2023,4110,Commonwealth Edison Co,,IL,Kane
50,2023,4110,Commonwealth Edison Co,,IL,Kankakee
51,2023,4110,Commonwealth Edison Co,,IL,Kendall
52,2023,4110,Commonwealth Edison Co,,IL,LaSalle
53,2023,4110,Commonwealth Edison Co,,IL,Lake
54,2023,4110,Commonwealth Edison Co,,IL,Lee
55,2023,4110,Commonwealth Edison Co,,IL,Livingston
56,2023,4110,Commonwealth Edison Co,,IL,Marshall
57,2023,4110,Commonwealth Edison Co,,IL,McHenry
58,2023,4110,Commonwealth Edison Co,,IL,Ogle
59,2023,4110,Commonwealth Edison Co,,IL,Stephenson
60,2023,4110,Commonwealth Edison Co,,IL,Whiteside
61,2023,4110,Commonwealth Edison Co,,IL,Will
62,2023,4110,Commonwealth Edison Co,,IL,Winnebago
63,2023,4110,Commonwealth Edison Co,,IL,Woodford
64,2023,4362,Corn Belt Energy Corporation,,IL,Bureau
65,2023,4362,Corn Belt Energy Corporation,,IL,Champaign
66,2023,4362,Corn Belt Energy Corporation,,IL,DeWitt
67,2023,4362,Corn Belt Energy Corporation,,IL,Ford
68,2023,4362,Corn Belt Energy Corporation,,IL,Henry
69,2023,4362,Corn Belt Energy Corporation,,IL,Kendall
70,2023,4362,Corn Belt Energy Corporation,,IL,Knox
71,2023,4362,Corn Belt Energy Corporation,,IL,LaSalle
72,2023,4362,Corn Belt Energy Corporation,,IL,Livingston
73,2023,4362,Corn Belt Energy Corporation,,IL,Logan
74,2023,4362,Corn Belt Energy Corporation,,IL,Macon
75,2023,4362,Corn Belt Energy Corporation,,IL,Marshall
76,2023,4362,Corn Belt Energy Corporation,,IL,McLean
77,2023,4362,Corn Belt Energy Corporation,,IL,Piatt
78,2023,4362,Corn Belt Energy Corporation,,IL,Putnam
79,2023,4362,Corn Belt Energy Corporation,,IL,Stark
80,2023,4362,Corn Belt Energy Corporation,,IL,Tazewell
81,2023,4362,Corn Belt Energy Corporation,,IL,Woodford
82,2023,5531,Enerstar Power Corp,Y,IL,Clark
83,2023,5531,Enerstar Power Corp,Y,IL,Coles
84,2023,5531,Enerstar Power Corp,Y,IL,Douglas
85,2023,5531,Enerstar Power Corp,Y,IL,Edgar
86,2023,5531,Enerstar Power Corp,Y,IL,Vermilion
87,2023,5535,Egyptian Electric Coop Assn,,IL,Franklin
88,2023,5535,Egyptian Electric Coop Assn,,IL,Jackson
89,2023,5535,Egyptian Electric Coop Assn,,IL,Johnson
90,2023,5535,Egyptian Electric Coop Assn,,IL,Monroe
91,2023,5535,Egyptian Electric Coop Assn,,IL,Perry
92,2023,5535,Egyptian Electric Coop Assn,,IL,Randolph
93,2023,5535,Egyptian Electric Coop Assn,,IL,St Clair
94,2023,5535,Egyptian Electric Coop Assn,,IL,Union
95,2023,5535,Egyptian Electric Coop Assn,,IL,Washington
96,2023,5535,Egyptian Electric Coop Assn,,IL,Williamson
97,2023,5585,Eastern Illinois Elec Coop,,IL,Champaign
98,2023,5585,Eastern Illinois Elec Coop,,IL,Douglas
99,2023,5585,Eastern Illinois Elec Coop,,IL,Edgar
100,2023,5585,Eastern Illinois Elec Coop,,IL,Ford
101,2023,5585,Eastern Illinois Elec Coop,,IL,Iroquois
102,2023,5585,Eastern Illinois Elec Coop,,IL,Livingston
103,2023,5585,Eastern Illinois Elec Coop,,IL,McLean
104,2023,5585,Eastern Illinois Elec Coop,,IL,Moultrie
105,2023,5585,Eastern Illinois Elec Coop,,IL,Piatt
106,2023,5585,Eastern Illinois Elec Coop,,IL,Vermilion
107,2023,6141,City of Fairfield- (IL),Y,IL,Wayne
108,2023,6192,City of Farmer City - (IL),Y,IL,DeWitt
109,2023,6417,City of Flora - (IL),Y,IL,Clay
110,2023,6764,Village of Freeburg - (IL),Y,IL,St Clair
111,2023,7095,City of Geneseo - (IL),Y,IL,Henry
112,2023,7096,City of Geneva- (IL),,IL,Kane
113,2023,7633,Village of Greenup - (IL),Y,IL,Cumberland
114,2023,8573,City of Highland,Y,IL,Bond
115,2023,8573,City of Highland,Y,IL,Clinton
116,2023,8573,City of Highland,Y,IL,Madison
117,2023,8573,City of Highland,Y,IL,St Clair
118,2023,8824,M J M Electric Cooperative Inc,Y,IL,Bond
119,2023,8824,M J M Electric Cooperative Inc,Y,IL,Fayette
120,2023,8824,M J M Electric Cooperative Inc,Y,IL,Greene
121,2023,8824,M J M Electric Cooperative Inc,Y,IL,Jersey
122,2023,8824,M J M Electric Cooperative Inc,Y,IL,Macoupin
123,2023,8824,M J M Electric Cooperative Inc,Y,IL,Madison
124,2023,8824,M J M Electric Cooperative Inc,Y,IL,Montgomery
125,2023,9209,Illinois Rural Electric Coop,Y,IL,Adams
126,2023,9209,Illinois Rural Electric Coop,Y,IL,Brown
127,2023,9209,Illinois Rural Electric Coop,Y,IL,Calhoun
128,2023,9209,Illinois Rural Electric Coop,Y,IL,Cass
129,2023,9209,Illinois Rural Electric Coop,Y,IL,Greene
130,2023,9209,Illinois Rural Electric Coop,Y,IL,Jersey
131,2023,9209,Illinois Rural Electric Coop,Y,IL,Macoupin
132,2023,9209,Illinois Rural Electric Coop,Y,IL,Morgan
133,2023,9209,Illinois Rural Electric Coop,Y,IL,Pike
134,2023,9209,Illinois Rural Electric Coop,Y,IL,Scott
135,2023,9750,"Jo-Carroll Energy, Inc",,IL,Carroll
136,2023,9750,"Jo-Carroll Energy, Inc",,IL,Henry
137,2023,9750,"Jo-Carroll Energy, Inc",,IL,Jo Daviess
138,2023,9750,"Jo-Carroll Energy, Inc",,IL,Whiteside
139,2023,11736,City of Marshall - (IL),Y,IL,Clark
140,2023,11790,City of Mascoutah - (IL),Y,IL,St Clair
141,2023,12070,McDonough Power Coop,Y,IL,Fulton
142,2023,12070,McDonough Power Coop,Y,IL,Hancock
143,2023,12070,McDonough Power Coop,Y,IL,Henderson
144,2023,12070,McDonough Power Coop,Y,IL,Knox
145,2023,12070,McDonough Power Coop,Y,IL,McDonough
146,2023,12070,McDonough Power Coop,Y,IL,Schuyler
147,2023,12070,McDonough Power Coop,Y,IL,Warren
148,2023,12167,City of McLeansboro - (IL),Y,IL,Hamilton
149,2023,12341,MidAmerican Energy Co,,IL,Henry
150,2023,12341,MidAmerican Energy Co,,IL,Mercer
151,2023,12341,MidAmerican Energy Co,,IL,Rock Island
152,2023,12388,City of Metropolis - (IL),Y,IL,Massac
153,2023,12395,Menard Electric Coop,,IL,Cass
154,2023,12395,Menard Electric Coop,,IL,Logan
155,2023,12395,Menard Electric Coop,,IL,Macon
156,2023,12395,Menard Electric Coop,,IL,Mason
157,2023,12395,Menard Electric Coop,,IL,Menard
158,2023,12395,Menard Electric Coop,,IL,Morgan
159,2023,12395,Menard Electric Coop,,IL,Sangamon
160,2023,12395,Menard Electric Coop,,IL,Tazewell
161,2023,12803,"Monroe County Elec Coop, Inc",Y,IL,Monroe
162,2023,12803,"Monroe County Elec Coop, Inc",Y,IL,Randolph
163,2023,12803,"Monroe County Elec Coop, Inc",Y,IL,St Clair
164,2023,13032,Mt Carmel Public Utility Co,,IL,Wabash
165,2023,13208,City of Naperville - (IL),,IL,DuPage
166,2023,13208,City of Naperville - (IL),,IL,Will
167,2023,13292,Norris Electric Coop,,IL,Clark
168,2023,13292,Norris Electric Coop,,IL,Clay
169,2023,13292,Norris Electric Coop,,IL,Crawford
170,2023,13292,Norris Electric Coop,,IL,Cumberland
171,2023,13292,Norris Electric Coop,,IL,Effingham
172,2023,13292,Norris Electric Coop,,IL,Jasper
173,2023,13292,Norris Electric Coop,,IL,Lawrence
174,2023,13292,Norris Electric Coop,,IL,Richland
175,2023,13292,Norris Electric Coop,,IL,Shelby
176,2023,13292,Norris Electric Coop,,IL,Wabash
177,2023,13560,City of Newton - (IL),Y,IL,Jasper
178,2023,13993,City of Oglesby - (IL),Y,IL,LaSalle
179,2023,14840,City of Peru - (IL),,IL,LaSalle
180,2023,15388,City of Princeton - (IL),Y,IL,Bureau
