name,centroid_lat,centroid_lon
Woodford,40.78828485211817,-89.21071313057566
Winnebago,42.33937116982374,-89.16156598742579
Williamson,37.731445992548736,-88.93007645166578
Will,41.44622809190143,-87.9783896172458
Whiteside,41.75760950993298,-89.91551310864295
White,38.08893681433012,-88.1792114545728
Wayne,38.429923001361175,-88.42637739485524
Washington,38.35326770943264,-89.41174330820155
Warren,40.84930847569756,-90.61515674377108
Wabash,38.447396253673254,-87.8438784468559
Vermilion,40.18351236552088,-87.73328571553482
Union,37.472068953695995,-89.25445301037092
Tazewell,40.50771362886425,-89.51283151367771
Stephenson,42.354108276686716,-89.66274373327303
Stark,41.09295881981567,-89.7986258810678
Shelby,39.39067921715193,-88.80621485643096
Scott,39.64324569027429,-90.47557004019409
Schuyler,40.15881693709235,-90.61416011162574
Sangamon,39.75831659286617,-89.65881421516163
Saline,37.7553813560567,-88.53925936319038
Saint Clair,38.4708570533113,-89.92989464587397
Rock Island,41.467886825740585,-90.5675088444295
Richland,38.71261874853665,-88.08628552116394
Randolph,38.05220297795919,-89.82541134677948
Putnam,41.20493917925834,-89.2859572887258
Pulaski,37.224298540141454,-89.12655547400499
Pope,37.41416308383019,-88.55959206644505
Pike,39.62234843346042,-90.886936916456
Piatt,40.01037770321431,-88.59192350230542
Perry,38.084548179799356,-89.36903076158092
Peoria,40.78785975751223,-89.75925644337894
Ogle,42.04385950644442,-89.32049056338384
Moultrie,39.64039667293773,-88.62065065131594
Morgan,39.71519576815909,-90.20114921961259
Montgomery,39.22994945606008,-89.48024300377412
Monroe,38.2794847187357,-90.17678989090452
Mercer,41.205620641883115,-90.74333888960716
Menard,40.02791188702162,-89.80148865728914
McLean,40.490879863665384,-88.84688983681869
McHenry,42.326756825214076,-88.45141077834543
McDonough,40.45627616126728,-90.67860780381523
Massac,37.21861163227017,-88.70731621942134
Mason,40.24004286976892,-89.9164974230814
Marshall,41.03348846776966,-89.34566214866902
Marion,38.649707863890946,-88.92002481601322
Madison,38.829631943849314,-89.90548132119446
Macoupin,39.26105417685009,-89.92522898280679
Macon,39.8599414529194,-88.96229813138979
Logan,40.12482502316014,-89.36776977542513
Livingston,40.892819895728664,-88.55820140293773
Lee,41.74677847989182,-89.29931396004561
Lawrence,38.72023222574497,-87.72784654533957
Lake,42.32551536448243,-88.00291174216915
La Salle,41.3447191101921,-88.88713426889757
Knox,40.93144144164454,-90.21354244777318
Kendall,41.59086516754459,-88.42998808891446
Kankakee,41.138676571569384,-87.86297143121178
Kane,41.939880764592814,-88.42923434655282
Johnson,37.461080062018844,-88.87909651865073
Jo Daviess,42.3669134775216,-90.21185209426946
Jersey,39.08627248096765,-90.35683436440755
Jefferson,38.30062662933261,-88.92564315115776
Jasper,39.0101375924946,-88.15377062577151
Jackson,37.785855283717815,-89.38305765583524
Iroquois,40.74809020690901,-87.8240913748657
Henry,41.35398629463824,-90.13135057149508
Henderson,40.81833919218049,-90.92423057197773
Hardin,37.52040074816689,-88.26663013627326
Hancock,40.403608949148115,-91.16455882017561
Hamilton,38.08311922784513,-88.53962041585338
Grundy,41.28620178160679,-88.4188244043885
Greene,39.356349386979836,-90.39105994025448
Gallatin,37.76569669758307,-88.22710568528841
Fulton,40.47285499398811,-90.20772843017498
Franklin,37.99305431351082,-88.92449854024746
Ford,40.59693943568035,-88.2239009528929
Fayette,38.99985090572327,-89.02542655068217
Effingham,39.05970571258382,-88.59093621812733
Edwards,38.41611104898106,-88.05332919603724
Edgar,39.67860725008066,-87.74448990033132
DuPage,41.85250231736962,-88.08528317499882
Douglas,39.769928349402484,-88.21790470268385
DeKalb,41.8957443306562,-88.77045511705067
De Witt,40.17454161694151,-88.90576208321278
Cumberland,39.27367532087283,-88.24066616093593
Crawford,39.00358830109306,-87.75885455122236
Cook,41.84283001484345,-87.81645526238837
Coles,39.52116917689865,-88.2230451457232
Clinton,38.60682455826459,-89.42358330941543
Clay,38.75429947095425,-88.49166754133087
Clark,39.33443082868193,-87.78809068908558
Christian,39.54402947763234,-89.2778302988963
Champaign,40.13970455772887,-88.19941166979467
Cass,39.973648622069014,-90.2488407352333
Carroll,42.07012259509018,-89.93440545471097
Calhoun,39.16927279749827,-90.66700741844625
Bureau,41.404655466096614,-89.5289992662637
Brown,39.961515630323326,-90.7503435085926
Boone,42.32602063430696,-88.82284362034704
Bond,38.88608188395568,-89.43622687202152
Alexander,37.19104669200056,-89.33805447028963
Adams,39.98816806313847,-91.18815796675949
