CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE
382,JEFFERSON CO.,WOODLAWN,03/24/2015,2256,Hail,1.00 in.,nan
383,UNION CO.,WARE,03/25/2015,1900,Hail,1.50 in.,nan
384,UNION CO.,JONESBORO,03/25/2015,1910,Hail,0.75 in.,nan
385,JOHNSON CO.,VIENNA,03/25/2015,1925,Hail,1.00 in.,nan
386,PULASKI CO.,PULASKI,03/25/2015,2130,Hail,0.88 in.,nan
388,FAYETTE CO.,ST JAMES,04/02/2015,910,Hail,0.75 in.,nan
389,MONROE CO.,NEW HANOVER,04/02/2015,2205,Hail,1.00 in.,nan
390,MONROE CO.,WATERLOO,04/02/2015,2214,Thunderstorm Wind,61.00 kts.,nan
391,JOHNSON CO.,VIENNA,04/02/2015,2235,Hail,0.75 in.,nan
392,WASHINGTON CO.,NASHVILLE,04/02/2015,2320,Thunderstorm Wind,52.00 kts.,nan
393,WILLIAMSON CO.,HERRIN,04/02/2015,2320,Hail,0.75 in.,nan
394,FRANKLIN CO.,WEST FRANKFORT,04/02/2015,2333,Hail,0.88 in.,nan
395,JACKSON CO.,CARBONDALE,04/03/2015,6,Hail,1.00 in.,nan
399,JOHNSON CO.,SIMPSON,04/03/2015,1100,Hail,1.00 in.,nan
400,GALLATIN CO.,SHAWNEETOWN,04/03/2015,1114,Hail,1.00 in.,nan
405,ST. CLAIR CO.,CASEYVILLE,04/07/2015,935,Thunderstorm Wind,52.00 kts.,nan
406,ST. CLAIR CO.,CASEYVILLE,04/07/2015,1000,Hail,0.75 in.,nan
407,WARREN CO.,MONMOUTH,04/08/2015,49,Hail,0.88 in.,nan
408,MERCER CO.,KEITHSBURG,04/08/2015,57,Hail,0.75 in.,nan
409,STARK CO.,WYOMING,04/08/2015,130,Hail,1.00 in.,nan
410,WOODFORD CO.,WASHBURN,04/08/2015,230,Hail,1.00 in.,nan
411,TAZEWELL CO.,MORTON,04/08/2015,304,Hail,1.25 in.,nan
412,MACON CO.,MT ZION,04/08/2015,307,Hail,1.00 in.,nan
413,WOODFORD CO.,GOODFIELD,04/08/2015,311,Hail,0.88 in.,nan
414,PEORIA CO.,HANNA CITY,04/08/2015,317,Hail,1.00 in.,nan
415,MCLEAN CO.,HUDSON,04/08/2015,330,Hail,0.88 in.,nan
416,TAZEWELL CO.,SOUTH PEKIN,04/08/2015,330,Hail,0.88 in.,nan
417,TAZEWELL CO.,PEKIN,04/08/2015,334,Hail,1.00 in.,nan
418,TAZEWELL CO.,PEKIN,04/08/2015,334,Hail,1.00 in.,nan
419,MCLEAN CO.,BROKAW,04/08/2015,405,Hail,1.00 in.,nan
420,TAZEWELL CO.,HOPEDALE,04/08/2015,417,Hail,0.75 in.,nan
421,DE WITT CO.,CLINTON,04/08/2015,425,Hail,1.00 in.,nan
422,DE WITT CO.,CLINTON,04/08/2015,430,Hail,1.00 in.,nan
423,DE WITT CO.,LANE,04/08/2015,430,Hail,1.00 in.,nan
424,CHAMPAIGN CO.,CHAMPAIGN,04/08/2015,445,Hail,0.75 in.,nan
425,CHAMPAIGN CO.,THOMASBORO,04/08/2015,455,Hail,1.00 in.,nan
426,CHAMPAIGN CO.,BROADLANDS,04/08/2015,500,Hail,1.00 in.,nan
427,CHAMPAIGN CO.,FISHER,04/08/2015,510,Hail,1.00 in.,nan
428,COLES CO.,CHARLESTON,04/08/2015,520,Hail,0.88 in.,nan
429,COLES CO.,ASHMORE,04/08/2015,520,Hail,1.00 in.,nan
430,COLES CO.,CHARLESTON,04/08/2015,523,Hail,0.75 in.,nan
431,COLES CO.,CHARLESTON,04/08/2015,527,Hail,1.25 in.,nan
432,VERMILION CO.,DANVILLE,04/08/2015,530,Hail,0.75 in.,nan
433,COLES CO.,CHARLESTON,04/08/2015,535,Hail,0.88 in.,nan
434,CHRISTIAN CO.,TOVEY,04/08/2015,600,Thunderstorm Wind,52.00 kts.,nan
435,CUMBERLAND CO.,NEOGA,04/08/2015,615,Hail,0.88 in.,nan
436,EDGAR CO.,PARIS,04/08/2015,615,Hail,0.88 in.,nan
437,MARION CO.,TEXAS CORNER,04/08/2015,1213,Hail,1.00 in.,nan
438,LOGAN CO.,MT PULASKI,04/08/2015,1225,Hail,0.88 in.,nan
439,WAYNE CO.,JOHNSONVILLE,04/08/2015,1245,Hail,0.75 in.,nan
440,MACOUPIN CO.,BUNKER HILL,04/08/2015,1250,Hail,0.88 in.,nan
441,WAYNE CO.,CISNE,04/08/2015,1301,Hail,1.75 in.,nan
442,WAYNE CO.,CISNE,04/08/2015,1312,Hail,0.88 in.,nan
443,MCLEAN CO.,LE ROY,04/08/2015,1315,Hail,0.75 in.,nan
444,CHAMPAIGN CO.,FOOSLAND,04/08/2015,1338,Thunderstorm Wind,52.00 kts.,nan
445,FRANKLIN (ZONE), ,04/08/2015,1850,Strong Wind,43.00 kts.,nan
446,JERSEY CO.,JERSEYVILLE,04/08/2015,1906,Hail,0.88 in.,nan
447,ST. CLAIR CO.,CAHOKIA,04/08/2015,2058,Hail,0.88 in.,nan
448,GRUNDY CO.,MORRIS,04/08/2015,2220,Hail,1.25 in.,nan
449,MCHENRY CO.,MARENGO,04/08/2015,2304,Hail,1.00 in.,nan
450,WILL CO.,SHOREWOOD,04/08/2015,2307,Hail,1.00 in.,nan
451,WILL CO.,JOLIET,04/08/2015,2323,Hail,0.75 in.,nan
452,WILL CO.,LIDICE,04/08/2015,2328,Hail,1.00 in.,nan
453,WILL CO.,LOCKPORT,04/08/2015,2330,Hail,1.00 in.,nan
454,COOK CO.,LEMONT,04/08/2015,2348,Hail,0.75 in.,nan
457,PEORIA CO.,CHILLICOTHE,04/09/2015,1222,Hail,1.25 in.,nan
458,PEORIA CO.,AKRON,04/09/2015,1232,Tornado,,EF0
459,STEPHENSON CO.,ROCK CITY,04/09/2015,1550,Hail,1.00 in.,nan
460,STEPHENSON CO.,DAVIS,04/09/2015,1555,Hail,0.75 in.,nan
461,HANCOCK CO.,DENVER,04/09/2015,1615,Hail,1.50 in.,nan
462,HANCOCK CO.,CARTHAGE,04/09/2015,1615,Hail,1.25 in.,nan
463,PEORIA CO.,GLASFORD,04/09/2015,1620,Hail,1.75 in.,nan
464,PEORIA CO.,GLASFORD,04/09/2015,1621,Hail,1.00 in.,nan
465,MCDONOUGH CO.,ARGYLE LAKE SP,04/09/2015,1630,Hail,0.88 in.,nan
466,MCDONOUGH CO.,ARGYLE LAKE SP,04/09/2015,1634,Hail,1.00 in.,nan
467,WHITESIDE CO.,FULTON,04/09/2015,1654,Tornado,,EF1
468,WHITESIDE CO.,USTICK,04/09/2015,1702,Tornado,,EF1
