EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
732757,ALEXANDER (ZONE), ,01/22/2018,1300,Strong Wind,35.00 kts., ,0,0,1000,0,IL,CST-6,EG,122398,Z,92,PAH,0,0,AWOS, , , , , , , , ,01/22/2018,1900, , , , ,nan,"Strong south winds gusted to between 40 and 50 mph, with isolated higher gusts. The highest reported gust was 52 mph at the Carbondale airport. A deep surface low pressure center moved east-northeast from the Kansas City area to northern Illinois. The strong winds occurred ahead of a surface occluded front that arced southeast from the low. The presence of a mid-level dry slot allowed sufficient solar warming for the stronger winds to mix down to the surface in the afternoon.",128
732758,EDWARDS (ZONE), ,01/22/2018,1300,Strong Wind,35.00 kts., ,0,0,1000,0,IL,CST-6,EG,122398,Z,77,PAH,0,0,AWOS, , , , , , , , ,01/22/2018,1900, , , , ,nan,"Strong south winds gusted to between 40 and 50 mph, with isolated higher gusts. The highest reported gust was 52 mph at the Carbondale airport. A deep surface low pressure center moved east-northeast from the Kansas City area to northern Illinois. The strong winds occurred ahead of a surface occluded front that arced southeast from the low. The presence of a mid-level dry slot allowed sufficient solar warming for the stronger winds to mix down to the surface in the afternoon.",129
732760,FRANKLIN (ZONE), ,01/22/2018,1300,Strong Wind,35.00 kts., ,0,0,1000,0,IL,CST-6,EG,122398,Z,81,PAH,0,0,AWOS, , , , , , , , ,01/22/2018,1900, , , , ,nan,"Strong south winds gusted to between 40 and 50 mph, with isolated higher gusts. The highest reported gust was 52 mph at the Carbondale airport. A deep surface low pressure center moved east-northeast from the Kansas City area to northern Illinois. The strong winds occurred ahead of a surface occluded front that arced southeast from the low. The presence of a mid-level dry slot allowed sufficient solar warming for the stronger winds to mix down to the surface in the afternoon.",130
732761,GALLATIN (ZONE), ,01/22/2018,1300,Strong Wind,35.00 kts., ,0,0,1000,0,IL,CST-6,EG,122398,Z,87,PAH,0,0,AWOS, , , , , , , , ,01/22/2018,1900, , , , ,nan,"Strong south winds gusted to between 40 and 50 mph, with isolated higher gusts. The highest reported gust was 52 mph at the Carbondale airport. A deep surface low pressure center moved east-northeast from the Kansas City area to northern Illinois. The strong winds occurred ahead of a surface occluded front that arced southeast from the low. The presence of a mid-level dry slot allowed sufficient solar warming for the stronger winds to mix down to the surface in the afternoon.",131
732762,HAMILTON (ZONE), ,01/22/2018,1300,Strong Wind,35.00 kts., ,0,0,1000,0,IL,CST-6,EG,122398,Z,82,PAH,0,0,AWOS, , , , , , , , ,01/22/2018,1900, , , , ,nan,"Strong south winds gusted to between 40 and 50 mph, with isolated higher gusts. The highest reported gust was 52 mph at the Carbondale airport. A deep surface low pressure center moved east-northeast from the Kansas City area to northern Illinois. The strong winds occurred ahead of a surface occluded front that arced southeast from the low. The presence of a mid-level dry slot allowed sufficient solar warming for the stronger winds to mix down to the surface in the afternoon.",132
732763,HARDIN (ZONE), ,01/22/2018,1300,Strong Wind,35.00 kts., ,0,0,1000,0,IL,CST-6,EG,122398,Z,91,PAH,0,0,AWOS, , , , , , , , ,01/22/2018,1900, , , , ,nan,"Strong south winds gusted to between 40 and 50 mph, with isolated higher gusts. The highest reported gust was 52 mph at the Carbondale airport. A deep surface low pressure center moved east-northeast from the Kansas City area to northern Illinois. The strong winds occurred ahead of a surface occluded front that arced southeast from the low. The presence of a mid-level dry slot allowed sufficient solar warming for the stronger winds to mix down to the surface in the afternoon.",133
732764,JACKSON (ZONE), ,01/22/2018,1300,Strong Wind,45.00 kts., ,0,0,1000,0,IL,CST-6,MG,122398,Z,84,PAH,0,0,ASOS, , , , , , , , ,01/22/2018,1900, , , , ,nan,"Strong south winds gusted to between 40 and 50 mph, with isolated higher gusts. The highest reported gust was 52 mph at the Carbondale airport. A deep surface low pressure center moved east-northeast from the Kansas City area to northern Illinois. The strong winds occurred ahead of a surface occluded front that arced southeast from the low. The presence of a mid-level dry slot allowed sufficient solar warming for the stronger winds to mix down to the surface in the afternoon.",134
732765,JEFFERSON (ZONE), ,01/22/2018,1300,Strong Wind,39.00 kts., ,0,0,1000,0,IL,CST-6,MG,122398,Z,75,PAH,0,0,AWOS, , , , , , , , ,01/22/2018,1900, , , , ,nan,"Strong south winds gusted to between 40 and 50 mph, with isolated higher gusts. The highest reported gust was 52 mph at the Carbondale airport. A deep surface low pressure center moved east-northeast from the Kansas City area to northern Illinois. The strong winds occurred ahead of a surface occluded front that arced southeast from the low. The presence of a mid-level dry slot allowed sufficient solar warming for the stronger winds to mix down to the surface in the afternoon.",135
732766,JOHNSON (ZONE), ,01/22/2018,1300,Strong Wind,35.00 kts., ,0,0,1000,0,IL,CST-6,EG,122398,Z,89,PAH,0,0,AWOS, , , , , , , , ,01/22/2018,1900, , , , ,nan,"Strong south winds gusted to between 40 and 50 mph, with isolated higher gusts. The highest reported gust was 52 mph at the Carbondale airport. A deep surface low pressure center moved east-northeast from the Kansas City area to northern Illinois. The strong winds occurred ahead of a surface occluded front that arced southeast from the low. The presence of a mid-level dry slot allowed sufficient solar warming for the stronger winds to mix down to the surface in the afternoon.",136
732767,MASSAC (ZONE), ,01/22/2018,1300,Strong Wind,35.00 kts., ,0,0,1000,0,IL,CST-6,MG,122398,Z,94,PAH,0,0,AWOS, , , , , , , , ,01/22/2018,1900, , , , ,nan,"Strong south winds gusted to between 40 and 50 mph, with isolated higher gusts. The highest reported gust was 52 mph at the Carbondale airport. A deep surface low pressure center moved east-northeast from the Kansas City area to northern Illinois. The strong winds occurred ahead of a surface occluded front that arced southeast from the low. The presence of a mid-level dry slot allowed sufficient solar warming for the stronger winds to mix down to the surface in the afternoon.",137
