<<<<<<<< HEAD:weather_records/weather_2019.csv
# CSV-File created with merge-csv.com
# -----------------------------------------------------------

========
>>>>>>>> 5c6b1596902f3847878bd16a15d55a1e3d065e4d:illinois_weather_data/weather_2019.csv
EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
797914,ALEXANDER CO.,CAIRO,01/01/2019,0,Flood, , ,0,0,5000,0,IL,CST-6, ,133354,C,3,PAH,0,0,River/Stream Gage,Heavy Rain, , ,2,ESE,3,ESE,CAIRO,01/16/2019,2200,36.9807,-89.1434,36.9876,-89.1374,"","Heavy rains toward the end of December sent several rivers, including the Ohio and Mississippi Rivers, above flood stage from December into the first part of January. The flooding was minor, consisting mostly of flooded bottomland fields, woodlands, and public park and recreation areas. Some lesser-traveled roads in the bottomlands were flooded. The exception was on the Ohio River at Cairo, where moderate flooding occurred. The river crested at 49.38 feet on the Cairo gage on the 6th. Flood stage at Cairo is 40 feet.",1
797907,GALLATIN CO.,SHAWNEETOWN,01/01/2019,0,Flood, , ,0,0,0,0,IL,CST-6, ,133354,C,59,PAH,0,0,River/Stream Gage,Heavy Rain, , ,0,N,0,S,SHAWNEETOWN,01/12/2019,600,37.7,-88.13,37.6955,-88.1293,"","Heavy rains toward the end of December sent several rivers, including the Ohio and Mississippi Rivers, above flood stage from December into the first part of January. The flooding was minor, consisting mostly of flooded bottomland fields, woodlands, and public park and recreation areas. Some lesser-traveled roads in the bottomlands were flooded. The exception was on the Ohio River at Cairo, where moderate flooding occurred. The river crested at 49.38 feet on the Cairo gage on the 6th. Flood stage at Cairo is 40 feet.",2
797560,WOODFORD (ZONE), ,01/01/2019,500,Winter Weather, , ,0,0,0,0,IL,CST-6, ,133301,Z,31,ILX,0,1,Newspaper, , , , , , , , ,01/02/2019,1700, , , , ,"A 45 year-old woman was killed when her vehicle collided head-on with another vehicle on County Highway 2 just west of Minonk in Woodford County during the morning of January 2nd.  Slick roads due to freezing drizzle likely contributed to the crash.","Patchy freezing drizzle occurred across much of north-central Illinois from January 1st through the afternoon of January 2nd.  Thanks to a thin glaze of ice that was deposited, many secondary and untreated roadways became slick and a few traffic accidents subsequently occurred.  One of the accidents resulted in a fatality in rural Woodford County on the morning of January 2nd.",3
797911,MASSAC CO.,BROOKPORT,01/01/2019,500,Flood, , ,0,0,0,0,IL,CST-6, ,133354,C,127,PAH,0,0,River/Stream Gage,Heavy Rain, , ,0,N,1,WSW,BROOKPORT,01/13/2019,1800,37.12,-88.63,37.117,-88.6383,"","Heavy rains toward the end of December sent several rivers, including the Ohio and Mississippi Rivers, above flood stage from December into the first part of January. The flooding was minor, consisting mostly of flooded bottomland fields, woodlands, and public park and recreation areas. Some lesser-traveled roads in the bottomlands were flooded. The exception was on the Ohio River at Cairo, where moderate flooding occurred. The river crested at 49.38 feet on the Cairo gage on the 6th. Flood stage at Cairo is 40 feet.",4
797913,PULASKI CO.,OLMSTED,01/01/2019,600,Flood, , ,0,0,0,0,IL,CST-6, ,133354,C,153,PAH,0,0,River/Stream Gage,Heavy Rain, , ,0,N,0,SSE,OLMSTED,01/13/2019,1800,37.18,-89.08,37.1742,-89.0757,"","Heavy rains toward the end of December sent several rivers, including the Ohio and Mississippi Rivers, above flood stage from December into the first part of January. The flooding was minor, consisting mostly of flooded bottomland fields, woodlands, and public park and recreation areas. Some lesser-traveled roads in the bottomlands were flooded. The exception was on the Ohio River at Cairo, where moderate flooding occurred. The river crested at 49.38 feet on the Cairo gage on the 6th. Flood stage at Cairo is 40 feet.",5
797935,ALEXANDER CO.,THEBES,01/03/2019,800,Flood, , ,0,0,0,0,IL,CST-6, ,133354,C,3,PAH,0,0,River/Stream Gage,Heavy Rain, , ,0,N,1,ESE,THEBES,01/06/2019,1400,37.22,-89.47,37.2157,-89.4615,"","Heavy rains toward the end of December sent several rivers, including the Ohio and Mississippi Rivers, above flood stage from December into the first part of January. The flooding was minor, consisting mostly of flooded bottomland fields, woodlands, and public park and recreation areas. Some lesser-traveled roads in the bottomlands were flooded. The exception was on the Ohio River at Cairo, where moderate flooding occurred. The river crested at 49.38 feet on the Cairo gage on the 6th. Flood stage at Cairo is 40 feet.",6
797908,POPE CO.,GOLCONDA,01/04/2019,1600,Flood, , ,0,0,0,0,IL,CST-6, ,133354,C,151,PAH,0,0,River/Stream Gage,Heavy Rain, , ,0,N,0,W,GOLCONDA,01/11/2019,1000,37.37,-88.48,37.3698,-88.486,"","Heavy rains toward the end of December sent several rivers, including the Ohio and Mississippi Rivers, above flood stage from December into the first part of January. The flooding was minor, consisting mostly of flooded bottomland fields, woodlands, and public park and recreation areas. Some lesser-traveled roads in the bottomlands were flooded. The exception was on the Ohio River at Cairo, where moderate flooding occurred. The river crested at 49.38 feet on the Cairo gage on the 6th. Flood stage at Cairo is 40 feet.",7
797916,HARDIN CO.,CAVE IN ROCK,01/04/2019,1600,Flood, , ,0,0,0,0,IL,CST-6, ,133354,C,69,PAH,0,0,River/Stream Gage,Heavy Rain, , ,0,N,1,ENE,ELIZABETHTOWN,01/11/2019,1000,37.47,-88.17,37.4597,-88.2769,"","Heavy rains toward the end of December sent several rivers, including the Ohio and Mississippi Rivers, above flood stage from December into the first part of January. The flooding was minor, consisting mostly of flooded bottomland fields, woodlands, and public park and recreation areas. Some lesser-traveled roads in the bottomlands were flooded. The exception was on the Ohio River at Cairo, where moderate flooding occurred. The river crested at 49.38 feet on the Cairo gage on the 6th. Flood stage at Cairo is 40 feet.",8
797938,WHITE CO.,MAUNIE,01/05/2019,0,Flood, , ,0,0,0,0,IL,CST-6, ,133354,C,193,PAH,0,0,River/Stream Gage,Heavy Rain, , ,0,N,2,E,EMMA,01/11/2019,1400,38.03,-88.05,37.9729,-88.067,"","Heavy rains toward the end of December sent several rivers, including the Ohio and Mississippi Rivers, above flood stage from December into the first part of January. The flooding was minor, consisting mostly of flooded bottomland fields, woodlands, and public park and recreation areas. Some lesser-traveled roads in the bottomlands were flooded. The exception was on the Ohio River at Cairo, where moderate flooding occurred. The river crested at 49.38 feet on the Cairo gage on the 6th. Flood stage at Cairo is 40 feet.",9
798047,WABASH (ZONE), ,01/08/2019,1000,Strong Wind,35.00, ,0,0,1000,0,IL,CST-6,EG,133370,Z,78,PAH,0,0,AWOS, , , , , , , , ,01/08/2019,1600, , , , ,"","Strong west to northwest winds overspread southeast Illinois behind a cold front. The cold front swept eastward beneath a low pressure center over the Great Lakes region. A peak wind gust to 40 mph was measured at the Carmi airport.",10
