# CSV-File created with merge-csv.com
# -----------------------------------------------------------

EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1003064,BOONE (ZONE), ,01/01/2022,0,Drought, , ,0,0,0,0,IL,CST-6, ,165754,Z,4,LOT,0,0,Drought Monitor, , , , , , , , ,01/31/2022,2359, , , , ,"","Severe drought conditions continued during the month of January across far northern Illinois.  For the month of January, Rockford rainfall was 0.56 inches which was 1.04 inches below normal.  For the month of January, Waukegan rainfall was 0.65 inches, which was 0.76 inches below normal.",1
1003065,WINNEBAGO (ZONE), ,01/01/2022,0,Drought, , ,0,0,0,0,IL,CST-6, ,165754,Z,3,LOT,0,0,Drought Monitor, , , , , , , , ,01/31/2022,2359, , , , ,"","Severe drought conditions continued during the month of January across far northern Illinois.  For the month of January, Rockford rainfall was 0.56 inches which was 1.04 inches below normal.  For the month of January, Waukegan rainfall was 0.65 inches, which was 0.76 inches below normal.",2
1003066,MCHENRY (ZONE), ,01/01/2022,0,Drought, , ,0,0,0,0,IL,CST-6, ,165754,Z,5,LOT,0,0,Drought Monitor, , , , , , , , ,01/31/2022,2359, , , , ,"","Severe drought conditions continued during the month of January across far northern Illinois.  For the month of January, Rockford rainfall was 0.56 inches which was 1.04 inches below normal.  For the month of January, Waukegan rainfall was 0.65 inches, which was 0.76 inches below normal.",3
1003067,LAKE (ZONE), ,01/01/2022,0,Drought, , ,0,0,0,0,IL,CST-6, ,165754,Z,6,LOT,0,0,Drought Monitor, , , , , , , , ,01/31/2022,2359, , , , ,"","Severe drought conditions continued during the month of January across far northern Illinois.  For the month of January, Rockford rainfall was 0.56 inches which was 1.04 inches below normal.  For the month of January, Waukegan rainfall was 0.65 inches, which was 0.76 inches below normal.",4
998530,WHITESIDE (ZONE), ,01/01/2022,500,Winter Weather, , ,0,0,0,0,IL,CST-6, ,165210,Z,9,DVN,0,0,Trained Spotter, , , , , , , , ,01/02/2022,200, , , , ,"Spotter and public reports of 1-3 inches of snow fell across portions of Whiteside County. Blowing and drifting snow continued to cause problems on roads after plowing, lasting into January 2nd. The highest snowfall report was 3 inches near Morrison.","A strong winter storm impacted much of southeast Iowa, western Illinois, and northeast Missouri. Widespread snowfall ranging between 5 and 10 inches of snow was reported in the hardest hit areas, with 1 to 4 inches surrounding and gusty winds to follow. This event started and ended as a snow event, as cold air was in place prior. With the gusty winds, blowing and drifting snow was observed, reducing visibilities and making it difficult to measure the snowfall. Just as this storm was moving out, very cold temperatures moved in, with wind chills between -15 to -30 felt.",5
998523,HENRY (ZONE), ,01/01/2022,500,Winter Storm, , ,0,0,0,0,IL,CST-6, ,165210,Z,16,DVN,0,0,COOP Observer, , , , , , , , ,01/02/2022,200, , , , ,"Spotter and public reports of 4-8 inches of snow fell across portions of Henry County. Blowing and drifting snow continued to cause problems on roads after plowing, lasting into January 2nd. Verification was also considered using snow amounts and other combined hazards/impacts, with the highest snowfall report from a COOP Observer in Kewanee at 7.0 inches.","A strong winter storm impacted much of southeast Iowa, western Illinois, and northeast Missouri. Widespread snowfall ranging between 5 and 10 inches of snow was reported in the hardest hit areas, with 1 to 4 inches surrounding and gusty winds to follow. This event started and ended as a snow event, as cold air was in place prior. With the gusty winds, blowing and drifting snow was observed, reducing visibilities and making it difficult to measure the snowfall. Just as this storm was moving out, very cold temperatures moved in, with wind chills between -15 to -30 felt.",6
998522,ROCK ISLAND (ZONE), ,01/01/2022,500,Winter Storm, , ,0,0,0,0,IL,CST-6, ,165210,Z,15,DVN,0,0,Official NWS Observations, , , , , , , , ,01/02/2022,200, , , , ,"Spotter and public reports of 3-5 inches of snow fell across portions of Rock Island County. Blowing and drifting snow continued to cause problems on roads after plowing, lasting into January 2nd. Verification was also considered using snow amounts and other combined hazards/impacts, with the highest snowfall report from broadcast media in Moline at 4.5 inches.","A strong winter storm impacted much of southeast Iowa, western Illinois, and northeast Missouri. Widespread snowfall ranging between 5 and 10 inches of snow was reported in the hardest hit areas, with 1 to 4 inches surrounding and gusty winds to follow. This event started and ended as a snow event, as cold air was in place prior. With the gusty winds, blowing and drifting snow was observed, reducing visibilities and making it difficult to measure the snowfall. Just as this storm was moving out, very cold temperatures moved in, with wind chills between -15 to -30 felt.",7
998237,MCDONOUGH (ZONE), ,01/01/2022,500,Winter Storm, , ,0,0,0,0,IL,CST-6, ,165210,Z,35,DVN,0,0,Trained Spotter, , , , , , , , ,01/01/2022,2300, , , , ,"Spotter and public reports of 5-8 inches of snow fell across portions of McDonough County. Blowing and drifting snow continued to cause problems on roads after plowing, lasting into January 2nd. The highest snowfall report was from northwest Macomb, with 7.1 inches of snow.","A strong winter storm impacted much of southeast Iowa, western Illinois, and northeast Missouri. Widespread snowfall ranging between 5 and 10 inches of snow was reported in the hardest hit areas, with 1 to 4 inches surrounding and gusty winds to follow. This event started and ended as a snow event, as cold air was in place prior. With the gusty winds, blowing and drifting snow was observed, reducing visibilities and making it difficult to measure the snowfall. Just as this storm was moving out, very cold temperatures moved in, with wind chills between -15 to -30 felt.",8
998235,HANCOCK (ZONE), ,01/01/2022,500,Winter Storm, , ,0,0,0,0,IL,CST-6, ,165210,Z,34,DVN,0,0,Trained Spotter, , , , , , , , ,01/01/2022,2300, , , , ,"Spotter, COOP, and public reports of 4-6 inches of snow fell across portions of Hancock County. Blowing and drifting snow continued to cause problems on roads after plowing, lasting into January 2nd. Consistent trained spotter reports of 6 inches in Carthage.","A strong winter storm impacted much of southeast Iowa, western Illinois, and northeast Missouri. Widespread snowfall ranging between 5 and 10 inches of snow was reported in the hardest hit areas, with 1 to 4 inches surrounding and gusty winds to follow. This event started and ended as a snow event, as cold air was in place prior. With the gusty winds, blowing and drifting snow was observed, reducing visibilities and making it difficult to measure the snowfall. Just as this storm was moving out, very cold temperatures moved in, with wind chills between -15 to -30 felt.",9
998533,CARROLL (ZONE), ,01/01/2022,500,Winter Weather, , ,0,0,0,0,IL,CST-6, ,165210,Z,7,DVN,0,0,Trained Spotter, , , , , , , , ,01/02/2022,200, , , , ,"Spotter and public reports of 2-5 inches of snow fell across portions of Carroll County. Blowing and drifting snow continued to cause problems on roads after plowing, lasting into January 2nd. The highest snowfall report was in Mount Carroll at 4.1 inches.","A strong winter storm impacted much of southeast Iowa, western Illinois, and northeast Missouri. Widespread snowfall ranging between 5 and 10 inches of snow was reported in the hardest hit areas, with 1 to 4 inches surrounding and gusty winds to follow. This event started and ended as a snow event, as cold air was in place prior. With the gusty winds, blowing and drifting snow was observed, reducing visibilities and making it difficult to measure the snowfall. Just as this storm was moving out, very cold temperatures moved in, with wind chills between -15 to -30 felt.",10
