"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","OD1","REM"
"99773599999","2018-01-01T00:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","320,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0137,1","+9999,9","99999,9","5,99,0067,1,999","SYN056WHRI2 46/// /3209 11137 92340 333 91213 555 11009 22010="
"99773599999","2018-01-01T01:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","310,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0152,1","+9999,9","99999,9","5,99,0077,1,999","SYN056WHRI2 46/// /3111 11152 90040 333 91215 555 11011 22012="
"99773599999","2018-01-01T02:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","310,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0160,1","+9999,9","99999,9","5,99,0057,1,999","SYN056WHRI2 46/// /3108 11160 90140 333 91211 555 11009 22009="
"99773599999","2018-01-01T03:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","300,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0168,1","+9999,9","99999,9","5,99,0072,1,999","SYN056WHRI2 46/// /3010 11168 90240 333 91214 555 11010 22011="
"99773599999","2018-01-01T04:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","300,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0176,1","+9999,9","99999,9","5,99,0067,1,999","SYN056WHRI2 46/// /3008 11176 90340 333 91213 555 11008 22009="
"99773599999","2018-01-01T05:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","300,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0184,1","+9999,9","99999,9","5,99,0088,1,999","SYN056WHRI2 46/// /3010 11184 90440 333 91217 555 11010 22010="
"99773599999","2018-01-01T06:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","300,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0191,1","+9999,9","99999,9","5,99,0062,1,999","SYN056WHRI2 46/// /3008 11191 90540 333 91212 555 11008 22008="
"99773599999","2018-01-01T07:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","310,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0198,1","+9999,9","99999,9","5,99,0082,1,999","SYN056WHRI2 46/// /3112 11198 90640 333 91216 555 11012 22013="
"99773599999","2018-01-01T08:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","300,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0204,1","+9999,9","99999,9","5,99,0088,1,999","SYN056WHRI2 46/// /3012 11204 90740 333 91217 555 11013 22013="
"99773599999","2018-01-01T09:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","310,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0209,1","+9999,9","99999,9","5,99,0088,1,999","SYN056WHRI2 46/// /3113 11209 90840 333 91217 555 11013 22014="
