"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","REM","EQD"
"99849799999","2018-01-01T00:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","320,1,N,0134,1","99999,9,9,N","999999,9,9,9","-0142,1","+9999,9","99999,9","SYN046FSTI2 46/// /3226 11142 90000 555 11027 22029=",
"99849799999","2018-01-01T01:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","310,1,N,0108,1","99999,9,9,N","999999,9,9,9","-0150,1","+9999,9","99999,9","SYN046FSTI2 46/// /3121 11150 90100 555 11021 22023=",
"99849799999","2018-01-01T02:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","310,1,N,0118,1","99999,9,9,N","999999,9,9,9","-0157,1","+9999,9","99999,9","SYN046FSTI2 46/// /3123 11157 90200 555 11023 22025=",
"99849799999","2018-01-01T03:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","300,1,N,0103,1","99999,9,9,N","999999,9,9,9","-0165,1","+9999,9","99999,9","SYN046FSTI2 46/// /3020 11165 90300 555 11020 22022=",
"99849799999","2018-01-01T04:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","300,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0174,1","+9999,9","99999,9","SYN046FSTI2 46/// /3011 11174 90400 555 11011 22012=",
"99849799999","2018-01-01T05:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","300,1,N,0077,1","99999,9,9,N","999999,9,9,9","-0182,1","+9999,9","99999,9","SYN046FSTI2 46/// /3015 11182 90500 555 11015 22016=",
"99849799999","2018-01-01T06:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","290,1,N,0129,1","99999,9,9,N","999999,9,9,9","-0190,1","+9999,9","99999,9","SYN046FSTI2 46/// /2925 11190 90600 555 11026 22028=",
"99849799999","2018-01-01T07:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","300,1,N,0072,1","99999,9,9,N","999999,9,9,9","-0197,1","+9999,9","99999,9","SYN046FSTI2 46/// /3014 11197 90700 555 11015 22016=",
"99849799999","2018-01-01T08:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","310,1,N,0082,1","99999,9,9,N","999999,9,9,9","-0203,1","+9999,9","99999,9","SYN046FSTI2 46/// /3116 11203 90800 555 11016 22017=",
"99849799999","2018-01-01T09:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","250,1,N,0082,1","99999,9,9,N","999999,9,9,9","-0208,1","+9999,9","99999,9","SYN046FSTI2 46/// /2516 11208 90900 555 11017 22018=",
"99849799999","2018-01-01T10:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","290,1,N,0149,1","99999,9,9,N","999999,9,9,9","-0211,1","+9999,9","99999,9","SYN046FSTI2 46/// /2929 11211 91000 555 11030 22032=",
"99849799999","2018-01-01T11:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","290,1,N,0088,1","99999,9,9,N","999999,9,9,9","-0213,1","+9999,9","99999,9","SYN046FSTI2 46/// /2917 11213 91100 555 11017 22019=",
"99849799999","2018-01-01T12:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","250,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0217,1","+9999,9","99999,9","SYN046FSTI2 46/// /2508 11217 91200 555 11008 22009=",
"99849799999","2018-01-01T13:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","270,1,N,0113,1","99999,9,9,N","999999,9,9,9","-0217,1","+9999,9","99999,9","SYN046FSTI2 46/// /2722 11217 91300 555 11022 22024=",
"99849799999","2018-01-01T14:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","270,1,N,0108,1","99999,9,9,N","999999,9,9,9","-0212,1","+9999,9","99999,9","SYN046FSTI2 46/// /2721 11212 91400 555 11021 22023=",
"99849799999","2018-01-01T15:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","250,1,N,0103,1","99999,9,9,N","999999,9,9,9","-0202,1","+9999,9","99999,9","SYN046FSTI2 46/// /2520 11202 91500 555 11021 22022=",
"99849799999","2018-01-01T16:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","270,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0192,1","+9999,9","99999,9","SYN046FSTI2 46/// /2709 11192 91600 555 11009 22010=",
"99849799999","2018-01-01T17:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","260,1,N,0103,1","99999,9,9,N","999999,9,9,9","-0182,1","+9999,9","99999,9","SYN046FSTI2 46/// /2620 11182 91700 555 11020 22022=",
"99849799999","2018-01-01T18:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","260,1,N,0098,1","99999,9,9,N","999999,9,9,9","-0173,1","+9999,9","99999,9","SYN046FSTI2 46/// /2619 11173 91800 555 11020 22021=",
"99849799999","2018-01-01T19:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","280,1,N,0098,1","99999,9,9,N","999999,9,9,9","-0170,1","+9999,9","99999,9","SYN046FSTI2 46/// /2819 11170 91900 555 11019 22021=",
"99849799999","2018-01-01T20:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","230,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0163,1","+9999,9","99999,9","SYN046FSTI2 46/// /2309 11163 92000 555 11009 22009=",
"99849799999","2018-01-01T21:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","270,1,N,0129,1","99999,9,9,N","999999,9,9,9","-0170,1","+9999,9","99999,9","SYN046FSTI2 46/// /2725 11170 92100 555 11025 22027=",
