"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","REM"
"99849799999","2019-01-01T00:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","350,1,N,0160,1","99999,9,9,N","999999,9,9,9","+0023,1","+9999,9","99999,9","SYN046FSTI2 46/// /3531 10023 90000 555 11031 22034="
"99849799999","2019-01-01T01:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","340,1,N,0165,1","99999,9,9,N","999999,9,9,9","+0018,1","+9999,9","99999,9","SYN046FSTI2 46/// /3432 10018 90100 555 11033 22036="
"99849799999","2019-01-01T02:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","310,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0015,1","+9999,9","99999,9","SYN046FSTI2 46/// /3118 10015 90200 555 11018 22020="
"99849799999","2019-01-01T03:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","280,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0017,1","+9999,9","99999,9","SYN046FSTI2 46/// /2815 10017 90300 555 11015 22016="
"99849799999","2019-01-01T05:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","290,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0019,1","+9999,9","99999,9","SYN046FSTI2 46/// /2911 10019 90500 555 11011 22012="
"99849799999","2019-01-01T06:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","300,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0020,1","+9999,9","99999,9","SYN046FSTI2 46/// /3008 10020 90600 555 11008 22009="
"99849799999","2019-01-01T07:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","330,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0015,1","+9999,9","99999,9","SYN046FSTI2 46/// /3316 10015 90700 555 11017 22018="
"99849799999","2019-01-01T08:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","320,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0012,1","+9999,9","99999,9","SYN046FSTI2 46/// /3213 10012 90800 555 11013 22014="
"99849799999","2019-01-01T09:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","350,1,N,0088,1","99999,9,9,N","999999,9,9,9","+0008,1","+9999,9","99999,9","SYN046FSTI2 46/// /3517 10008 90900 555 11018 22019="
"99849799999","2019-01-01T10:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","350,1,N,0180,1","99999,9,9,N","999999,9,9,9","-0005,1","+9999,9","99999,9","SYN046FSTI2 46/// /3535 11005 91000 555 11036 22039="
"99849799999","2019-01-01T11:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","350,1,N,0180,1","99999,9,9,N","999999,9,9,9","-0003,1","+9999,9","99999,9","SYN046FSTI2 46/// /3535 11003 91100 555 11036 22039="
"99849799999","2019-01-01T12:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","350,1,N,0118,1","99999,9,9,N","999999,9,9,9","-0007,1","+9999,9","99999,9","SYN046FSTI2 46/// /3523 11007 91200 555 11023 22025="
"99849799999","2019-01-01T13:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","360,1,N,0103,1","99999,9,9,N","999999,9,9,9","-0007,1","+9999,9","99999,9","SYN046FSTI2 46/// /3620 11007 91300 555 11020 22022="
"99849799999","2019-01-01T14:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","010,1,N,0170,1","99999,9,9,N","999999,9,9,9","-0004,1","+9999,9","99999,9","SYN046FSTI2 46/// /0133 11004 91400 555 11033 22036="
"99849799999","2019-01-01T15:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","360,1,N,0113,1","99999,9,9,N","999999,9,9,9","-0003,1","+9999,9","99999,9","SYN046FSTI2 46/// /3622 11003 91500 555 11022 22024="
"99849799999","2019-01-01T16:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","350,1,N,0113,1","99999,9,9,N","999999,9,9,9","-0006,1","+9999,9","99999,9","SYN046FSTI2 46/// /3522 11006 91600 555 11022 22024="
"99849799999","2019-01-01T17:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","350,1,N,0077,1","99999,9,9,N","999999,9,9,9","-0017,1","+9999,9","99999,9","SYN046FSTI2 46/// /3515 11017 91700 555 11015 22016="
"99849799999","2019-01-01T18:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","360,1,N,0108,1","99999,9,9,N","999999,9,9,9","-0023,1","+9999,9","99999,9","SYN046FSTI2 46/// /3621 11023 91800 555 11021 22023="
"99849799999","2019-01-01T19:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","340,1,N,0077,1","99999,9,9,N","999999,9,9,9","-0028,1","+9999,9","99999,9","SYN046FSTI2 46/// /3415 11028 91900 555 11015 22017="
"99849799999","2019-01-01T20:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","340,1,N,0113,1","99999,9,9,N","999999,9,9,9","-0028,1","+9999,9","99999,9","SYN046FSTI2 46/// /3422 11028 92000 555 11022 22024="
"99849799999","2019-01-01T21:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","330,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0026,1","+9999,9","99999,9","SYN046FSTI2 46/// /3313 11026 92100 555 11013 22014="
"99849799999","2019-01-01T22:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","340,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0026,1","+9999,9","99999,9","SYN046FSTI2 46/// /3406 11026 92200 555 11007 22007="
"99849799999","2019-01-01T23:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","330,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0027,1","+9999,9","99999,9","SYN046FSTI2 46/// /3312 11027 92300 555 11012 22013="
"99849799999","2019-01-02T00:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","320,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0028,1","+9999,9","99999,9","SYN046FSTI2 46/// /3208 11028 90000 555 11008 22009="
"99849799999","2019-01-02T01:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","330,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0028,1","+9999,9","99999,9","SYN046FSTI2 46/// /3309 11028 90100 555 11009 22010="
"99849799999","2019-01-02T02:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","280,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0029,1","+9999,9","99999,9","SYN046FSTI2 46/// /2808 11029 90200 555 11008 22009="
"99849799999","2019-01-02T03:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","300,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0029,1","+9999,9","99999,9","SYN046FSTI2 46/// /3004 11029 90300 555 11004 22004="
"99849799999","2019-01-02T04:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","280,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0028,1","+9999,9","99999,9","SYN046FSTI2 46/// /2806 11028 90400 555 11006 22006="
"99849799999","2019-01-02T05:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","280,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0027,1","+9999,9","99999,9","SYN046FSTI2 46/// /2805 11027 90500 555 11005 22006="
"99849799999","2019-01-02T06:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","290,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0024,1","+9999,9","99999,9","SYN046FSTI2 46/// /2907 11024 90600 555 11007 22008="
