year,county,saifi,saidi,caidi,svi
2015,Adams,0.03804,6.47654,170.27732,0.2829
2015,Alexander,0.0285,59.58832,2090.74074,0.923
2015,Bond,0.03591,38.11454,1061.28641,0.4335
2015,Boone,0.02054,14.6046,710.88167,0.4153
2015,Brown,0.03359,32.30961,961.93069,0.4554
2015,Bureau,0.04152,11.78629,283.87597,0.2721
2015,Calhoun,0.07936,225.60322,2842.90541,0.0309
2015,Carroll,0.02358,24.64081,1044.88439,0.147
2015,Cass,0.03417,26.26417,768.60577,0.5532
2015,Champaign,0.02366,2.4079,101.78169,0.5605
2015,Christian,0.0194,16.12555,831.22642,0.1808
2015,Clark,0.01009,20.14434,1996.32911,0.071
2015,Clay,0.01101,12.4623,1132.2,0.3997
2015,Clinton,0.02615,12.93141,494.44785,0.1321
2015,Coles,0.01484,7.22245,486.57025,0.5407
2015,Cook,0.00618,0.13395,21.66891,0.8004
2015,Crawford,0.0135,17.21771,1275.1087,0.4157
2015,Cumberland,0.0067,45.45953,6790.0,0.0175
2015,De Witt,0.05146,21.77869,423.19242,0.0439
2015,DeKalb,0.01112,3.60439,324.15914,0.4952
2015,Douglas,0.0384,17.09528,445.17188,0.5353
2015,DuPage,0.02064,0.99284,48.10145,0.2199
2015,Edgar,0.0183,22.37917,1223.11321,0.2521
2015,Edwards,0.01822,36.39744,1997.43243,0.2349
2015,Effingham,0.0147,14.57721,991.65138,0.2129
2015,Fayette,0.03605,26.24949,728.09886,0.4726
2015,Ford,0.04431,41.11406,927.95455,0.2428
2015,Franklin,0.02643,11.65109,440.86444,0.5471
2015,Fulton,0.03972,18.24227,459.25097,0.233
2015,Gallatin,0.06767,49.32939,728.94578,0.4828
2015,Greene,0.03942,36.1125,916.02439,0.0544
2015,Grundy,0.02194,7.74572,353.01154,0.0799
2015,Hamilton,0.00693,37.94003,5476.40625,0.3119
2015,Hancock,0.05549,22.07381,397.77,0.0891
2015,Henderson,0.16652,59.81366,359.20071,0.0271
2015,Henry,0.01686,5.16277,306.16498,0.1168
2015,Iroquois,0.04483,18.42797,411.06667,0.3813
2015,Jackson,0.02536,7.469,294.51111,0.789
2015,Jasper,0.0053,72.7341,13722.5,0.2158
2015,Jefferson,0.02828,7.55558,267.21529,0.7174
2015,Jersey,0.03174,26.06828,821.20408,0.0341
2015,Jo Daviess,0.04202,65.6193,1561.48026,0.0894
2015,Johnson,0.02292,27.9,1217.11409,0.2912
2015,Kane,0.02291,2.35366,102.73643,0.494
2015,Kankakee,0.02202,4.02589,182.81051,0.697
2015,Kendall,0.00853,3.37387,395.61315,0.1222
2015,Knox,0.05304,7.28479,137.33865,0.6423
2015,LaSalle,0.02872,4.61804,160.78177,0.3826
2015,Lake,0.00845,0.53114,62.83751,0.4663
2015,Lawrence,0.01501,24.97819,1664.35897,0.4806
2015,Lee,0.03199,11.94623,373.44702,0.3189
2015,Livingston,0.03406,12.49434,366.83566,0.3806
2015,Logan,0.06239,17.19928,275.66912,0.1814
2015,Macon,0.03532,4.2372,119.98114,0.5258
2015,Macoupin,0.03533,12.29761,348.04945,0.1388
2015,Madison,0.02374,3.61305,152.2207,0.2581
2015,Marion,0.03328,14.56774,437.72189,0.5547
2015,Marshall,0.09233,30.79117,333.4726,0.0681
2015,Mason,0.08583,50.29193,585.97356,0.1493
2015,Massac,0.0055,28.46789,5171.66667,0.5856
2015,McDonough,0.02448,18.12475,740.38462,0.4612
2015,McHenry,0.02117,2.51078,118.57591,0.1152
2015,McLean,0.01912,2.57983,134.94249,0.2005
2015,Menard,0.03528,50.40677,1428.87755,0.0165
2015,Mercer,0.07111,26.89367,378.19749,0.0598
2015,Monroe,0.01912,12.68957,663.77517,0.0016
2015,Montgomery,0.03026,19.82744,655.25559,0.2505
2015,Morgan,0.03837,9.51005,247.83123,0.5245
2015,Moultrie,0.00893,21.76756,2436.46552,0.3558
