year,county,saifi,saidi,caidi,svi
2018,Adams,0.88293,36.70843,41.57548,0.28290
2018,Alexander,3.81668,233.48170,61.17406,0.92300
2018,Bond,4.97734,273.60879,54.97093,0.43350
2018,Boone,1.77001,83.60646,47.23507,0.41530
2018,Brown,0.21849,106.43166,487.12329,0.45540
2018,Bureau,14.89148,288.98930,19.40635,0.27210
2018,Calhoun,5.89276,409.02949,69.41219,0.03090
2018,Carroll,2.66521,126.88863,47.60920,0.14700
2018,Cass,1.65927,81.81370,49.30693,0.55320
2018,Champaign,4.49977,97.62054,21.69455,0.56050
2018,Christian,11.69619,252.50622,21.58875,0.18080
2018,Clark,0.92247,76.35650,82.77416,0.07100
2018,Clay,12.14155,293.45019,24.16908,0.39970
2018,Clinton,13.28712,345.11916,25.97395,0.13210
2018,Coles,0.46964,34.63464,73.74750,0.54070
2018,Cook,5.44451,88.56406,16.26667,0.80040
2018,Crawford,7.48386,181.53376,24.25672,0.41570
2018,Cumberland,0.91702,69.49787,75.78650,0.01750
2018,De Witt,6.64126,183.49962,27.63024,0.04390
2018,DeKalb,2.12146,63.79753,30.07250,0.49520
2018,Douglas,2.89584,126.92667,43.83076,0.53530
2018,DuPage,6.67468,156.69738,23.47640,0.21990
2018,Edgar,1.07952,72.88723,67.51839,0.25210
2018,Edwards,0.49544,74.88919,151.15557,0.23490
2018,Effingham,1.16952,68.85536,58.87483,0.21290
2018,Fayette,8.52981,364.14947,42.69137,0.47260
2018,Ford,5.22190,250.87451,48.04280,0.24280
2018,Franklin,32.08712,740.20244,23.06852,0.54710
2018,Fulton,3.49521,125.02512,35.77043,0.23300
2018,Gallatin,20.84346,665.57080,31.93188,0.48280
2018,Greene,4.11192,179.02500,43.53802,0.05440
2018,Grundy,1.65310,73.52980,44.48001,0.07990
2018,Hamilton,1.32345,158.83633,120.01718,0.31190
2018,Hancock,7.34606,179.33740,24.41273,0.08910
2018,Hardin,47.15497,1149.49476,24.37696,0.30490
2018,Henderson,0.98580,141.11801,143.15032,0.02710
2018,Henry,0.79423,29.59076,37.25711,0.11680
2018,Iroquois,3.74806,152.63460,40.72366,0.38130
2018,Jackson,3.30005,118.63503,35.94952,0.78900
2018,Jasper,0.38891,74.15526,190.67291,0.21580
2018,Jefferson,31.93864,639.86835,20.03430,0.71740
2018,Jersey,3.68373,129.89998,35.26320,0.03410
2018,Jo Daviess,6.97871,547.22837,78.41395,0.08940
2018,Johnson,9.17646,280.30385,30.54596,0.29120
2018,Kane,6.77996,162.30212,23.93850,0.49400
2018,Kankakee,2.07071,56.32653,27.20159,0.69700
2018,Kendall,1.99592,57.31167,28.71435,0.12220
2018,Knox,5.04427,150.76391,29.88814,0.64230
2018,LaSalle,9.57724,189.98302,19.83693,0.38260
2018,Lake,2.37187,57.54029,24.25945,0.46630
2018,Lawrence,2.01372,120.73692,59.95700,0.48060
2018,Lee,1.24278,56.46698,45.43595,0.31890
2018,Livingston,4.67214,137.12874,29.35028,0.38060
2018,Logan,3.14644,131.97633,41.94471,0.18140
2018,Macon,4.24090,97.46121,22.98123,0.52580
2018,Macoupin,3.27781,142.87323,43.58801,0.13880
2018,Madison,13.39343,235.37298,17.57377,0.25810
2018,Marion,5.49632,161.66306,29.41294,0.55470
2018,Marshall,6.38882,243.69215,38.14354,0.06810
2018,Mason,2.11719,138.59913,65.46385,0.14930
2018,Massac,0.98887,106.98165,108.18592,0.58560
2018,McDonough,1.44386,61.74892,42.76655,0.46120
2018,McHenry,6.43868,125.76681,19.53301,0.11520
2018,McLean,3.37801,80.96757,23.96901,0.20050
2018,Menard,2.55172,144.88121,56.77796,0.01650
2018,Mercer,5.00167,209.05534,41.79709,0.05980
2018,Monroe,2.12901,93.95591,44.13128,0.00160
2018,Montgomery,2.89724,139.55769,48.16927,0.25050
2018,Morgan,3.22291,125.20851,38.84946,0.52450
2018,Moultrie,0.53235,59.21211,111.22830,0.35580
2018,Ogle,1.80366,60.45790,33.51958,0.34850
2018,Peoria,3.54930,82.26908,23.17899,0.67850
2018,Perry,14.26789,358.14990,25.10181,0.60310
2018,Piatt,6.96324,266.91366,38.33182,0.00350
2018,Pike,15.97394,406.18581,25.42802,0.37840
2018,Pope,24.17210,715.51303,29.60079,0.50860
2018,Pulaski,5.07939,240.51837,47.35182,0.52710
2018,Putnam,3.63535,308.56457,84.87901,0.01620
2018,Randolph,4.91784,165.98697,33.75204,0.41630
2018,Richland,2.83807,83.26978,29.34026,0.30650
2018,Rock Island,3.25451,66.33715,20.38312,0.68910
2018,Saline,17.20143,335.13494,19.48296,0.74120
2018,Sangamon,0.70590,20.68359,29.30087,0.43030
2018,Schuyler,2.09132,174.59958,83.48757,0.41090
2018,Scott,29.09015,911.94869,31.34905,0.01780
2018,Shelby,1.58584,199.82744,126.00696,0.06400
2018,St. Clair,24.42733,433.88511,17.76228,0.55440
2018,Stark,18.43082,618.52190,33.55910,0.01940
2018,Stephenson,3.59063,152.57307,42.49204,0.55160
2018,Tazewell,2.08996,65.10740,31.15242,0.09480
2018,Union,5.83205,190.00973,32.58025,0.51720
2018,Vermilion,3.94009,87.31913,22.16168,0.65820
2018,Wabash,0.15041,26.19160,174.13488,0.40960
2018,Warren,2.74369,127.12336,46.33295,0.53280
2018,Washington,21.84873,628.49139,28.76558,0.05090
2018,Wayne,0.20607,25.42388,123.37220,0.43860
2018,White,0.39482,36.79953,93.20614,0.43830
2018,Whiteside,1.36869,48.13996,35.17226,0.25490
2018,Will,4.88142,91.43857,18.73198,0.24120
2018,Williamson,14.84471,274.97530,18.52345,0.43000
2018,Winnebago,3.30973,77.18004,23.31913,0.76290
2018,Woodford,1.78297,63.40242,35.55993,0.02260
