County,station_count,station_names
Adams,1,['72443093989']
Alexander,1,['72497593809']
Carroll,1,['72220404996']
Champaign,3,"['99999954808', '72531594870', '72219404896']"
Christian,1,['74466263817']
Clay,1,['74465853889']
Coles,1,['72531753802']
Cook,6,"['99849999999', '99849799999', '99725599999', '74466504838', '72534014819', '72212604879']"
Crawford,1,['72031963841']
DeKalb,2,"['99999954811', '72207504871']"
DuPage,2,"['72530594892', '72530094846']"
Edgar,1,['72217263810']
Grundy,1,['72013704867']
Jackson,1,['72433693810']
Jefferson,1,['72433593894']
Kane,1,['74465504808']
Kankakee,1,['72212704880']
Knox,1,['72208994959']
La Salle,1,['72214904899']
Lake,1,['72534714880']
Lawrence,2,"['72534213809', '72033063853']"
Livingston,1,['72217104889']
Logan,1,['74467204862']
Macon,1,['72531603887']
Madison,1,['72439503958']
Marion,2,"['74465753887', '72433003879']"
Marshall,1,['A0001704868']
Massac,1,['72017063851']
McDonough,1,['72215704949']
McLean,1,['72439754831']
Montgomery,1,['72297263878']
Morgan,1,['74466653944']
Ogle,1,['72218204890']
Peoria,1,['72532014842']
Pike,1,['74466353950']
Randolph,1,['74465363814']
Richland,1,['74465953822']
Rock Island,1,['72544014923']
Saint Clair,2,"['72531403960', '72433813802']"
Saline,1,['74465253897']
Sangamon,1,['72439093822']
Stephenson,1,['72208204876']
Vermilion,1,['72207694891']
Wayne,1,['74465653891']
White,1,['72207463840']
Whiteside,1,['72532604894']
Will,2,"['72534804831', '72534514834']"
Williamson,1,['72433903865']
Winnebago,1,['72543094822']
