# CSV-File created with merge-csv.com
# -----------------------------------------------------------

EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
610991,PULASKI CO.,OLMSTED,01/01/2016,0,Flood, , ,0,0,50000,0,IL,CST-6, ,102205,C,153,PAH,0,0,River/Stream Gage,Heavy Rain, , ,0,N,2,SSW,AMERICA,01/18/2016,100,37.18,-89.08,37.1108,-89.1341,"Major flooding of the Ohio River continued into January. At the Grand Chain river gage, the river crested at 55.4 feet on the 3rd. Flood stage there is 42 feet. This flood was very similar to the flood of May, 1995, when the crest was 55.1 feet. Flood stage there is 42 feet. There was widespread flooding of low-lying fields, and a number of secondary roads were flooded.","Flooding along parts of the Mississippi River surpassed the Great Flood of 1993. Along most other rivers, the flooding was relatively minor. The Governor of Illinois declared some counties disaster areas, including the Mississippi River counties of Alexander and Jackson. The very wet pattern that developed during the second half of December gradually dried out in January. This allowed all the rivers to fall below flood stage during the early or middle part of the month. The duration and seasonal timing of this Mississippi River flood was exceptionally rare. Past historical Mississippi River floods have occurred during the warm season, and their duration was on the scale of months rather than weeks.",1
610998,POPE CO.,GOLCONDA,01/01/2016,0,Flood, , ,0,0,15000,0,IL,CST-6, ,102205,C,151,PAH,0,0,River/Stream Gage,Heavy Rain, , ,0,N,1,SW,GOLCONDA,01/11/2016,30,37.37,-88.48,37.3538,-88.4976,"Minor flooding occurred along the Ohio River. Low-lying woods and fields were flooded, as well as some county roads. About 10,000 sandbags were delivered to Golconda to support the placement of flood gates.","Flooding along parts of the Mississippi River surpassed the Great Flood of 1993. Along most other rivers, the flooding was relatively minor. The Governor of Illinois declared some counties disaster areas, including the Mississippi River counties of Alexander and Jackson. The very wet pattern that developed during the second half of December gradually dried out in January. This allowed all the rivers to fall below flood stage during the early or middle part of the month. The duration and seasonal timing of this Mississippi River flood was exceptionally rare. Past historical Mississippi River floods have occurred during the warm season, and their duration was on the scale of months rather than weeks.",2
611000,ALEXANDER CO.,EAST CAPE GIRARDEAU,01/01/2016,0,Flood, , ,0,0,4500000,0,IL,CST-6, ,102205,C,3,PAH,0,0,River/Stream Gage,Heavy Rain, , ,2,NW,3,W,MILLER CITY,01/16/2016,700,37.3042,-89.5042,37.1243,-89.415,"Mississippi River levels continued their climb from December, and record flooding occurred early in the month. At the Thebes river gage, the river crested at a new record of 47.74 feet before dawn on the 2nd. The old record was 45.91 feet, which was set in May of 1995. Records at Thebes go back to at least 1844. The 2016 crest would have been higher if a major levee break had not occurred in Alexander County. Flood stage at Thebes is 33 feet. The primary flood-related impact was a large levee break (about one-quarter mile wide) in the Len Small Levee near Miller City, between Thebes and Cairo. This levee break contributed to major flooding in and near the communities of Olive Branch and Miller City. Several dozen residences were flooded, some of them by water up to seven feet deep. Voluntary evacuations were requested as floodwaters inundated these communities and cut off access roads. Many homes and businesses in these communities were sandbagged, but many of them ended up being flooded. A Red Cross shelter was opened at Cape Girardeau. The National Guard was requested to assist with sandbagging operations and levee repairs. A couple of relatively small levee breaches were reported between Miller City and Cairo. The levee protecting East Cape Girardeau was in danger of failing, and residents of that community were advised to evacuate. Schools were closed in much of the county due to widespread evacuations. The impact of all of this flooding would have been much greater during the growing season, when crop losses would have been extreme. Because of the high water, barge traffic was restricted on the Mississippi River.","Flooding along parts of the Mississippi River surpassed the Great Flood of 1993. Along most other rivers, the flooding was relatively minor. The Governor of Illinois declared some counties disaster areas, including the Mississippi River counties of Alexander and Jackson. The very wet pattern that developed during the second half of December gradually dried out in January. This allowed all the rivers to fall below flood stage during the early or middle part of the month. The duration and seasonal timing of this Mississippi River flood was exceptionally rare. Past historical Mississippi River floods have occurred during the warm season, and their duration was on the scale of months rather than weeks.",3
611003,WHITE CO.,PHILLIPSTOWN,01/01/2016,0,Flood, , ,0,0,0,0,IL,CST-6, ,102205,C,193,PAH,0,0,River/Stream Gage,Heavy Rain, , ,0,SW,2,SW,MAUNIE,01/14/2016,1130,38.1481,-88.0218,38.0125,-88.0747,"Moderate flooding of the Wabash River continued into January. At the New Harmony, Indiana river gage, the river crested at 20.69 feet on the 7th. Flood stage there is 15 feet. There was considerable flooding of low-lying woods and fields near the river. A few secondary roads were flooded.","Flooding along parts of the Mississippi River surpassed the Great Flood of 1993. Along most other rivers, the flooding was relatively minor. The Governor of Illinois declared some counties disaster areas, including the Mississippi River counties of Alexander and Jackson. The very wet pattern that developed during the second half of December gradually dried out in January. This allowed all the rivers to fall below flood stage during the early or middle part of the month. The duration and seasonal timing of this Mississippi River flood was exceptionally rare. Past historical Mississippi River floods have occurred during the warm season, and their duration was on the scale of months rather than weeks.",4
611002,JACKSON CO.,GRAND TOWER,01/01/2016,0,Flood, , ,0,0,1000000,0,IL,CST-6, ,102205,C,77,PAH,0,0,River/Stream Gage,Heavy Rain, , ,1,W,3,W,NEUNERT,01/16/2016,700,37.6306,-89.5115,37.7209,-89.5963,"Mississippi River levels continued their climb from December, and record or near-record flooding occurred early in the month. The river gage at Thebes downriver in Alexander County crested at a new record of 47.74 feet on the 2nd. However, the river gage upriver at Chester in Randolph County did not break a record. A voluntary evacuation of the community of Grand Tower was requested, partly due to weaknesses in the levees along the Mississippi and Big Muddy Rivers. Grand Tower sits at the confluence of the Big Muddy and Mississippi Rivers. A Red Cross shelter was opened at Murphysboro. Illinois state highway department crews transported 50,000 sandbags and 100 rolls of plastic for stabilization of slides on a levee. Four state trucks were used to haul rock to low places that needed to be raised up. Illinois Route 3 was closed at the Randolph County line due to flooding. County leaders signed a disaster declaration for the county.","Flooding along parts of the Mississippi River surpassed the Great Flood of 1993. Along most other rivers, the flooding was relatively minor. The Governor of Illinois declared some counties disaster areas, including the Mississippi River counties of Alexander and Jackson. The very wet pattern that developed during the second half of December gradually dried out in January. This allowed all the rivers to fall below flood stage during the early or middle part of the month. The duration and seasonal timing of this Mississippi River flood was exceptionally rare. Past historical Mississippi River floods have occurred during the warm season, and their duration was on the scale of months rather than weeks.",5
611006,WHITE CO.,CARMI,01/01/2016,0,Flood, , ,0,0,30000,0,IL,CST-6, ,102205,C,193,PAH,0,0,River/Stream Gage,Heavy Rain, , ,0,N,2,SE,BROWNSVILLE,01/17/2016,1700,38.08,-88.17,38.0082,-88.2202,"Major flooding of the Little Wabash River continued into January. At the Carmi river gage, the river crested at 35.74 feet on the 3rd. This flood was similar to the flood of April, 2008, when the river crested at 35.54 feet. Flood stage there is 27 feet. Businesses just downstream of Route 14 and Route 1 in Carmi were flooded. Many county roads were flooded. Extensive flooding of farm fields and woodlands occurred. Since planting season was not underway when flooding began, there was little if any crop damage.","Flooding along parts of the Mississippi River surpassed the Great Flood of 1993. Along most other rivers, the flooding was relatively minor. The Governor of Illinois declared some counties disaster areas, including the Mississippi River counties of Alexander and Jackson. The very wet pattern that developed during the second half of December gradually dried out in January. This allowed all the rivers to fall below flood stage during the early or middle part of the month. The duration and seasonal timing of this Mississippi River flood was exceptionally rare. Past historical Mississippi River floods have occurred during the warm season, and their duration was on the scale of months rather than weeks.",6
611008,FRANKLIN CO.,PLUMFIELD,01/01/2016,0,Flood, , ,0,0,0,0,IL,CST-6, ,102205,C,55,PAH,0,0,River/Stream Gage,Heavy Rain, , ,0,N,2,E,ROYALTON,01/08/2016,1700,37.88,-89,37.87,-89.0833,"Minor flooding occurred along the Big Muddy River. Low-lying woods and fields were flooded, as well as some county roads.","Flooding along parts of the Mississippi River surpassed the Great Flood of 1993. Along most other rivers, the flooding was relatively minor. The Governor of Illinois declared some counties disaster areas, including the Mississippi River counties of Alexander and Jackson. The very wet pattern that developed during the second half of December gradually dried out in January. This allowed all the rivers to fall below flood stage during the early or middle part of the month. The duration and seasonal timing of this Mississippi River flood was exceptionally rare. Past historical Mississippi River floods have occurred during the warm season, and their duration was on the scale of months rather than weeks.",7
611162,WABASH CO.,ALLENDALE,01/01/2016,0,Flood, , ,0,0,10000,0,IL,CST-6, ,102205,C,185,PAH,0,0,River/Stream Gage,Heavy Rain, , ,0,E,2,NNW,MT CARMEL,01/12/2016,1200,38.53,-87.72,38.4467,-87.7801,"Moderate flooding of the Wabash River continued into January. At the Mt. Carmel river gage, the river crested at 29.1 feet on the 6th. Flood stage there is 19 feet. This flood was similar to the flood of March, 2008, when the river crested at 29.72 feet. Some residents along South Division Street in the Mt. Carmel area and in the Keensburg area were evacuated. Several local roads were flooded, some by several feet of water. These included South Division Street, CR 1280 E, and three township roads south of Illinois 1 near Keensburg. Extensive flooding occurred on the northern outskirts of Mount Carmel. Numerous local river roads were flooded. High water backed up into Bon Pas Creek. Installation of flood gates at Mount Carmel was necessary. Access to local camp sites was blocked, but there was minimal impact to commercial activities because of gate closure. Fifth Street that parallels the river was closed. Twin Restaurant along the river also closed. All oil field production ceased with the exception of pumping units on substructures. Access to these was by boat only.","Flooding along parts of the Mississippi River surpassed the Great Flood of 1993. Along most other rivers, the flooding was relatively minor. The Governor of Illinois declared some counties disaster areas, including the Mississippi River counties of Alexander and Jackson. The very wet pattern that developed during the second half of December gradually dried out in January. This allowed all the rivers to fall below flood stage during the early or middle part of the month. The duration and seasonal timing of this Mississippi River flood was exceptionally rare. Past historical Mississippi River floods have occurred during the warm season, and their duration was on the scale of months rather than weeks.",8
611166,HARDIN CO.,ROSICLARE,01/01/2016,0,Flood, , ,0,0,10000,0,IL,CST-6, ,102205,C,69,PAH,0,0,River/Stream Gage,Heavy Rain, , ,0,N,1,ESE,ROSICLARE,01/11/2016,30,37.42,-88.35,37.4167,-88.3404,"Minor flooding occurred along the Ohio River. The town of Rosiclare was affected. Low-lying woods and fields were flooded, as well as some county roads.","Flooding along parts of the Mississippi River surpassed the Great Flood of 1993. Along most other rivers, the flooding was relatively minor. The Governor of Illinois declared some counties disaster areas, including the Mississippi River counties of Alexander and Jackson. The very wet pattern that developed during the second half of December gradually dried out in January. This allowed all the rivers to fall below flood stage during the early or middle part of the month. The duration and seasonal timing of this Mississippi River flood was exceptionally rare. Past historical Mississippi River floods have occurred during the warm season, and their duration was on the scale of months rather than weeks.",9
610989,ALEXANDER CO.,URBANDALE,01/01/2016,0,Flood, , ,0,0,400000,0,IL,CST-6, ,102205,C,3,PAH,0,0,River/Stream Gage,Heavy Rain, , ,2,S,1,NE,CAIRO,01/19/2016,500,37.027,-89.1832,37.0065,-89.1714,"Major flooding of the Ohio River continued into January. At the Cairo river gage, the river crested at 56.14 feet on the 4th. This flood was very similar to the flood of March, 1997, when the crest was 56.2 feet. Flood stage there is 40 feet. The bridge connecting Cairo with Wickliffe, KY was closed due to floodwater over the bridge approach on the Kentucky side. The bridge, which carries U.S. Highway 51/60/62 over the Ohio River, was closed for about one week. Most of the flood gates were installed at Cairo. Areas not protected by the levee and floodwall system were inundated. Since the crop season was not underway, agricultural losses were insignificant.","Flooding along parts of the Mississippi River surpassed the Great Flood of 1993. Along most other rivers, the flooding was relatively minor. The Governor of Illinois declared some counties disaster areas, including the Mississippi River counties of Alexander and Jackson. The very wet pattern that developed during the second half of December gradually dried out in January. This allowed all the rivers to fall below flood stage during the early or middle part of the month. The duration and seasonal timing of this Mississippi River flood was exceptionally rare. Past historical Mississippi River floods have occurred during the warm season, and their duration was on the scale of months rather than weeks.",10
