# CSV-File created with merge-csv.com
# -----------------------------------------------------------

EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1070957,MASSAC CO.,BROOKPORT,01/02/2023,2158,Flood, , ,0,0,0,0,IL,CST-6, ,176367,C,127,PAH,0,0,Emergency Manager,Heavy Rain, , ,1,ENE,1,E,BROOKPORT,01/02/2023,2330,37.13,-88.61,37.1227,-88.608,"Two to three inches of water were over Unionville Road. A weather observer in the Cocorahs network near Unionville measured a 24-hour total of 3.09 inches.","Multiple bands of thunderstorms occurred during the night. The storms occurred in the warm sector of a surface low centered over northeast Kansas. The storms were far removed from the primary surface fronts, but a 500 mb shortwave rotating northeast toward the lower and mid-Mississippi Valley provided strong forcing for storms. The storms produced locally heavy rainfall that caused minor flooding of roads.",1
1069828,KANE CO.,ELGIN,01/03/2023,1414,Hail,1.00, ,0,0,0,0,IL,CST-6, ,176200,C,89,LOT,0,0,Trained Spotter, , , ,1,NE,1,NE,ELGIN,01/03/2023,1414,42.05,-88.27,42.05,-88.27,"Photos showed that most hailstones were half an inch in diameter or less, though the largest hailstones were roughly one inch in diameter.","On the afternoon of January 3, a cluster of thunderstorms brought small hail, one inch in diameter or less, across parts of the Chicago metropolitan area, primarily the north and northwest suburbs. Late in the afternoon into the early evening, a second cluster of storms moving through central Illinois produced embedded supercells, one of which dropped an EF-1 tornado southeast of Gibson City.",2
1069829,LAKE CO.,WAUKEGAN,01/03/2023,1453,Hail,1.00, ,0,0,0,0,IL,CST-6, ,176200,C,97,LOT,0,0,Public, , , ,1,S,1,S,WAUKEGAN,01/03/2023,1453,42.35,-87.84,42.35,-87.84,"Photos were shared that showed hailstones approximately one inch in diameter.","On the afternoon of January 3, a cluster of thunderstorms brought small hail, one inch in diameter or less, across parts of the Chicago metropolitan area, primarily the north and northwest suburbs. Late in the afternoon into the early evening, a second cluster of storms moving through central Illinois produced embedded supercells, one of which dropped an EF-1 tornado southeast of Gibson City.",3
1078128,SANGAMON CO.,LANESVILLE,01/03/2023,1552,Tornado, ,EFU,0,0,0,0,IL,CST-6, ,177319,C,167,ILX,0,0,Trained Spotter, ,0.09,10,4,ENE,4,ENE,LANESVILLE,01/03/2023,1553,39.8744,-89.2868,39.8753,-89.2855,"A trained spotter reported a brief tornado touchdown in an open field about 2 miles west-northwest of Illiopolis at 3:52 PM CST.  No damage occurred.","An area of low pressure tracking northeastward across Iowa pushed a cold front into central Illinois during the afternoon of January 3rd.  The arimass ahead of the front became moderately unstable thanks to surface temperatures climbing into the lower to middle 60s and dewpoints hovering near 60 degrees.  Given the instability and increasing amounts of deep-layer wind shear in association with a strong upper low approaching from the west, scattered supercell thunderstorms developed along the front during the afternoon.  The storms were primarily focused in a corridor from Springfield and Taylorville northeastward to near Champaign.  A total of 8 short-lived weak tornadoes touched down within this corridor, with the strongest tornadoes producing EF-1 damage near Maroa and in the Decatur area.",4
1078129,LOGAN CO.,LATHAM,01/03/2023,1605,Tornado, ,EFU,0,0,0,0,IL,CST-6, ,177319,C,107,ILX,0,0,Trained Spotter, ,0.03,10,3,SW,3,SW,LATHAM,01/03/2023,1606,39.9435,-89.2047,39.9437,-89.2042,"A trained spotter reported a brief tornado touchdown in an open field about 3 miles southwest of Lathan at 4:05 PM CST.  No damage occurred.","An area of low pressure tracking northeastward across Iowa pushed a cold front into central Illinois during the afternoon of January 3rd.  The arimass ahead of the front became moderately unstable thanks to surface temperatures climbing into the lower to middle 60s and dewpoints hovering near 60 degrees.  Given the instability and increasing amounts of deep-layer wind shear in association with a strong upper low approaching from the west, scattered supercell thunderstorms developed along the front during the afternoon.  The storms were primarily focused in a corridor from Springfield and Taylorville northeastward to near Champaign.  A total of 8 short-lived weak tornadoes touched down within this corridor, with the strongest tornadoes producing EF-1 damage near Maroa and in the Decatur area.",5
1078196,SANGAMON CO.,PAWNEE,01/03/2023,1605,Hail,0.88, ,0,0,0,0,IL,CST-6, ,177319,C,167,ILX,0,0,Public, , , ,0,N,0,N,PAWNEE,01/03/2023,1609,39.58,-89.58,39.58,-89.58,"","An area of low pressure tracking northeastward across Iowa pushed a cold front into central Illinois during the afternoon of January 3rd.  The arimass ahead of the front became moderately unstable thanks to surface temperatures climbing into the lower to middle 60s and dewpoints hovering near 60 degrees.  Given the instability and increasing amounts of deep-layer wind shear in association with a strong upper low approaching from the west, scattered supercell thunderstorms developed along the front during the afternoon.  The storms were primarily focused in a corridor from Springfield and Taylorville northeastward to near Champaign.  A total of 8 short-lived weak tornadoes touched down within this corridor, with the strongest tornadoes producing EF-1 damage near Maroa and in the Decatur area.",6
1078130,MACON CO.,MAROA,01/03/2023,1633,Tornado, ,EF0,0,0,0,0,IL,CST-6, ,177319,C,115,ILX,0,0,Trained Spotter, ,0.32,25,4,WSW,3,WSW,MAROA,01/03/2023,1634,40.0109,-89.0144,40.0136,-89.0096,"A tornado briefly touched down 3 miles southwest of Maroa along Bearsdale Road just north of School Road at 4:33 PM CST.  A power pole and irrigation unit were damaged.","An area of low pressure tracking northeastward across Iowa pushed a cold front into central Illinois during the afternoon of January 3rd.  The arimass ahead of the front became moderately unstable thanks to surface temperatures climbing into the lower to middle 60s and dewpoints hovering near 60 degrees.  Given the instability and increasing amounts of deep-layer wind shear in association with a strong upper low approaching from the west, scattered supercell thunderstorms developed along the front during the afternoon.  The storms were primarily focused in a corridor from Springfield and Taylorville northeastward to near Champaign.  A total of 8 short-lived weak tornadoes touched down within this corridor, with the strongest tornadoes producing EF-1 damage near Maroa and in the Decatur area.",7
1078133,MACON CO.,MAROA,01/03/2023,1635,Tornado, ,EF1,0,0,0,0,IL,CST-6, ,177319,C,115,ILX,0,0,NWS Storm Survey, ,0.88,75,1,WNW,1,NNW,MAROA,01/03/2023,1638,40.0373,-88.9714,40.0462,-88.9595,"A tornado touched down just west of the intersection of US-51 and Washington Street west of Maroa at 4:35 PM CST.  The tornado destroyed a barn and tossed the remains of a grain bin across the highway.  A fence was also destroyed just east of US-51 near the end of North Sycamore Street.  The tornado dissipated just southwest of the Fourwinds RV dealership about 1 mile north-northwest of Maroa at 4:38 PM CST.","An area of low pressure tracking northeastward across Iowa pushed a cold front into central Illinois during the afternoon of January 3rd.  The arimass ahead of the front became moderately unstable thanks to surface temperatures climbing into the lower to middle 60s and dewpoints hovering near 60 degrees.  Given the instability and increasing amounts of deep-layer wind shear in association with a strong upper low approaching from the west, scattered supercell thunderstorms developed along the front during the afternoon.  The storms were primarily focused in a corridor from Springfield and Taylorville northeastward to near Champaign.  A total of 8 short-lived weak tornadoes touched down within this corridor, with the strongest tornadoes producing EF-1 damage near Maroa and in the Decatur area.",8
1078134,CHRISTIAN CO.,OSBERNVILLE,01/03/2023,1705,Tornado, ,EFU,0,0,0,0,IL,CST-6, ,177319,C,21,ILX,0,0,Law Enforcement, ,0.14,10,3,NNW,3,NNW,OSBERNVILLE,01/03/2023,1706,39.7852,-89.196,39.7866,-89.1942,"Law enforcement reported a brief tornado touchdown in an open field about 3 miles east-northeast of Mt, Auburn at 5:05 PM CST.  No damage occurred.","An area of low pressure tracking northeastward across Iowa pushed a cold front into central Illinois during the afternoon of January 3rd.  The arimass ahead of the front became moderately unstable thanks to surface temperatures climbing into the lower to middle 60s and dewpoints hovering near 60 degrees.  Given the instability and increasing amounts of deep-layer wind shear in association with a strong upper low approaching from the west, scattered supercell thunderstorms developed along the front during the afternoon.  The storms were primarily focused in a corridor from Springfield and Taylorville northeastward to near Champaign.  A total of 8 short-lived weak tornadoes touched down within this corridor, with the strongest tornadoes producing EF-1 damage near Maroa and in the Decatur area.",9
1078197,DE WITT CO.,PARNELL,01/03/2023,1707,Hail,1.75, ,0,0,0,0,IL,CST-6, ,177319,C,39,ILX,0,0,Broadcast Media, , , ,0,N,0,N,PARNELL,01/03/2023,1712,40.22,-88.72,40.22,-88.72,"","An area of low pressure tracking northeastward across Iowa pushed a cold front into central Illinois during the afternoon of January 3rd.  The arimass ahead of the front became moderately unstable thanks to surface temperatures climbing into the lower to middle 60s and dewpoints hovering near 60 degrees.  Given the instability and increasing amounts of deep-layer wind shear in association with a strong upper low approaching from the west, scattered supercell thunderstorms developed along the front during the afternoon.  The storms were primarily focused in a corridor from Springfield and Taylorville northeastward to near Champaign.  A total of 8 short-lived weak tornadoes touched down within this corridor, with the strongest tornadoes producing EF-1 damage near Maroa and in the Decatur area.",10
1078198,DE WITT CO.,FARMER CITY,01/03/2023,1717,Hail,1.50, ,0,0,0,0,IL,CST-6, ,177319,C,39,ILX,0,0,Public, , , ,0,SW,0,SW,FARMER CITY,01/03/2023,1722,40.25,-88.63,40.25,-88.63,"","An area of low pressure tracking northeastward across Iowa pushed a cold front into central Illinois during the afternoon of January 3rd.  The arimass ahead of the front became moderately unstable thanks to surface temperatures climbing into the lower to middle 60s and dewpoints hovering near 60 degrees.  Given the instability and increasing amounts of deep-layer wind shear in association with a strong upper low approaching from the west, scattered supercell thunderstorms developed along the front during the afternoon.  The storms were primarily focused in a corridor from Springfield and Taylorville northeastward to near Champaign.  A total of 8 short-lived weak tornadoes touched down within this corridor, with the strongest tornadoes producing EF-1 damage near Maroa and in the Decatur area.",11
1078199,MCLEAN CO.,(BMI)BLOOMNGTN/NORMA,01/03/2023,1734,Hail,0.88, ,0,0,0,0,IL,CST-6, ,177319,C,113,ILX,0,0,Public, , , ,0,E,0,E,(BMI)BLOOMNGTN/NORMA,01/03/2023,1739,40.48,-88.92,40.48,-88.92,"","An area of low pressure tracking northeastward across Iowa pushed a cold front into central Illinois during the afternoon of January 3rd.  The arimass ahead of the front became moderately unstable thanks to surface temperatures climbing into the lower to middle 60s and dewpoints hovering near 60 degrees.  Given the instability and increasing amounts of deep-layer wind shear in association with a strong upper low approaching from the west, scattered supercell thunderstorms developed along the front during the afternoon.  The storms were primarily focused in a corridor from Springfield and Taylorville northeastward to near Champaign.  A total of 8 short-lived weak tornadoes touched down within this corridor, with the strongest tornadoes producing EF-1 damage near Maroa and in the Decatur area.",12
