<<<<<<<< HEAD:weather_records/weather_2024.csv
# CSV-File created with merge-csv.com
# -----------------------------------------------------------

========
>>>>>>>> 5c6b1596902f3847878bd16a15d55a1e3d065e4d:illinois_weather_data/weather_2024.csv
EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1155260,EDWARDS (ZONE), ,01/01/2024,0,Drought, , ,0,0,0,0,IL,CST-6, ,188100,Z,77,PAH,0,0,Drought Monitor, , , , , , , , ,01/09/2024,0, , , , ,"","Dry deep soil moisture and slightly below normal precipitation in December resulted in temporary D2 drought conditions in northern portions of Southern Illinois lingering into early January. With the agricultural season over, there was very little impact. Multiple moderate to heavy rainfall events the second week of January brought an end to D2 drought by the middle of the month.",1
1155261,WABASH (ZONE), ,01/01/2024,0,Drought, , ,0,0,0,0,IL,CST-6, ,188100,Z,78,PAH,0,0,Drought Monitor, , , , , , , , ,01/09/2024,0, , , , ,"","Dry deep soil moisture and slightly below normal precipitation in December resulted in temporary D2 drought conditions in northern portions of Southern Illinois lingering into early January. With the agricultural season over, there was very little impact. Multiple moderate to heavy rainfall events the second week of January brought an end to D2 drought by the middle of the month.",2
1155263,WAYNE (ZONE), ,01/01/2024,0,Drought, , ,0,0,0,0,IL,CST-6, ,188100,Z,76,PAH,0,0,Drought Monitor, , , , , , , , ,01/16/2024,0, , , , ,"","Dry deep soil moisture and slightly below normal precipitation in December resulted in temporary D2 drought conditions in northern portions of Southern Illinois lingering into early January. With the agricultural season over, there was very little impact. Multiple moderate to heavy rainfall events the second week of January brought an end to D2 drought by the middle of the month.",3
1155264,JEFFERSON (ZONE), ,01/01/2024,0,Drought, , ,0,0,0,0,IL,CST-6, ,188100,Z,75,PAH,0,0,Drought Monitor, , , , , , , , ,01/16/2024,0, , , , ,"","Dry deep soil moisture and slightly below normal precipitation in December resulted in temporary D2 drought conditions in northern portions of Southern Illinois lingering into early January. With the agricultural season over, there was very little impact. Multiple moderate to heavy rainfall events the second week of January brought an end to D2 drought by the middle of the month.",4
1155265,FRANKLIN (ZONE), ,01/01/2024,0,Drought, , ,0,0,0,0,IL,CST-6, ,188100,Z,81,PAH,0,0,Drought Monitor, , , , , , , , ,01/16/2024,0, , , , ,"","Dry deep soil moisture and slightly below normal precipitation in December resulted in temporary D2 drought conditions in northern portions of Southern Illinois lingering into early January. With the agricultural season over, there was very little impact. Multiple moderate to heavy rainfall events the second week of January brought an end to D2 drought by the middle of the month.",5
1155266,PERRY (ZONE), ,01/01/2024,0,Drought, , ,0,0,0,0,IL,CST-6, ,188100,Z,80,PAH,0,0,Drought Monitor, , , , , , , , ,01/16/2024,0, , , , ,"","Dry deep soil moisture and slightly below normal precipitation in December resulted in temporary D2 drought conditions in northern portions of Southern Illinois lingering into early January. With the agricultural season over, there was very little impact. Multiple moderate to heavy rainfall events the second week of January brought an end to D2 drought by the middle of the month.",6
1155267,JACKSON (ZONE), ,01/01/2024,0,Drought, , ,0,0,0,0,IL,CST-6, ,188100,Z,84,PAH,0,0,Drought Monitor, , , , , , , , ,01/16/2024,0, , , , ,"","Dry deep soil moisture and slightly below normal precipitation in December resulted in temporary D2 drought conditions in northern portions of Southern Illinois lingering into early January. With the agricultural season over, there was very little impact. Multiple moderate to heavy rainfall events the second week of January brought an end to D2 drought by the middle of the month.",7
1155262,WILLIAMSON (ZONE), ,01/02/2024,0,Drought, , ,0,0,0,0,IL,CST-6, ,188100,Z,85,PAH,0,0,Drought Monitor, , , , , , , , ,01/16/2024,0, , , , ,"","Dry deep soil moisture and slightly below normal precipitation in December resulted in temporary D2 drought conditions in northern portions of Southern Illinois lingering into early January. With the agricultural season over, there was very little impact. Multiple moderate to heavy rainfall events the second week of January brought an end to D2 drought by the middle of the month.",8
1152444,HANCOCK (ZONE), ,01/08/2024,1600,Winter Storm, , ,0,0,0,0,IL,CST-6, ,187645,Z,34,DVN,0,0,Trained Spotter, , , , , , , , ,01/09/2024,1700, , , , ,"Widespread heavy snow on January 8 and 9, with between 6 to 8 inches common throughout the county. A trained spotter near Colusa measured a storm total of 6.9 inches of snow.","A strong winter storm brought heavy, wet snow and gusty north winds to eastern IA, northwest IL, and northeast MO on January 9. Snowfall amounts between 6 and 10 inches were common, with higher totals of 11 to 15 inches falling mainly in Dubuque, Jones, Linn, and Johnson counties in Iowa.  Several accidents occurred on area roads, with a long backup/delay observed on Interstate 80 during the evening near Iowa City, IA. In addition, strong north winds over 30 mph were common with this storm.",9
1152445,MCDONOUGH (ZONE), ,01/08/2024,1600,Winter Storm, , ,0,0,0,0,IL,CST-6, ,187645,Z,35,DVN,0,0,Public, , , , , , , , ,01/09/2024,1700, , , , ,"Widespread heavy snow on January 8 and 9, with between 4 to 8 inches common throughout the county. A public observer in Macomb measured a storm total snow of 7 inches.","A strong winter storm brought heavy, wet snow and gusty north winds to eastern IA, northwest IL, and northeast MO on January 9. Snowfall amounts between 6 and 10 inches were common, with higher totals of 11 to 15 inches falling mainly in Dubuque, Jones, Linn, and Johnson counties in Iowa.  Several accidents occurred on area roads, with a long backup/delay observed on Interstate 80 during the evening near Iowa City, IA. In addition, strong north winds over 30 mph were common with this storm.",10
