,date,county,num_people_out,wind_speed_mph
0,03/06/2017,Adams,12.0,53.00
1,01/10/2017,Alexander,1.0,37.00
2,11/18/2017,Alexander,205.0,38.00
3,05/15/2017,Boone,2.0,50.00
4,07/19/2017,Boone,42.0,61.00
5,02/28/2017,Brown,6.0, 
6,02/28/2017,Bureau,159.0, 
7,03/07/2017,Bureau,1963.0, 
8,04/10/2017,Bureau,1.0,52.00
9,06/14/2017,Bureau,25.0,56.00
10,06/14/2017,Carroll,1.0,61.00
11,07/21/2017,Carroll,226.0,50.00
12,03/30/2017,Champaign,40.0,52.00
13,12/30/2017,Champaign,13.0, 
14,04/29/2017,Christian,57.0,52.00
15,04/26/2017,Clark,633.0,61.00
16,05/10/2017,Clark,11.0,52.00
17,04/26/2017,Clay,84.0,52.00
18,03/07/2017,Clinton,16.0,56.00
19,11/05/2017,Clinton,3.0,61.00
20,03/07/2017,Coles,14.0,52.00
21,05/10/2017,Coles,5.0,52.00
22,02/28/2017,Cook,1093.0,65.00
23,03/08/2017,Cook,16053.0,55.00
24,05/17/2017,Cook,3137.0,50.00
25,05/18/2017,Cook,22361.0,55.00
26,06/14/2017,Cook,7773.0,60.00
27,06/20/2017,Cook,1974.0,50.00
28,07/02/2017,Cook,1883.0,50.00
29,07/21/2017,Cook,13339.0,78.00
30,08/01/2017,Cook,3174.0,50.00
31,04/26/2017,Crawford,498.0,61.00
32,04/29/2017,De Witt,30.0,52.00
33,03/07/2017,Douglas,1450.0,61.00
34,03/30/2017,Douglas,520.0,52.00
35,05/10/2017,Douglas,3.0,52.00
36,11/05/2017,Douglas,717.0,52.00
37,03/07/2017,Edgar,513.0,52.00
38,05/05/2017,Edwards,33.0,35.00
39,11/18/2017,Edwards,572.0,39.00
40,04/29/2017,Effingham,116.0,52.00
41,11/05/2017,Effingham,18.0,52.00
42,06/14/2017,Ford,23.0,50.00
43,01/10/2017,Franklin,649.0,43.00
44,02/28/2017,Franklin,45.0, 
45,04/09/2017,Franklin,5.0,35.00
46,04/26/2017,Franklin,53.0,56.00
47,05/05/2017,Franklin,37.0,35.00
48,05/17/2017,Franklin,65.0,35.00
49,11/18/2017,Franklin,329.0,36.00
50,03/06/2017,Fulton,21.0,61.00
51,01/10/2017,Gallatin,2324.0,45.00
52,05/05/2017,Gallatin,111.0,35.00
53,02/28/2017,Grundy,1.0, 
54,03/07/2017,Grundy,48.0,50.00
55,06/14/2017,Grundy,1126.0,60.00
56,03/06/2017,Hancock,7.0,60.00
57,02/10/2017,Hardin,1.0,35.00
58,03/06/2017,Hardin,7.0,35.00
59,05/05/2017,Hardin,98.0,35.00
60,08/10/2017,Henry,2.0,52.00
61,06/14/2017,Iroquois,2.0,55.00
62,07/21/2017,Iroquois,1.0,65.00
63,01/10/2017,Jackson,23.0,49.00
64,02/10/2017,Jackson,1.0,35.00
65,02/28/2017,Jackson,11.0, 
66,03/01/2017,Jackson,541.0, 
67,03/06/2017,Jackson,7.0,45.00
68,04/26/2017,Jackson,164.0,52.00
69,11/18/2017,Jackson,576.0,37.00
70,04/26/2017,Jasper,143.0,61.00
71,01/10/2017,Jefferson,166.0,45.00
72,03/01/2017,Jefferson,591.0,61.00
73,04/26/2017,Jefferson,520.0,61.00
74,05/05/2017,Jefferson,2.0,35.00
75,11/18/2017,Jefferson,303.0,35.00
76,04/29/2017,Jersey,11.0,78.00
77,05/15/2017,Jo Daviess,1.0,50.00
78,06/28/2017,Jo Daviess,2.0,65.00
79,08/16/2017,Jo Daviess,31.0, 
80,05/05/2017,Johnson,293.0,35.00
81,05/27/2017,Johnson,553.0,61.00
82,03/07/2017,Kane,1943.0,51.00
83,05/17/2017,Kane,588.0,55.00
84,06/14/2017,Kane,249.0,50.00
85,07/11/2017,Kane,46.0,68.00
86,07/12/2017,Kane,4620.0,55.00
87,07/21/2017,Kane,5834.0,61.00
88,03/07/2017,Kankakee,51.0,50.00
89,07/23/2017,Kankakee,60.0,61.00
90,02/28/2017,Kendall,819.0,65.00
91,03/07/2017,Kendall,5171.0,50.00
92,05/17/2017,Kendall,60.0,62.00
93,10/14/2017,Kendall,113.0,60.00
94,03/06/2017,Knox,9.0,52.00
95,03/08/2017,Lake,7660.0,44.00
96,06/14/2017,Lake,7544.0,50.00
97,06/28/2017,Lake,185.0,65.00
98,07/12/2017,Lake,9288.0,50.00
99,04/28/2017,Lawrence,771.0,70.00
100,05/17/2017,Lee,5.0,70.00
101,07/19/2017,Lee,2.0,50.00
102,03/07/2017,Livingston,270.0,51.00
103,05/26/2017,Livingston,194.0,50.00
104,06/28/2017,Livingston,1.0,53.00
105,10/14/2017,Livingston,23.0,50.00
106,03/07/2017,Logan,143.0,52.00
107,04/29/2017,Logan,245.0,70.00
108,05/10/2017,Macon,30.0, 
109,03/07/2017,Macoupin,3913.0,61.00
110,04/29/2017,Macoupin,1014.0, 
111,02/28/2017,Madison,72.0,52.00
112,03/07/2017,Madison,2111.0,56.00
113,04/29/2017,Madison,1085.0,61.00
114,04/29/2017,Marion,651.0,61.00
115,02/28/2017,Marshall,26.0, 
116,03/07/2017,Marshall,289.0,61.00
117,06/29/2017,Marshall,66.0,48.00
118,03/06/2017,Mason,1.0,52.00
119,05/10/2017,Mason,2.0,61.00
120,01/10/2017,Massac,1.0,37.00
121,03/01/2017,Massac,172.0,61.00
122,03/07/2017,Massac,6.0,52.00
123,05/05/2017,Massac,776.0,35.00
124,05/27/2017,Massac,89.0,70.00
125,11/18/2017,Massac,108.0,35.00
126,03/06/2017,McDonough,3.0,50.00
127,04/10/2017,McDonough,32.0,53.00
128,05/10/2017,McDonough,459.0,50.00
129,05/17/2017,McHenry,73.0, 
130,06/14/2017,McHenry,2344.0,60.00
131,06/17/2017,McHenry,150.0,55.00
132,07/19/2017,McHenry,24.0,55.00
133,07/23/2017,McHenry,4220.0,60.00
134,03/06/2017,McLean,5.0,43.00
135,03/07/2017,McLean,303.0,52.00
136,04/29/2017,Menard,913.0,52.00
137,02/28/2017,Mercer,7.0,52.00
138,07/10/2017,Mercer,60.0,61.00
139,07/11/2017,Mercer,1.0,56.00
140,03/07/2017,Monroe,2.0,56.00
141,11/05/2017,Monroe,2.0,56.00
142,03/07/2017,Montgomery,701.0, 
143,03/30/2017,Montgomery,9.0,56.00
144,04/29/2017,Montgomery,374.0,65.00
145,04/29/2017,Morgan,704.0,52.00
146,05/10/2017,Morgan,70.0,61.00
147,03/30/2017,Moultrie,134.0,52.00
148,04/29/2017,Moultrie,9.0,52.00
149,05/17/2017,Ogle,217.0,60.00
150,06/17/2017,Ogle,314.0,50.00
151,07/16/2017,Ogle,3.0,50.00
152,02/28/2017,Peoria,9.0, 
153,03/06/2017,Peoria,154.0,52.00
154,03/07/2017,Peoria,2534.0,52.00
155,01/10/2017,Perry,44.0,39.00
156,04/09/2017,Perry,5.0,35.00
157,04/26/2017,Perry,14.0,61.00
158,05/05/2017,Perry,7.0,35.00
159,11/18/2017,Perry,1484.0,35.00
160,04/29/2017,Piatt,2.0,52.00
161,05/10/2017,Piatt,6.0,52.00
162,05/05/2017,Pope,100.0,35.00
163,05/27/2017,Pope,1011.0,61.00
164,01/10/2017,Pulaski,59.0,39.00
165,03/06/2017,Pulaski,3.0,35.00
166,11/18/2017,Pulaski,12.0,35.00
167,03/07/2017,Putnam,510.0,50.00
168,02/28/2017,Randolph,16.0, 
169,04/26/2017,Randolph,3283.0,61.00
170,04/28/2017,Richland,306.0,61.00
171,03/06/2017,Rock Island,1.0,50.00
172,05/17/2017,Rock Island,163.0, 
173,06/15/2017,Rock Island,52.0,56.00
174,06/17/2017,Rock Island,610.0,70.00
175,06/19/2017,Rock Island,372.0,56.00
