,date,county,max_num_people_out,duration,customer_mins,wind_speed_mph
0,04/07/2021,Adams,189.0,195.0,3045.0,53.00
1,05/03/2021,Adams,17.0,1245.0,5235.0,61.00
2,06/19/2021,Adams,42.0,795.0,6330.0,61.00
3,08/26/2021,Adams,1048.0,465.0,112935.0,61.00
4,12/15/2021,Adams,4.0,810.0,1650.0,53.00
5,04/27/2021,Alexander,89.0,75.0,5460.0,39.00
6,05/09/2021,Alexander,546.0,495.0,98160.0,35.00
7,08/26/2021,Bond,50.0,60.0,1545.0,56.00
8,07/15/2021,Boone,12.0,1725.0,7485.0,55.00
9,07/29/2021,Boone,676.0,1650.0,155580.0,50.00
10,08/11/2021,Boone,1291.0,1155.0,655920.0,60.00
11,08/09/2021,Bureau,108.0,720.0,7890.0, 
12,08/11/2021,Bureau,1507.0,675.0,547620.0,70.00
13,06/19/2021,Calhoun,216.0,150.0,29025.0,61.00
14,06/26/2021,Calhoun,217.0,435.0,93240.0,61.00
15,07/09/2021,Calhoun,2.0,390.0,615.0,61.00
16,06/20/2021,Carroll,402.0,45.0,9780.0,52.00
17,07/14/2021,Carroll,9.0,225.0,990.0,56.00
18,08/10/2021,Carroll,1784.0,1110.0,58470.0,52.00
19,08/24/2021,Carroll,842.0,315.0,54585.0,56.00
20,05/03/2021,Cass,7.0,45.0,225.0, 
21,07/10/2021,Cass,1237.0,150.0,67275.0, 
22,08/08/2021,Cass,2.0,75.0,105.0,52.00
23,08/23/2021,Cass,30.0,330.0,7470.0,52.00
24,10/24/2021,Cass,6.0,870.0,2010.0,52.00
25,06/12/2021,Champaign,1292.0,555.0,42795.0,52.00
26,06/19/2021,Champaign,1437.0,975.0,335955.0,52.00
27,06/25/2021,Champaign,354.0,615.0,12240.0, 
28,06/26/2021,Champaign,626.0,585.0,28905.0,52.00
29,07/12/2021,Champaign,53.0,435.0,6690.0, 
30,08/12/2021,Champaign,53.0,975.0,11880.0,52.00
31,08/24/2021,Champaign,900.0,1005.0,28305.0,52.00
32,09/07/2021,Champaign,238.0,345.0,9885.0,52.00
33,12/10/2021,Champaign,108.0,705.0,30015.0,61.00
34,03/27/2021,Christian,889.0,150.0,31740.0,52.00
35,05/06/2021,Christian,4.0,135.0,465.0, 
36,06/12/2021,Christian,18.0,435.0,1005.0,52.00
37,08/12/2021,Christian,3080.0,270.0,424875.0,61.00
38,08/26/2021,Christian,856.0,285.0,51075.0,61.00
39,05/27/2021,Clay,1.0,7170.0,7170.0,52.00
40,10/24/2021,Clinton,2.0,450.0,465.0,56.00
41,04/28/2021,Coles,16.0,885.0,2415.0, 
42,06/12/2021,Coles,2.0,15.0,30.0,52.00
43,12/10/2021,Coles,1.0,180.0,180.0, 
44,04/29/2021,Cook,1484.0,1245.0,261675.0,50.00
45,06/12/2021,Cook,3819.0,1320.0,1020180.0,56.00
46,06/18/2021,Cook,12240.0,1335.0,2995815.0,60.00
47,06/20/2021,Cook,551.0,1260.0,230025.0,52.00
48,06/26/2021,Cook,4857.0,1305.0,1414005.0,55.00
49,07/24/2021,Cook,6632.0,1230.0,738795.0,55.00
50,07/28/2021,Cook,9076.0,1350.0,2114505.0,55.00
51,07/29/2021,Cook,22644.0,1395.0,7540125.0,55.00
52,08/10/2021,Cook,1584.0,1305.0,379665.0,50.00
53,08/11/2021,Cook,73829.0,1440.0,50087400.0,55.00
54,08/24/2021,Cook,4760.0,1245.0,489180.0,55.00
55,08/25/2021,Cook,16341.0,1410.0,3786900.0,52.00
56,08/29/2021,Cook,4741.0,1245.0,602550.0,55.00
57,09/07/2021,Cook,4038.0,1290.0,859545.0,50.00
58,10/11/2021,Cook,1998.0,765.0,366840.0,55.00
59,06/26/2021,De Witt,135.0,510.0,15555.0,52.00
60,06/19/2021,Douglas,376.0,720.0,97365.0,52.00
61,06/19/2021,Edgar,3848.0,900.0,740955.0,52.00
62,10/11/2021,Edgar,321.0,405.0,44670.0,61.00
63,05/25/2021,Edwards,5.0,75.0,375.0,52.00
64,05/06/2021,Effingham,19.0,285.0,2385.0, 
65,08/12/2021,Effingham,1036.0,945.0,138450.0,52.00
66,12/10/2021,Effingham,1.0,45.0,45.0,52.00
67,06/28/2021,Fayette,195.0,225.0,15825.0,61.00
68,02/14/2021,Ford,4.0,60.0,240.0, 
69,03/15/2021,Ford,485.0,390.0,115830.0,60.00
70,08/12/2021,Ford,2167.0,435.0,218040.0,55.00
71,09/07/2021,Ford,381.0,255.0,12210.0,65.00
72,12/10/2021,Ford,11.0,90.0,480.0,60.00
73,02/16/2021,Franklin,74.0,345.0,18030.0, 
74,03/10/2021,Franklin,50.0,360.0,3390.0,35.00
75,07/15/2021,Franklin,912.0,375.0,52695.0,56.00
76,07/16/2021,Franklin,209.0,975.0,41385.0,52.00
