,date,county,num_people_out,wind_speed_mph
0,06/29/2023,Adams,1972.0,61.00
1,07/01/2023,Adams,5135.0,52.00
2,08/05/2023,Adams,495.0, 
3,05/08/2023,Alexander,1.0,61.00
4,04/05/2023,Alexander,5.0,39.00
5,04/01/2023,Alexander,5.0,35.00
6,04/20/2023,Alexander,1.0,35.00
7,02/22/2023,Alexander,8.0,39.00
8,02/09/2023,Alexander,9.0,35.00
9,03/31/2023,Alexander,0.0,38.00
10,02/22/2023,Bond,1575.0,53.00
11,06/29/2023,Bond,394.0,56.00
12,03/31/2023,Bond,5.0,58.00
13,07/29/2023,Bond,262.0,56.00
14,04/05/2023,Boone,46.0,54.00
15,07/12/2023,Boone,4.0, 
16,08/11/2023,Boone,19.0,55.00
17,07/26/2023,Boone,1164.0,52.00
18,07/28/2023,Boone,138.0,52.00
19,03/31/2023,Boone,85.0, 
20,04/04/2023,Boone,7.0,74.00
21,10/13/2023,Brown,119.0, 
22,06/29/2023,Brown,67.0,61.00
23,03/31/2023,Brown,1840.0,56.00
24,07/28/2023,Bureau,587.0,52.00
25,04/20/2023,Bureau,233.0,54.00
26,03/31/2023,Bureau,1.0,103.00
27,05/07/2023,Bureau,3.0, 
28,06/29/2023,Calhoun,11.0,56.00
29,06/24/2023,Carroll,4.0,61.00
30,03/31/2023,Carroll,8.0, 
31,04/15/2023,Cass,1.0,56.00
32,05/06/2023,Cass,2.0,52.00
33,03/03/2023,Champaign,2697.0,61.00
34,04/15/2023,Champaign,33.0,56.00
35,02/09/2023,Champaign,1252.0,48.00
36,06/29/2023,Champaign,30548.0,52.00
37,02/27/2023,Champaign,672.0, 
38,03/31/2023,Champaign,33.0, 
39,03/03/2023,Christian,1354.0,52.00
40,08/06/2023,Christian,275.0, 
41,01/03/2023,Christian,5.0, 
42,04/15/2023,Christian,1.0,52.00
43,08/25/2023,Christian,0.0,52.00
44,06/30/2023,Christian,8244.0, 
45,03/31/2023,Christian,400.0, 
46,06/29/2023,Christian,9971.0,70.00
47,06/29/2023,Clark,4592.0,61.00
48,08/25/2023,Clark,10.0,52.00
49,06/29/2023,Clay,66.0,61.00
50,07/29/2023,Clay,1.0,52.00
51,04/15/2023,Clinton,144.0,56.00
52,03/31/2023,Clinton,3.0,52.00
53,07/01/2023,Clinton,847.0,56.00
54,04/05/2023,Clinton,97.0,61.00
55,02/22/2023,Clinton,190.0,61.00
56,07/29/2023,Clinton,880.0,56.00
57,03/03/2023,Coles,104.0,63.00
58,03/31/2023,Coles,0.0,58.00
59,08/25/2023,Coles,1.0,52.00
60,05/07/2023,Coles,4.0,57.00
61,06/29/2023,Coles,9390.0,61.00
62,04/04/2023,Cook,7634.0,60.00
63,04/05/2023,Cook,3190.0,60.00
64,03/31/2023,Cook,5687.0,52.00
65,07/28/2023,Cook,963.0,52.00
66,09/06/2023,Cook,2904.0,52.00
67,06/25/2023,Cook,6045.0,50.00
68,07/14/2023,Cook,904.0,56.00
69,07/12/2023,Cook,3393.0, 
70,04/20/2023,Cook,842.0,70.00
71,07/11/2023,Cook,2721.0,59.00
72,07/05/2023,Cook,4360.0,52.00
73,03/31/2023,Crawford,4.0, 
74,06/29/2023,Crawford,1377.0,61.00
75,08/06/2023,Cumberland,0.0,70.00
76,03/31/2023,Cumberland,0.0,52.00
